leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
72,516,F,LOWER MIOCENE,,169.1,235.6,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
72,516,F,LOWER MIOCENE,UPPER OLIGOCENE,235.6,245.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
72,516,F,LOWER OLIGOCENE,,245.1,264.1,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
72,516,F,UPPER OLIGOCENE,,264.1,473.1,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
72,516,F,LOWER OLIGOCENE,,473.1,530.1,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
72,516,F,UPPER EOCENE,,530.1,606.1,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
72,516,F,MIDDLE EOCENE,,606.1,850.6,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
72,516,F,MIDDLE EOCENE,LOWER EOCENE,850.6,886.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   43, 53.5,48.25,DSDP INITIAL REPORTS
72,516,F,LOWER EOCENE,,886.6,900.7,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
72,516,F,UPPER PALEOCENE,,900.7,919.6,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
72,516,F,UPPER PALEOCENE,MIDDLE PALEOCENE,919.6,929.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
72,516,F,MIDDLE PALEOCENE,,929.1,938.6,,NO AGE GIVEN,,NO AGE GIVEN,   58,   60,   59,DSDP INITIAL REPORTS
72,516,F,MIDDLE PALEOCENE,LOWER PALEOCENE,938.6,948.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   58,   65, 61.5,DSDP INITIAL REPORTS
72,516,F,LOWER PALEOCENE,,948.1,964.0,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
72,516,F,UPPER MAESTRICHTIAN ,,964.0,995.6,,NO AGE GIVEN,,NO AGE GIVEN,   65, 67.5,66.25,DSDP INITIAL REPORTS
72,516,F,UPPER MAESTRICHTIAN ,MIDDLE MAESTRICHTIAN,995.6,1005.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   65,   67,   66,DSDP INITIAL REPORTS
72,516,F,MIDDLE MAESTRICHTIAN,LOWER MAESTRICHTIAN ,1005.1,1029.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   66,   70,   68,DSDP INITIAL REPORTS
72,516,F,LOWER MAESTRICHTIAN ,,1029.6,1055.6,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
72,516,F,UPPER CAMPANIAN,,1055.6,1059.6,,NO AGE GIVEN,,NO AGE GIVEN,   70,   74,   72,DSDP INITIAL REPORTS
72,516,F,LOWER MAESTRICHTIAN ,UPPER CAMPANIAN,1059.6,1068.6,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 67.5,   74,70.75,DSDP INITIAL REPORTS
72,516,F,UPPER CAMPANIAN,,1068.6,1095.6,,NO AGE GIVEN,,NO AGE GIVEN,   70,   74,   72,DSDP INITIAL REPORTS
72,516,F,UPPER CAMPANIAN,MIDDLE CAMPANIAN,1095.6,1104.6,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   70,   76,   73,DSDP INITIAL REPORTS
72,516,F,MIDDLE CAMPANIAN,LOWER CAMPANIAN,1104.6,1109.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   72,   78,   75,DSDP INITIAL REPORTS
72,516,F,CAMPANIAN,,1109.1,1118.1,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
72,516,F,LOWER CAMPANIAN,,1118.1,1154.1,,NO AGE GIVEN,,NO AGE GIVEN,   74,   78,   76,DSDP INITIAL REPORTS
72,516,F,LOWER CAMPANIAN,UPPER SANTONIAN,1154.1,1163.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   74,   80,   77,DSDP INITIAL REPORTS
72,516,F,UPPER SANTONIAN,,1163.1,1172.1,,NO AGE GIVEN,,NO AGE GIVEN,   78,   80,   79,DSDP INITIAL REPORTS
72,516,F,UPPER SANTONIAN,CONIACIAN,1172.1,1181.1,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   78,   86,   82,DSDP INITIAL REPORTS
72,516,F,MIDDLE SANTONIAN,CONIACIAN,1181.1,1248.6,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   79,   86, 82.5,DSDP INITIAL REPORTS
