Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis constricta,Distephanus crux s. ampl.,Dictyocha bryonalis,Naviculopsis sp. 4,Naviculopsis foliacea,Naviculopsis eobiapiculata,Naviculopsis biapiculata biapiculata,Corbisema sp. 4,Corbisema apiculata (with thin bars),Corbisema angularis,Bachmannocena vetula,Bachmannocena oamaruensis,Corbisema inermis inermis,Corbisema constricta constricta,Corbisema apiculata apiculata,Distephanus quinquangellus,Dictyocha sp. cf. D. byronalis,Dictyocha sp. cf. D.alta,Dictyocha sp. 3,Dictyocha pentagona,Dictyocha deflandrei deflandrei,Corbisema triacantha,Bachmannocena paulschulzii,Dictyocha challengeri,Lyramula furcula,Corbisema constricta (fragments),Corbisema sp. cf. C.archangelskiana (with small basal spines),Dictyocha stelliformis and D.grandis (fragments),Dictyocha stelliformis (fragments),Dictyocha stelliformis,Dictyocha grandis,Dictyocha stelliformis (pentagonal basal ring),Naviculopsis sp. aff. Naviculopsis nordica hyalina,Naviculopsis nordica hyalina,Dictyocha grandis (fragments),Naviculopsis trispinosa trispinosa,Naviculopsis sp. cf. Naviculopsis constricta,Naviculopsis pandalata,Dictyocha grandis (pentagonal basal ring),Corbisema hastata cunicula,Dictyocha sp. aff. D.quadria,Dictyocha grandis (with two apical windows),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B.apicul./D.stellif.,              ,114, 702,B,  8,X, 3,  40.00,     66.7000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                       ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,1                         ,                     ,                ,                                ,                                                             ,16                                              ,                                  ,                      ,15               ,1                                             ,                                                  ,                            ,6                            ,                                  ,                                            ,                      ,2                                        ,                          ,1                           ,1                                          ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B.apicul./D.stellif.,              ,114, 702,B,  8,X, 5,  40.00,     69.7000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                      ,                         ,                   ,                  ,                     ,                          ,                                    ,               ,                                    ,                   ,                    ,                         ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,2                                               ,                                  ,                      ,2                ,                                              ,                                                  ,                            ,                             ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B.apicul./D.stellif.,              ,114, 702,B,  9,X, 1, 118.00,     73.9800,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,10                     ,1                        ,                   ,                  ,                     ,2                         ,1                                   ,               ,                                    ,                   ,                    ,3                        ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,3                         ,                     ,                ,                                ,                                                             ,                                                ,                                  ,                      ,32               ,                                              ,                                                  ,                            ,25                           ,1                                 ,1                                           ,3                     ,1                                        ,2                         ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,B.apicul./D.stellif.,              ,114, 702,B,  9,X, 3, 118.00,     76.9800,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                      ,                         ,                   ,                  ,                     ,1                         ,                                    ,               ,                                    ,                   ,                    ,1                        ,                         ,                               ,                             ,                          ,                              ,                        ,               ,                   ,                               ,                    ,                          ,                     ,                ,                                ,                                                             ,2                                               ,                                  ,                      ,3                ,                                              ,1                                                 ,1                           ,2                            ,                                  ,                                            ,                      ,                                         ,                          ,                            ,                                           ,from ODP Leg 114 SR Chapter 4 Table 5 p 64-65
