Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina pigmea	Stilostomella subspinosa	Stilostomella modesta	Stilostomella lepidula	Pleurostomella brevis	Pleurostomella alternans	Melonis pacificus	Gyroidinoides soldanii	Gyroidinoides altispirus	Globocassidulina subglobosa (medium size)	Bulimina semicostata	Bolivinopsis gryzbowski	Anomalinoides semicribratus	Pullenia bulloides	Pleurostomella subcylindrica	Pleurostomella sp.	Planulina renzi	Orthomorphina perversa	Karreriella bradyi	Gyroidinoides planulatus	Globocassidulina subglobosa (small form)	Globocassidulina subglobosa (large form)	Cibicidoides kullenbergi	Cassidulina ornata	Buliminella sp.	Alabamina haitiensis	Orthomorphina rohri	Cibicidoides bradyi	Cibicides vortex	Nuttallides umbonifera	Martinottiella petrosa	Cassidulina crassa	Vulvulina spinosa	Pullenia sp.	Melonis affinis	Cibicidoides havanensis	Chrysalogonium equisetiformis	Bolivina pseudoplicata	Spiroplectammina spinosa	Pullenia quinqueloba	Heterolepa dohmi	Cibicidoides sp.	Uvigerina pigmea (spinose)	Oridorsalis umbonatus	Stilostomella insecta	Epistominella exigua	Cibicidoides perlucidus	Cibicidoides cicatricosus	Bolivina striatocola	Textularia cf. T. flintii	Lenticulina vortex	Stilostomella fistuca	Virgulinid (small)	Eggerella bradyi	Bulimina alazanensis	Nodosaria stiliformis	Gyroidinoides altiformis	Cibicidoides trincherasensis	Bulava sp.	Nodosariid (large fragments)	Bolivina pulchra	Bolivina cf. B. pulchra	Pullenia quadriloba	Bulimina macilenta	Favocassidulina favus	Karreriella subrotundata	Bolivina tortuosa	Melonis barleeanus	Siphotextularia catenata	Anomalinoides globulosus	Cassidulina laevigata	Uvigerina auberiana	Ehrenbergina hystrix	Bolivina villaverniensis	Uvigerina hispidocostata	Stilostomella lepidula (smooth)	Pyrgo murrhina	Pleurostomella spp.	Planulina renzi (atypical)	Oridorsalis umbonatus (smooth margin)	Oridorsalis umbonatus  (scallopped margin)	Miliolid taxa	Laticarinina pauperata	Lagenid taxa	Ehrenbergina trigona	Uvigerina proboscidea	Uvigerina interruptacostata	Orthomorphina koina	Dentalina sp.	Cibicidoides kullenbergi (flat)	Cibicides wuellerstorfi	Gyroidinoides neosoldanii	Cassidulinoides bradyi	Alabamina sp.	Martinottiella variabilis	Martinottiella communis	Sphaeroidina bulloides	Lenticulinid (juvenile)	Lenticulina cushmani	Cibicides cf. C. notocenicus	Melonis pompilioides	Hopkinsina mioindex	Dentalina stimulea	Triloculina lucernula	Stilostomella cf. S. fistuca (striate)	Osangularia bengalensis	Allomorphina sp.	Dentalina neugeboreni	Bolivinopsis praelonga	Comment



  SR	Pleistocene      	                 	                  	              	115	 709	A	  1	H	 3	 120.00	      4.2000	Boersma  	Benthic Foraminifers                         	               	VG                	                	                        	                     	                      	                     	                        	+                	                      	                        	                                         	                    	                       	                           	                  	                            	                  	               	                      	                  	T                       	F                                       	F/C                                     	                        	                  	               	                    	                   	                   	                	+                     	                      	                  	                 	            	               	                       	                             	                      	                        	                    	                	                	                          	                     	                     	                    	                       	+                        	                    	                         	                  	                     	                  	R               	                    	                     	                        	                            	          	                            	                	                       	+                  	                  	                     	                        	                 	T                 	                        	                        	                     	                   	                    	                        	                        	                               	F             	                   	                          	+                                    	                                          	T            	+                     	F           	                    	                     	R                          	                   	             	+                              	+                      	+                        	                      	F            	                         	                       	                      	                       	                    	                            	+                   	                   	                  	T                    	                                      	                       	                	                     	                      	from 115 SR. Chapter 20. Table 20. pages 374-376.

  SR	Pleistocene      	                 	                  	              	115	 709	A	  2	H	 6	  60.00	     18.2000	Boersma  	Benthic Foraminifers                         	               	VG                	                	                        	                     	                      	                     	                        	+                	                      	                        	T                                        	                    	                       	                           	+                 	                            	                  	               	                      	                  	+                       	+                                       	+                                       	                        	                  	               	                    	                   	                   	                	                      	                      	                  	                 	            	               	                       	                             	                      	                        	                    	                	                	                          	                     	                     	                    	                       	                         	                    	                         	                  	                     	                  	+               	                    	                     	                        	                            	          	                            	                	                       	                   	                  	R                    	                        	                 	+                 	                        	                        	                     	F                  	                    	                        	+                       	                               	R             	                   	                          	                                     	+                                         	             	                      	T           	                    	                     	                           	                   	             	                               	+                      	F                        	                      	+            	                         	                       	+                     	                       	                    	                            	                    	                   	                  	+                    	                                      	                       	                	                     	                      	from 115 SR. Chapter 20. Table 20. pages 374-376.

  SR	Late Pliocene    	                 	                  	              	115	 709	A	  3	H	 3	 120.00	     23.9000	Boersma  	Benthic Foraminifers                         	               	VG                	                	                        	                     	                      	                     	                        	                 	                      	                        	                                         	                    	                       	                           	                  	cf                          	                  	               	                      	                  	+                       	R                                       	                                        	+                       	                  	               	                    	                   	                   	                	+                     	                      	                  	                 	            	               	                       	                             	                      	                        	                    	                	                	                          	                     	                     	                    	                       	cf                       	                    	                         	                  	                     	                  	+               	                    	                     	                        	                            	          	                            	                	                       	                   	                  	+                    	                        	                 	                  	                        	                        	                     	                   	                    	                        	                        	+                              	F             	                   	                          	T                                    	+                                         	             	                      	T           	                    	                     	                           	                   	+            	                               	+                      	                         	                      	+            	                         	                       	                      	                       	                    	                            	                    	                   	                  	+                    	                                      	                       	                	                     	                      	from 115 SR. Chapter 20. Table 20. pages 374-376.

  SR	Late Pliocene    	                 	                  	              	115	 709	A	  3	H	 5	 120.00	     26.9000	Boersma  	Benthic Foraminifers                         	               	G                 	                	                        	                     	                      	                     	                        	+                	                      	                        	                                         	                    	                       	                           	                  	                            	                  	               	                      	                  	                        	F                                       	                                        	                        	                  	               	                    	                   	                   	                	F                     	                      	                  	                 	            	               	                       	+                            	                      	                        	                    	                	                	                          	                     	+                    	                    	                       	                         	                    	                         	                  	                     	                  	R               	                    	                     	                        	                            	          	                            	                	                       	                   	                  	R                    	                        	                 	                  	                        	                        	                     	+                  	                    	                        	                        	+                              	F             	                   	                          	F                                    	+                                         	             	                      	            	                    	                     	+                          	                   	             	                               	                       	+                        	                      	             	                         	                       	                      	                       	                    	                            	                    	                   	                  	+                    	                                      	                       	                	                     	                      	from 115 SR. Chapter 20. Table 20. pages 374-376.
