Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira oestrupii	Thalassiosira nidulus	Thalassiosira jouseae	Thalassiosira gravida spore	Thalassionema nitzschioides	Stephanopyxis turris	Rhizosolenia setigera	Rhizosolenia hebetata f. semispina	Rhizosolenia hebetata f. hebetata	Nitzschia reinholdii	Nitzschia marina	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Bacterosira fragilis	Actinocyclus oculatus	Actinocyclus curvatulus	Coscinodiscus asteromphalus	Thalassiosira lineata	Nitzschia fossilis	Hemidiscus cuneiformis	Azpeitia nodulifer	Thalassiosira antiqua	Pseudoeunotia doliolus	Roperia tesselata	Rhizosolenia styliformis	Proboscia alata	Rhizosolenia bergonii	Nitzschia panduriformis	Bacteriastrum hyalinum	Thalassiosira trifulta	Thalassiosira gravida vegetative	Thalassiosira eccentrica	Proboscia curvirostris	Thalassiosira nordenskioeldii	Nitzschia bicapitata	Neodenticula seminae	Coscinodiscus radiatus	Comment



  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  1	H	 1	  49.00	      0.4900	Koc      	Diatoms                                      	A              	G                 	C                        	                       	                     	                     	F                          	F                          	                    	                     	F                                 	                                 	                    	                	                        	A                                	                    	                     	F                      	                           	F                    	                  	                      	                  	                     	R                     	C                	A                       	C              	                     	                       	                      	                      	F                               	F                       	                      	                             	                    	                    	F                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  1	H	 2	  49.00	      1.9900	Koc      	Diatoms                                      	C              	G                 	F                        	C                      	                     	                     	                           	                           	                    	                     	F                                 	                                 	                    	                	                        	A                                	                    	                     	F                      	                           	                     	                  	R                     	                  	                     	                      	                 	C                       	F              	                     	                       	                      	                      	F                               	                        	                      	                             	                    	                    	F                     	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  1	H	 3	  49.00	      3.4900	Koc      	Diatoms                                      	B              	                  	F                        	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	                                 	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	                        	               	                     	                       	                      	                      	R                               	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

  IR	                 	Pleistocene      	                  	T. oestrupii  	162	 983	A	  1	H	 4	  49.00	      4.9900	Koc      	Diatoms                                      	F              	P                 	                         	                       	                     	                     	                           	                           	                    	                     	                                  	                                 	                    	                	                        	                                 	                    	                     	                       	                           	                     	                  	                      	                  	                     	                      	                 	F                       	               	                     	                       	                      	                      	                                	                        	                      	                             	                    	                    	                      	from 162SR. Ch 4. Table 1.

