Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa caribbeanica	Reticulofenestra minutula	Syracosphaera pulchra	Reticulofenestra asanoi	Gephyrocapsa oceanica	Gephyrocapsa muellerae	Reticulofenestra minuta	Emiliania huxleyi	Braarudosphaera bigelowii	Pontosphaera spp.	Syracosphaera spp.(small)	Scapholithus fossilis	Comment



  IR	Quaternary       	                 	                  	              	168	1029	A	  1	H	 1	  13.00	      0.1300	Su       	Nannofossils                                 	F              	G                 	R                    	                      	T                     	                        	                    	R                        	                         	                         	T                    	                       	                     	F                     	                       	A                	                         	                 	                         	T                    	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  1	H	 2	  58.00	      2.0800	Su       	Nannofossils                                 	R              	M-G               	F                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	                     	C                     	                       	C                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  2	H	 1	  44.00	      4.9400	Su       	Nannofossils                                 	R              	G                 	R                    	                      	                      	                        	                    	R                        	                         	                         	                     	                       	T                    	F                     	                       	D                	                         	                 	R                        	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  2	H	 3	 145.00	      8.9500	Su       	Nannofossils                                 	R              	M-G               	R                    	                      	                      	                        	                    	R                        	                         	                         	                     	                       	                     	F                     	                       	D                	T                        	T                	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  2	H	 4	  84.00	      9.8400	Su       	Nannofossils                                 	T              	M                 	F                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	F                    	A                     	                       	F                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  2	H	 5	  96.00	     11.4600	Su       	Nannofossils                                 	F              	M-G               	T                    	                      	                      	                        	                    	F                        	                         	                         	                     	                       	F                    	A                     	                       	C                	T                        	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  2	H	 6	 104.00	     13.0400	Su       	Nannofossils                                 	C              	M-G               	C                    	                      	                      	                        	                    	                         	                         	                         	                     	                       	F                    	A                     	                       	C                	                         	                 	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

  IR	Quaternary       	                 	                  	              	168	1029	A	  2	H	 7	  12.00	     13.6200	Su       	Nannofossils                                 	C              	M-G               	R                    	                      	                      	                        	                    	T                        	                         	                         	                     	                       	R                    	A                     	                       	A                	+                        	T                	                         	                     	from unpublished FOSSILLIST files provided by Su(4506) in 2002.

