Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbellosphaera irregularis,Scyphosphaera spp.,Rhabdosphaera spp.,Pontosphaera spp.,Placolith (small),Oolithotus fragilis,Helicosphaera inversa,Helicosphaera carteri,Gephyrocapsids (small with bars),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Discoaster spp.,Ceratolithus rugosus,Calcidiscus leptoporus,Hayaster perplexus,Pontosphaera indooceanica,Helicosphaera wallichii,Emiliania huxleyi,Ceratolithus simplex,Ceratolithus cristatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,CN15              ,              ,135, 840,A,  1,H, 1,  45.00,      0.4500,Quinterno,Nannofossils                                 ,V              ,G                 ,                          ,                  ,A                 ,F                ,                 ,                   ,                     ,C                    ,A                               ,A                    ,F                        ,               ,                    ,F                     ,                  ,F                        ,F                      ,V                ,F                   ,F                     ,uncertain identity of Gephyrocapsa caribbeanica; from ODP Leg 135 Chapter 17 Table 2 p 268 & Table 7 p. 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,135, 840,A,  1,H, 2,   3.00,      1.5800,Quinterno,Nannofossils                                 ,V              ,G                 ,C                         ,                  ,C                 ,C                ,                 ,C                  ,                     ,C                    ,A                               ,A                    ,F                        ,               ,                    ,F                     ,F                 ,                         ,                       ,                 ,                    ,                      ,from ODP Leg 135 Chapter 17 Table 2 p 268 & Table 7 p. 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,135, 840,A,  1,H, 2, 140.00,      2.9500,Quinterno,Nannofossils                                 ,V              ,G                 ,R                         ,                  ,R                 ,R                ,                 ,F                  ,                     ,R                    ,V                               ,A                    ,R                        ,               ,                    ,R                     ,R                 ,                         ,                       ,                 ,                    ,                      ,from ODP Leg 135 Chapter 17 Table 2 p 268 & Table 7 p. 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,135, 840,A,  1,H, 3,  32.00,      3.3700,Quinterno,Nannofossils                                 ,V              ,G                 ,                          ,F                 ,A                 ,C                ,                 ,C                  ,C                    ,C                    ,A                               ,A                    ,A                        ,rR             ,rR                  ,R                     ,                  ,                         ,                       ,                 ,                    ,                      ,from ODP Leg 135 Chapter 17 Table 2 p 268 & Table 7 p. 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,135, 840,A,  1,H,CC,  29.00,      4.1400,Quinterno,Nannofossils                                 ,V              ,G                 ,F                         ,F                 ,A                 ,C                ,A                ,C                  ,F                    ,C                    ,A                               ,C                    ,A                        ,               ,                    ,                      ,                  ,                         ,                       ,                 ,                    ,                      ,from ODP Leg 135 Chapter 17 Table 2 p 268 & Table 7 p. 282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
