Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria biporta,Watznaueria barnesae,Rhagodiscus asper,Quadrum eneabrachium,Microstaurus chiastius,Manivitella pemmatoidea,Lithraphidites carniolensis carniolensis,Hayesites irregularis,Haqius circumradiatus,Glaukolithus bicrescenticus,Flabellites biforaminis,Cretarhabdus crenulatus,Assipetra infracretacea,Watznaueria britannica,Eprolithus floralis,Laguncula dorotheae,Eiffellithus turriseiffelii,Tetrapodorhabdus coptensis,Tegumentum stradneri,Prediscosphaera columnata,Placozygus tractus,Loxolithus armilla,Cylindralithus nudus,Broinsonia dentata,Axopodorhabdus albianus,Watznaueria fossacincta,Tranolithus phacelosus,Reinhardtites anthophorus,Quadrum gothicum,Quadrum gartneri,Micula cubiformis,Glaukolithus diplogrammus,Eiffellithus eximius,Cylindralithus stradneri,Cylindralithus coangustatus,Cyclagelosphaera margerelii,Cribrosphaerella romanica,Cribrosphaerella ehrenbergii,Cretarhabdus octofenestratus,Cretarhabdus conicus,Chiastozygus fessus,Ceratolithoides self-trailiae,Ceratolithoides indiensis,Calculites ovalis,Broinsonia parca constricta,Broinsonia bevieri,Tranolithus argos,Stoverius biarcus,Rhagodiscus indistinctus,Prediscosphaera cretacea,Micula swastica,Micula staurophora,Cribrosphaerella obovata,Arkhangelskiella cymbiformis var NT,Arkhangelskiella cymbiformis,Quadrum trifidum (short arms),Reinhardtites levis,Micula aff praemura (high),Broinsonia parca,Micula praemurus,Chiastozygus litterarius,Cribrocorona gallica,Prinsius tenuiculum,Prinsius martinii,Prinsius dimorphosus,Ericsonia subpertusa,Ericsonia sp. 4,Ericsonia alternans,Cruciplacolithus tenuis,Cruciplacolithus intermedius,Coccolithus pelagicus,Chiasmolithus danicus,Toweius eminens,Sphenolithus primus,Fasciculithus tympaniformis,Discoaster multiradiatus,Cruciplacolithus frequens,Tribrachiatus orthostylus,Toweius occultatus,Coccolithus cavus,Chiasmolithus eograndis,Campylosphaera eodela,Sphenolithus editus,Ericsonia formosa,Discoaster saipanensis,Discoaster kuepperi,Discoaster diastypus,Discoaster barbadiensis,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus pseudoradians,Nannotetrina fulgens,Nannotetrina alata,Chiasmolithus grandis,Chiasmolithus consuetus,Rhabdosphaera inflata,Discoaster sublodoensis,Chiasmolithus titus,Chiasmolithus gigas,Sphenolithus furcatolithoides,Chiasmolithus solitus,Reticulofenestra umbilica,Cyclolithella protoannula,Cribrocentrum reticulatum,Chiasmolithus oamaruensis,Sphenolithus moriformis,Helicosphaera salebrosa,Helicosphaera lophota,Helicosphaera compacta,Dictyococcites bisectus,Reticulofenestra hillae,Discoaster tanii,Discoaster strictus,Cyclicargolithus floridanus,Coccolithus miopelagicus,Sphenolithus neoabies,Sphenolithus heteromorphus,Sphenolithus predistentus,Reticulofenestra circus,Discoaster deflandrei,Lanternithus minutus,Discoaster calculosus,Clausicoccus fenestratus,Zygrhablithus bijugatus,Sphenolithus distentus,Discoaster adamanteus,Cyclicargolithus abisectus,Sphenolithus ciperoensis,Sphenolithus dissimilis,Discoaster druggii,Cyclicargolithus floridanus abisectus,Calcidiscus tropicus,Tetralithoides symeonidesii,Helicosphaera carteri,Discoaster deflandrei (5 ray),Coronocyclus prionion,Hayaster perplexus,Coronocyclus nitescens,Calcidiscus premacintyrei,Umbilicosphaera sibogae,Helicosphaera waltrans,Helicosphaera euphratis,Triquetrorhabdulus rioensis,Scyphosphaera martinii,Reticulofenestra pseudoumbilicus,Triquetrorhabdulus serratus,Triquetrorhabdulus rugosus,Sphenolithus abies,Coronocyclus nitescens (elliptical),Calcidiscus leptoporus,Scyphosphaera amphora,Discoaster kugleri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN6,NN6,,192,1183,A,6,R,CC,23.00,371.0000,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,A                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,                           ,F                       ,C                    ,                          ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,R                   ,                           ,R                    ,                             ,                     ,                  ,F                     ,R                        ,F                      ,                      ,                       ,                           ,                      ,F                               ,R                          ,R                         ,F                 ,F                                  ,R                     ,                     ,                  ,top T.serratus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN6,NN6,,192,1183,A,7,R,CC,23.00,380.1300,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,A                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,F                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,                           ,F                       ,A                    ,                          ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,F                   ,                           ,F                    ,                             ,                     ,                  ,F                     ,R                        ,F                      ,                      ,                       ,                           ,R                     ,F                               ,R                          ,R                         ,F                 ,R                                  ,R                     ,                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN5,NN5,,192,1183,A,8,R,CC,28.00,391.9800,Bergen   ,Nannofossils                                 ,C              ,M                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,C                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,F                          ,R                       ,C                    ,F                         ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,R                   ,                           ,R                    ,                             ,                     ,                  ,R                     ,R                        ,                       ,                      ,                       ,R                          ,R                     ,R                               ,                           ,                          ,                  ,                                   ,                      ,                     ,                  ,top Shetero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN5,NN5,,192,1183,A,9,R,CC,24.00,397.9300,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,A                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,F                          ,R                       ,C                    ,C                         ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,R                   ,                           ,F                    ,                             ,+                    ,                  ,R                     ,R                        ,R                      ,R                     ,R                      ,                           ,                      ,                                ,                           ,                          ,                  ,                                   ,                      ,                     ,                  ,tops Hwaltrans and Caff.prionon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN5,NN5,,192,1183,A,10,R,CC,23.00,412.6500,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,A                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,C                          ,F                       ,C                    ,C                         ,                         ,                       ,                     ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,F                   ,                           ,F                    ,                             ,R                    ,                  ,F                     ,F                        ,R                      ,                      ,                       ,                           ,                      ,                                ,                           ,                          ,                  ,                                   ,                      ,                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN5,NN5,,192,1183,A,11,R,CC,26.00,422.7000,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,C                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,F                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,C                          ,                        ,F                    ,C                         ,                         ,                       ,F                    ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,                                     ,R                   ,                           ,R                    ,                             ,R                    ,R                 ,                      ,R                        ,                       ,                      ,                       ,                           ,                      ,                                ,                           ,                          ,                  ,                                   ,                      ,                     ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,Cenozoic         ,NN4,NN4,,192,1183,A,12,R,CC,28.00,432.1000,Bergen   ,Nannofossils                                 ,C              ,P                 ,                       ,                   ,                    ,                 ,                    ,                      ,                       ,                                        ,                     ,                     ,                           ,                       ,                       ,                       ,                      ,                   ,                   ,                           ,                          ,                    ,                         ,                  ,                  ,                    ,                  ,                       ,                       ,                      ,                         ,                ,                ,                 ,                         ,                    ,                        ,                           ,                           ,                         ,                            ,                            ,                    ,                   ,                             ,                         ,                 ,                           ,                  ,                 ,                 ,                        ,                        ,               ,                  ,                        ,                                   ,                            ,                             ,                   ,                          ,                ,                ,                        ,                    ,                   ,                 ,                    ,                    ,               ,                   ,                       ,                            ,C                    ,                     ,               ,                   ,                           ,                        ,                         ,                         ,                  ,                 ,                       ,                     ,                   ,                 ,                      ,                   ,                    ,                       ,                     ,                    ,                          ,                    ,                  ,                     ,                       ,                     ,                       ,                   ,                   ,                             ,                     ,                         ,                         ,                         ,                         ,C                      ,                       ,                     ,                      ,                       ,                       ,                ,                   ,C                          ,R                       ,                     ,C                         ,                         ,                       ,A                    ,                    ,                     ,                        ,                       ,                      ,                     ,                          ,                        ,                       ,                  ,R                                    ,R                   ,R                          ,R                    ,R                            ,R                    ,R                 ,R                     ,R                        ,                       ,                      ,                       ,                           ,                      ,                                ,                           ,                          ,                  ,                                   ,                      ,                     ,                  ,"top Tsym,Ddef(5))?, abun Ddef?"
