Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerinoides primordius	Globorotalia (Hirsutella) cibaoensis	Globorotalia tumida	Globorotalia plesiotumida	Sphaeroidinellopsis seminulina	Neogloboquadrina acostaensis	Globorotalia pseudomiocenica	Dentoglobigerina altispira	Globoturborotalita nepenthes	Globorotalia margaritae	Globigerinoides extremus	Menardella miocenica	Globigerinoides fistulosus	Truncorotalia truncatulinoides	Truncorotalia tosaensis	Comment



  IR	                 	Pleistocene      	                  	Pt1b          	194	1193	A	  1	H	 1	  20.00	      0.2000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	                         	                              	                            	                            	                          	                            	                       	                        	                    	                          	F                             	                       	N23. No Gr.tosa

  IR	                 	Pleistocene      	Pt1b              	Pt1a          	194	1193	A	  1	H	 3	  20.00	      3.2000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	F                  	                         	                              	                            	                            	                          	                            	                       	                        	                    	                          	F                             	F                      	Mid N22. No P.finalis/fistulosus.

  IR	                 	Late Pliocene    	PL6 - IndoPac     	PL5 - IndoPac 	194	1193	A	  1	H	 5	  18.00	      6.1800	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	                         	                              	                            	F                           	                          	                            	                       	A                       	F                   	A                         	                              	                       	Top N21. Gr.trunc

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1193	A	  1	H	CC	  13.00	      6.5800	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	F                        	                              	                            	F                           	A                         	                            	                       	                        	                    	                          	                              	                       	N19+Sph.dehisc/P.obliquil.

  IR	                 	Late Pliocene    	PL4               	PL3           	194	1193	A	  2	H	 2	  10.00	      8.2000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	F                  	                         	F                             	                            	F                           	A                         	                            	                       	                        	                    	                          	                              	                       	Base N20. No Gr.fist. P.primalis/Sa.dehiscens pres.

  IR	                 	Late Pliocene    	                  	PL3           	194	1193	A	  2	H	 5	  20.00	     12.8000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	                         	                              	F                           	                            	                          	                            	                       	                        	                    	                          	                              	                       	Base N20. No G.nepenthes/Gr.marg

  IR	                 	Early Pliocene   	Pl1b              	Pl1a          	194	1193	A	  2	H	CC	  23.00	     15.9700	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	F                  	F                        	                              	                            	R                           	                          	                            	                       	F                       	                    	                          	                              	                       	Top N19-Base N18.

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1193	A	  3	H	 2	  10.00	     17.7000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	                         	                              	                            	                            	                          	                            	R                      	                        	                    	                          	                              	                       	N19

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1193	A	  3	H	 5	 100.00	     23.1000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	                         	R                             	R                           	                            	F                         	                            	R                      	                        	                    	                          	                              	                       	N19

  IR	                 	Early Pliocene   	Pl1b              	Pl1a          	194	1193	A	  3	H	CC	  24.00	     26.0600	planks   	Planktonic Foraminifers                      	A              	G                 	                          	R                                   	F                  	                         	                              	                            	                            	A                         	                            	R                      	                        	                    	                          	                              	                       	N18. No Sph.dehisc. Gr.marg/cibao?

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1193	A	  4	H	 2	  10.00	     27.2000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	                         	F                             	R                           	F                           	F                         	R                           	                       	                        	                    	                          	                              	                       	N19. Gr.punct pres.

  IR	                 	Early Pliocene   	PL2               	Pl1b          	194	1193	A	  4	H	 5	 100.00	     32.6000	planks   	Planktonic Foraminifers                      	A              	G                 	                          	                                    	                   	                         	R                             	R                           	F                           	A                         	                            	                       	                        	                    	                          	                              	                       	N19. Gr.puncticulata pres.

  IR	                 	Early Pliocene   	Pl1b              	Pl1a          	194	1193	A	  4	H	CC	  14.00	     35.3900	planks   	Planktonic Foraminifers                      	C              	M                 	                          	P                                   	R                  	F                        	                              	                            	                            	                          	                            	                       	                        	                    	                          	                              	                       	N18. + Sph.paenedehiscens.

  IR	                 	Early Miocene    	M4b               	M1            	194	1193	A	 45	X	CC	  39.00	    245.7800	planks   	Planktonic Foraminifers                      	T              	P                 	P                         	                                    	                   	                         	                              	                            	                            	                          	                            	                       	                        	                    	                          	                              	                       	Possibly N4-N7. Gds.primordius/G.connecta?

  IR	                 	Early Miocene    	M2                	M1b           	194	1193	A	 50	X	CC	  37.00	    285.4500	planks   	Planktonic Foraminifers                      	T              	P                 	P                         	                                    	                   	                         	                              	                            	                            	                          	                            	                       	                        	                    	                          	                              	                       	N4-N5. Gds.primordius?

  IR	                 	Early Miocene    	M2                	M1b           	194	1193	A	 51	X	CC	  28.00	    296.4200	planks   	Planktonic Foraminifers                      	T              	P                 	P                         	                                    	                   	                         	                              	                            	                            	                          	                            	                       	                        	                    	                          	                              	                       	N4-N5?

  IR	                 	Early Miocene    	M2                	M1a           	194	1193	A	 60	X	CC	  39.00	    367.3100	planks   	Planktonic Foraminifers                      	R              	P                 	P                         	                                    	                   	                         	                              	                            	                            	                          	                            	                       	                        	                    	                          	                              	                       	N4a-N5. Gds.primordius?

