Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sin.),Globorotalia scitula,Globigerinita minuta,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Globigerinita uvula Group,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina pachyderma (dex.),Globorotalia theyeri,Tenuitella parkerae,Orbulina universa,Neogloboquadrina dutertrei,Comment
  SR,                 ,                 ,                  ,              ,139, 855,C,  1,R, 6,  79.00,      8.2900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                                  ,                    ,                    ,                       ,                       ,                     ,                         ,0                                      ,0                                    ,                                  ,                    ,                   ,                 ,                          ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 855,C,  1,R,CC,   7.00,      8.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                 ,                    ,C                   ,C                      ,C                      ,A                    ,                         ,30                                     ,1                                    ,R                                 ,R                   ,                   ,                 ,                          ,from Leg 139 SR; Chapter 4; Table 5; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 855,C,  2,R,CC,   8.00,     17.9800,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                 ,R                   ,                    ,R                      ,A                      ,A                    ,                         ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 855,C,  3,R,CC,  17.00,     25.3300,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                 ,R                   ,                    ,C                      ,A                      ,C                    ,R                        ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 855,C,  4,R,CC,  11.00,     33.0200,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                 ,                    ,C                   ,                       ,C                      ,A                    ,                         ,                                       ,                                     ,                                  ,                    ,                   ,                 ,                          ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114 & 118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
