Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa (small),Coccolithus pelagicus,Gephyrocapsa Group 1,Gephyrocapsa Group 2,Crenalithus doronicoides,Gephyrocapsa Group 4,Emiliania huxleyi,Gephyrocapsa Group 3,Calcidiscus leptoporus,Braarudosphaera bigelowii,Gephyrocapsa caribbeanica,Coccolithus crassipons,Pontosphaera sp.,Pontosphaera japonica,Reticulofenestra sp.,Syracosphaera pulchra,Rhabdosphaera clavigera,Emiliania pujosae,Coccolithus streckerii,Umbilicosphaera mirabilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,C,  1,R, 1,   0.00,      0.0000,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,C                    ,                    ,                    ,                        ,                    ,F                ,                    ,R                     ,                         ,R                        ,                      ,                ,                     ,                    ,R                    ,                       ,                 ,                      ,                         ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,C,  1,R, 1,  92.00,      0.9200,Mao      ,Nannofossils                                 ,C              ,G                 ,                    ,C                    ,C                   ,F                   ,R                       ,F                   ,C                ,                    ,F                     ,R                        ,                         ,                      ,                ,                     ,                    ,                     ,                       ,F                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,C,  1,R, 2,  94.00,      2.4400,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,C                    ,C                   ,R                   ,F                       ,F                   ,C                ,                    ,                      ,R                        ,                         ,                      ,                ,R                    ,                    ,                     ,                       ,R                ,R                     ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,C,  1,R, 3, 110.00,      4.1000,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,C                    ,C                   ,                    ,                        ,F                   ,C                ,                    ,                      ,R                        ,                         ,R                     ,                ,                     ,                    ,                     ,                       ,F                ,                      ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,C,  1,R, 4,  95.00,      5.4500,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,C                    ,C                   ,                    ,                        ,                    ,C                ,                    ,                      ,R                        ,                         ,                      ,                ,                     ,                    ,R                    ,                       ,F                ,R                     ,                         ,from ODP Leg 139 SR; Chapter 5; Table 5; p. 63
