Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Melonis pompilioides,Globocassidulina spp.,Eponides turgida,Elphidium spp.,Stainforthia complanata,Sphaeroidina bulloides,Nonionella digitata,Lagenid taxa,Globobulimina spp.,Epistominella pacifica,Elphidium excavatum,Buliminella elegantissima,Cibicidoides sp. A,Valvulineria sp. A,Rutherfordoides sp. A,Uvigerina senticosa,Triloculina spp.,Pyrgo spp.,Pullenia salisburyi,Oridorsalis tener,Melonis barleeanus,Gyroidinoides planulatus,Gyroidina spp.,Gavelinopsis (?) taxa,Epistominella exigua,Epistominella cf. E. vitrea,Cibicidoides wuellerstorfi,Cibicides kullenbergi,Bulimina ovula,Bolivina spp.,Quinqueloculina spp.,Pullenia bulloides,Nonionella cf. N. miocenica,Cassidulina reniforme,Globobulimina pacifica,Eggerella bradyi,Gyroidinoides altiformis,Globobulimina affinis,Cibicides fletcheri,Bolivina pacifica,Uvigerina dirupta,Pyrgo murrhina,Hoeglundina elegans,Chilostomella oolina,Bulimina inflata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  1,R, 1,   0.00,      0.0000,Brunner  ,Benthic Foraminifers                         ,A              ,                  ,                    ,                     ,                ,              ,+                      ,                      ,                   ,            ,                  ,                      ,                   ,                         ,                  ,+                 ,                     ,+                  ,                ,          ,+                  ,                 ,                  ,+                       ,              ,                     ,                    ,                           ,                          ,+                    ,+             ,             ,                    ,+                 ,                           ,                     ,+                     ,                ,+                       ,                     ,+                  ,                 ,+                ,+             ,+                  ,+                   ,+               ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  1,R,CC,   7.00,      8.4000,Brunner  ,Benthic Foraminifers                         ,F              ,                  ,                    ,                     ,                ,              ,+                      ,                      ,                   ,            ,                  ,                      ,                   ,                         ,                  ,+                 ,                     ,+                  ,+               ,          ,                   ,                 ,                  ,+                       ,              ,                     ,                    ,                           ,+                         ,                     ,              ,             ,                    ,                  ,                           ,                     ,                      ,                ,                        ,+                    ,                   ,+                ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  2,R,CC,   8.00,     17.9800,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,+                   ,                     ,                ,              ,+                      ,                      ,                   ,+           ,                  ,                      ,                   ,                         ,                  ,                  ,                     ,+                  ,+               ,          ,                   ,                 ,                  ,+                       ,              ,                     ,                    ,                           ,+                         ,                     ,+             ,             ,                    ,                  ,                           ,                     ,                      ,                ,+                       ,+                    ,+                  ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 855,C,  3,R,CC,  17.00,     25.3300,Brunner  ,Benthic Foraminifers                         ,F              ,                  ,+                   ,+                    ,+               ,              ,                       ,+                     ,                   ,+           ,                  ,                      ,                   ,                         ,+                 ,+                 ,                     ,+                  ,                ,          ,                   ,                 ,                  ,+                       ,+             ,                     ,                    ,                           ,                          ,                     ,+             ,             ,                    ,+                 ,                           ,                     ,+                     ,+               ,                        ,                     ,                   ,                 ,                 ,              ,                   ,                    ,                ,from ODP Leg 139 IR; Chapter 5; Tables 4 & 5; pp. 114-118
