genus species name,pbdb_taxon_id,checked,pbdb_taxon_name,pbdb_taxon_rank,species_taxon_id,species_taxon_name,genus_taxon_id,genus_taxon_name,family_taxon_id,family_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name
Euuvigerina miozea,,True,,,,,,,,,,,,,,,,,,
Euuvigerina rodleyi,,True,,,,,,,,,,,,,,,,,,
Candeina nitida,422278,True,Candeina nitida,species,422278,Candeina nitida,1053,Candeina,422277,Candeinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Dentoglobigerina altispira,402661,True,Dentoglobigerina altispira,species,402661,Dentoglobigerina altispira,1264,Dentoglobigerina,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Dentoglobigerina baroemoenensis,422289,True,Dentoglobigerina baroemoenensis,species,422289,Dentoglobigerina baroemoenensis,1264,Dentoglobigerina,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerina bulloides,113301,True,Globigerina bulloides,species,113301,Globigerina bulloides,1498,Globigerina,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerina falconensis,388387,True,Globigerina falconensis,species,388387,Globigerina falconensis,1498,Globigerina,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerina rubescens,422320,True,Globigerina rubescens,species,422320,Globigerina rubescens,1529,Globoturborotalita,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinella calida,422302,True,Globigerinella calida,species,422302,Globigerinella calida,1501,Globigerinella,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinella siphonifera,422304,True,Globigerinella siphonifera,species,422304,Globigerinella siphonifera,1501,Globigerinella,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinita glutinata,422375,True,Globigerinita glutinata,species,422375,Globigerinita glutinata,1503,Globigerinita,422373,Globigerinitidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides bulloideus,422308,True,Globigerinoides bulloideus,species,422308,Globigerinoides bulloideus,1504,Globigerinoides,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides conglobatus,388409,True,Globigerinoides conglobatus,species,388409,Globigerinoides conglobatus,1504,Globigerinoides,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides extremus,388397,True,Globigerinoides extremus,species,388397,Globigerinoides extremus,1504,Globigerinoides,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides fistulosus,,True,,,,,,,,,,,,,,,,,,
Globigerinoides immaturus,,True,,,,,,,,,,,,,,,,,,
Globigerinoides obliquus,388395,True,Globigerinoides obliquus,species,388395,Globigerinoides obliquus,1504,Globigerinoides,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides pyramidalis,,True,,,,,,,,,,,,,,,,,,
Globigerinoides ruber,388393,True,Globigerinoides ruber,species,388393,Globigerinoides ruber,1504,Globigerinoides,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides sacculifer,388389,True,Globigerinoides sacculifer,species,388389,Globigerinoides sacculifer,422361,Trilobatus,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides subquadratus,422311,True,Globigerinoides subquadratus,species,422311,Globigerinoides subquadratus,1504,Globigerinoides,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globigerinoides trilobus,82229,True,Globigerinoides trilobus,species,82229,Globigerinoides trilobus,1504,Globigerinoides,82191,Globigerinidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globoconella inflata,422400,True,Globoconella inflata,species,422400,Globoconella inflata,103797,Globoconella,82192,Globorotaliidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globorotalia crassaformis,422430,True,Globorotalia (Truncorotalia) crassaformis,species,422430,Globorotalia (Truncorotalia) crassaformis,1521,Globorotalia,82192,Globorotaliidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globorotalia flexuosa,,True,,,,,,,,,,,,,,,,,,
Globorotalia humerosa,402487,True,Globorotalia humerosa,species,402487,Globorotalia humerosa,1917,Neogloboquadrina,82192,Globorotaliidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globorotalia limbata,422439,True,Globorotalia (Menardella) limbata,species,422439,Globorotalia (Menardella) limbata,1521,Globorotalia,82192,Globorotaliidae,288974,Foraminifera,212476,Rhizaria,,,,,,
Globorotalia margaritae,422441,True,Globorotalia (Hirsutella) margaritae,species,422441,Globorotalia (Hirsutella) margaritae,1521,Globorotalia,82192,Globorotaliidae,288974,Foraminifera,212476,Rhizaria,,,,,,
