genus species name,species_taxon_id,species_taxon_name,tmp_genus_taxon_id,tmp_genus_taxon_name
Euuvigerina miozea,,,,
Euuvigerina rodleyi,,,,
Candeina nitida,422278,Candeina nitida,1053,Candeina
Dentoglobigerina altispira,402661,Dentoglobigerina altispira,1264,Dentoglobigerina
Dentoglobigerina baroemoenensis,422289,Dentoglobigerina baroemoenensis,1264,Dentoglobigerina
Globigerina bulloides,113301,Globigerina bulloides,1498,Globigerina
Globigerina falconensis,388387,Globigerina falconensis,1498,Globigerina
Globigerina rubescens,422320,Globigerina rubescens,1529,Globoturborotalita
Globigerinella calida,422302,Globigerinella calida,1501,Globigerinella
Globigerinella siphonifera,422304,Globigerinella siphonifera,1501,Globigerinella
Globigerinita glutinata,422375,Globigerinita glutinata,1503,Globigerinita
Globigerinoides bulloideus,422308,Globigerinoides bulloideus,1504,Globigerinoides
Globigerinoides conglobatus,388409,Globigerinoides conglobatus,1504,Globigerinoides
Globigerinoides extremus,388397,Globigerinoides extremus,1504,Globigerinoides
Globigerinoides fistulosus,,,,
Globigerinoides immaturus,,,,
Globigerinoides obliquus,388395,Globigerinoides obliquus,1504,Globigerinoides
Globigerinoides pyramidalis,,,,
Globigerinoides ruber,388393,Globigerinoides ruber,1504,Globigerinoides
Globigerinoides sacculifer,388389,Globigerinoides sacculifer,422361,Trilobatus
Globigerinoides subquadratus,422311,Globigerinoides subquadratus,1504,Globigerinoides
Globigerinoides trilobus,82229,Globigerinoides trilobus,1504,Globigerinoides
Globoconella inflata,422400,Globoconella inflata,103797,Globoconella
Globorotalia crassaformis,422430,Globorotalia (Truncorotalia) crassaformis,1521,Globorotalia
Globorotalia flexuosa,,,,
Globorotalia humerosa,402487,Globorotalia humerosa,1917,Neogloboquadrina
Globorotalia limbata,422439,Globorotalia (Menardella) limbata,1521,Globorotalia
Globorotalia margaritae,422441,Globorotalia (Hirsutella) margaritae,1521,Globorotalia
Globorotalia menardii,422442,Globorotalia (Menardella) menardii,1521,Globorotalia
Globorotalia multicamerata,,,,
Globorotalia pertenuis,,,,
Globorotalia plesiotumida,422449,Globorotalia plesiotumida,1521,Globorotalia
Globorotalia tosaensis,422459,Globorotalia (Truncorotalia) tosaensis,1521,Globorotalia
Globorotalia truncatulinoides,248431,Globorotalia truncatulinoides,1521,Globorotalia
Globorotalia tumida,422447,Globorotalia tumida,1521,Globorotalia
Globorotalia ungulata,422463,Globorotalia ungulata,1521,Globorotalia
Globoturborotalita apertura,422322,Globoturborotalita apertura,1529,Globoturborotalita
Globoturborotalita woodi,422345,Globoturborotalita woodi,1529,Globoturborotalita
Neogloboquadrina acostaensis,402484,Neogloboquadrina acostaensis,1917,Neogloboquadrina
Neogloboquadrina dutertrei,402486,Neogloboquadrina dutertrei,1917,Neogloboquadrina
