Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Crenalithus doronicoides,Coccolithus pelagicus,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1077,A,  1,H, 2,  80.00,      2.3000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,-                        ,C                    ,R                        ,D                ,-                       ,-                    ,-                     ,Very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1077,A,  1,H,CC,  13.00,      4.9300,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,R                        ,F                    ,F                        ,D                ,-                       ,-                    ,-                     ,Reworked sp: Trace
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1077,A,  2,H, 2,   4.00,      6.5400,Giraudeau,Nannofossils                                 ,A              ,P                 ,-                      ,-                       ,-                   ,R                        ,C                    ,R                        ,D                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1077,A,  2,H, 4,   4.00,      9.5400,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,-                       ,-                   ,R                        ,C                    ,C                        ,D                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1077,A,  2,H,CC,  18.00,     10.7800,Giraudeau,Nannofossils                                 ,C              ,G                 ,-                      ,-                       ,-                   ,R                        ,A                    ,F                        ,A                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1077,A,  3,H, 4,  60.00,     19.6000,Giraudeau,Nannofossils                                 ,C              ,P                 ,-                      ,-                       ,-                   ,-                        ,+                    ,+                        ,+                ,-                       ,-                    ,-                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1077,A,  3,H, 6,  70.00,     22.7000,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,-                       ,-                   ,C                        ,A                    ,C                        ,A                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1077,A,  3,H,CC,  16.00,     24.0900,Giraudeau,Nannofossils                                 ,A              ,M                 ,-                      ,-                       ,-                   ,A                        ,C                    ,R                        ,A                ,-                       ,-                    ,-                     ,Top NN21a
