Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus spp.	Reticulofenestra spp.	Reticulofenestra pseudoumbilica	Minylitha convallis	Discoaster variabilis	Discoaster spp.	Discoaster calcaris	Discoaster brouweri	Discoaster archipelagoensis	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Placolith (small)	Helicosphaera sp.	Discoaster toralis	Discoaster pentaradiatus	Discoaster andamanensis	Angulolithina arca	Pentalith (fragments)	Pemma papillatum	Helicosphaera sp. aff. H. intermedia	Helicosphaera carteri	Ericsonia formosa	Discoaster quinqueramus	Discoaster exilis	Discoaster deflandrei	Dictyococcites bisectus	Cyclicargolithus floridanus	Triquetrorhabdulus farnsworthii	Pontosphaera sp.	Discoaster pansus	Discoaster challengeri	Amaurolithus amplificus	Triquetrorhabdulus rugosus	Discoaster sp. aff. D. giganteus	Discoaster berggrenii	Discoaster surculus	Discoaster blackstockae	Micrantholithus spp.	Amaurolithus ninae	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Emiliania ovata	Discoaster sublodoensis	Discoaster kuepperi	Ceratolithus cristatus	Umbellosphaera irregularis	Rhabdosphaera sp.	Discoaster bollii	Ceratolithus telesmus	Comment



  SR	Pleistocene      	                 	CN14b             	              	135	 841	A	  1	H	 1	  56.00	      0.5600	Quinterno	Nannofossils                                 	               	                  	                 	R                    	rR                             	                   	                     	               	                   	                   	                           	C                    	                      	A                     	A                	                 	                  	                        	                       	                  	                     	                	                                    	                     	                 	                       	                 	                     	                       	                           	rF                             	                	                 	                      	                       	rR                        	                                	                     	                   	                       	                    	                  	                        	F                    	C                        	               	                       	                   	F                     	R                         	F                	rR               	F                    	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Pleistocene      	                 	CN14a             	CN14b         	135	 841	A	  1	H	 3	  72.00	      3.7200	Quinterno	Nannofossils                                 	               	                  	rF               	F                    	rF                             	                   	                     	c              	                   	                   	                           	C                    	                      	C                     	A                	                 	                  	                        	                       	                  	                     	                	                                    	                     	                 	                       	                 	rR                   	rR                     	rF                         	rR                             	                	                 	                      	                       	                          	                                	                     	                   	                       	                    	                  	F                       	C                    	F                        	R              	rR                     	rR                 	F                     	                          	                 	                 	                     	uncertain identity of Emiliania ovata & Pseudoemiliania lacunosa; from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 841	A	  8	H	 4	 110.00	     71.1000	Quinterno	Nannofossils                                 	               	                  	C                	C                    	                               	F                  	F                    	F              	                   	F                  	R                          	C                    	R                     	F                     	C                	R                	R                 	                        	                       	                  	                     	                	F                                   	F                    	rR               	R                      	                 	                     	                       	                           	F                              	R               	                 	R                     	                       	                          	                                	F                    	                   	                       	rR                  	R                 	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 841	A	  8	H	CC	  35.00	     71.7100	Quinterno	Nannofossils                                 	               	                  	F                	R                    	                               	                   	                     	F              	                   	                   	                           	F                    	                      	                      	C                	                 	                  	R                       	                       	                  	                     	                	                                    	                     	                 	R                      	                 	                     	                       	                           	                               	                	                 	                      	                       	                          	                                	F                    	R                  	                       	                    	                  	                        	                     	                         	               	                       	                   	                      	                          	                 	                 	                     	from ODP Leg 135 SR Chapter 17 Table 5 p 276-277 & Table 8 p 282
