Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus glacialis,Actinomma plasticum,Eucoronis fridtjofnanseni,Clathrospyris sandellae,Ceratocyrtis robustus,Lithomelissa setosa,Corythospyris hispida,Cycladophora davisiana cornutoides,Ceratocyrtis mashae,Phorticium clevei,Ceratocyrtis galeus,Spongurus cauleti,Botryostrobus seriatus,Artostrobus jorgenseni,Larcospira bulbosa (?),Ceratocyrtis histricosa,Lithomelissa stigi,Tessarastrum thiedei,Siphocampe arachnea,Pseudodictyophimus gracilipes tetracanthus,Antarctissa whitei,Challengeron diodon,Drymyomma elegans,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,7,H,3,33.00,58.1300,Hull     ,Radiolarians                                 ,               ,                  ,                       ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,+                      ,                  ,                    ,                   ,+                                         ,+                 ,+                  ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,7,H,4,65.00,59.9500,Hull     ,Radiolarians                                 ,               ,                  ,                       ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,                      ,                      ,                      ,+                      ,                  ,                    ,                   ,+                                         ,+                 ,+                  ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,7,H,5,34.00,61.1400,Hull     ,Radiolarians                                 ,               ,                  ,                       ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,+                ,                   ,                 ,                      ,                      ,                      ,+                      ,                  ,                    ,                   ,+                                         ,+                 ,+                  ,                 ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,S. ?tetras        ,P. grac. tetracanth.,,151,907,A,7,H,CC,7.00,64.5100,Hull     ,Radiolarians                                 ,               ,                  ,                       ,                   ,                         ,                       ,                     ,                   ,                     ,                                  ,                   ,                 ,                   ,                 ,                      ,                      ,                      ,+                      ,                  ,                    ,                   ,+                                         ,+                 ,+                  ,+                ,from Leg 151IR. Ch 5. Fig 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
