Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Martinottiella communis,Spirosigmoilinella sp.,Spirolocammina sp.,Karreriella sp.,Pullenia bulloides,Melonis zaandamae,Globocassidulina globosa,Epistominella exigua,Cibicides kullenbergi,Cassidulina reniforme,Cibicides grossus,Cassidulina teretis,Cibicides wuellerstorfi,Bolivina arctica,Eponides umbonatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,Zone A            ,              ,151, 907,A,  1,H,CC,  22.00,      7.2200,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,                  ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,+                      ,                ,+                 ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,Zone A            ,              ,151, 907,A,  2,H,CC,  20.00,     17.0600,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,+                      ,+               ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,Zone A            ,              ,151, 907,A,  3,H,CC,  35.00,     26.6100,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,                 ,                        ,                    ,                     ,                     ,                 ,                   ,+                      ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,Zone B            ,              ,151, 907,A,  7,H, 3,  50.00,     58.3000,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,                 ,+                       ,                    ,                     ,                     ,                 ,+                  ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,Zone B            ,              ,151, 907,A,  7,H, 6, 102.00,     63.3200,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,+                ,+                       ,                    ,                     ,                     ,                 ,+                  ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,Zone B            ,              ,151, 907,A,  7,H,CC,   7.00,     64.5100,Osterman ,Benthic Foraminifers                         ,               ,                  ,                       ,                      ,                  ,               ,+                 ,+                ,                        ,                    ,                     ,                     ,+                ,+                  ,                       ,                ,                  ,from Leg 151IR. Ch 5. Fig. 12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
