Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra sp. (small),Coccolithus pelagicus,Helicosphaera carteri,Coccolithus sp.,Braarudosphaera bigelowii,Umbilicosphaera sibogae,Reticulofenestra pseudoumbilica,Pseudoemiliania lacunosa,Pontosphaera sp.,Pontosphaera pacifica,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Emiliania huxleyi,Coccolithus streckerii,Calcidiscus leptoporus,Gephyrocapsa caribbeanica,Triquetrorhabdulus rugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN15              ,              ,127, 795,A,  1,H, 1, 105.00,      1.0500,Rahman   ,Nannofossils                                 ,F              ,G                 ,R                 ,                            ,R                    ,                     ,               ,F                        ,                       ,                               ,                        ,                ,                     ,R                       ,                     ,                 ,                      ,R                     ,F                        ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN15              ,              ,127, 795,A,  2,H, 4, 123.00,     15.0300,Rahman   ,Nannofossils                                 ,M              ,G                 ,                  ,                            ,R                    ,                     ,               ,F                        ,                       ,                               ,                        ,                ,                     ,R                       ,                     ,                 ,                      ,                      ,R                        ,R                         ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN15              ,              ,127, 795,A,  3,H, 2,  86.00,     21.1600,Rahman   ,Nannofossils                                 ,C              ,E                 ,C                 ,                            ,                     ,                     ,               ,R                        ,                       ,                               ,                        ,                ,                     ,                        ,                     ,                 ,R                     ,                      ,F                        ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 795,A,  4,H, 2,  46.00,     30.2600,Rahman   ,Nannofossils                                 ,C              ,M                 ,M                 ,                            ,R                    ,R                    ,R              ,                         ,                       ,                               ,                        ,                ,R                    ,F                       ,F                    ,                 ,R                     ,R                     ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 795,A,  4,H, 6,  65.00,     36.4500,Rahman   ,Nannofossils                                 ,M              ,P                 ,                  ,                            ,M                    ,                     ,               ,                         ,                       ,                               ,                        ,                ,R                    ,                        ,                     ,                 ,                      ,                      ,                         ,                          ,from ODP Legs 127&128 SR Chapter 11 Table 3 p 176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
