Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Sphenolithus verensis,Sphenolithus moriformis,Sphenolithus grandis,Sphenolithus abies,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilica,Reticulofenestra minutula,Reticulofenestra minuta,Helicosphaera carteri,Discoaster variabilis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster pansus,Discoaster neohamatus,Discoaster calcaris,Discoaster brouweri,Discoaster berggrenii,Dictyococcites productellus,Coccolithus pelagicus,Calcidiscus tropicus,Calcidiscus leptoporus,Amaurolithus tricorniculatus,Syracosphaera pulchra,Discolithina multipora,Scapholithus fossilis,Discosphaera tubifera,Discoaster intercalaris,Oolithotus antillarum,Discoaster blackstockae,Discoaster surculus,Triquetrorhabdulus rugosus,Triquetrorhabdulus striatus,Syracosphaera lamina,Discoaster challengeri,Holodiscolithus solidus,Discolithina discopora,Discoaster asymmetricus,Amaurolithus primus,Umbilicosphaera sibogae,Discolithina japonica,Amaurolithus delicatus,Ceratolithus armatus,Syracosphaera nodosa,Ceratolithus rugosus,Ceratolithus cristatus,Hayaster perplexus,Cricosphaera quadrilaminata,Ceratolithus telesmus,Holodiscolithus macroporus,Discolithina syracusana,Discoaster triradiatus,Discoaster quadramus,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Gephyrocapsa margerelii,Discoaster tamalis,Helicosphaera sellii,Umbilicosphaera angustiforamen,Scyphosphaera pulcherrima,Amaurolithus amplificus,Helicosphaera wallichii,Scyphosphaera globulosa,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica (>6 microns),Cyclolithella annula,Umbellosphaera irregularis,Helicosphaera hyalina,Helicosphaera inversa,Emiliania huxleyi,Helicosphaera neogranulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  1,H, 1, 126.00,      1.2600,Shyu     ,Nannofossils                                 ,               ,                  ,F                  ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,                       ,R                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,                     ,                       ,R                    ,                       ,                   ,                          ,                           ,F                   ,                      ,                       ,                      ,                       ,                   ,R                      ,                     ,                      ,                    ,                    ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,F                        ,                       ,                  ,                    ,                              ,                         ,                       ,F                      ,                       ,AA                        ,                         ,VR                                ,F                   ,F                         ,R                    ,                     ,C                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  1,H, 2,  40.00,      1.9000,Shyu     ,Nannofossils                                 ,               ,                  ,F                  ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,R                      ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,C                          ,                     ,                    ,F                     ,                            ,F                    ,                      ,F                    ,F                    ,                       ,R                    ,                       ,                   ,                          ,                           ,F                   ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,                    ,                    ,VR                    ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,F                        ,                       ,                  ,                    ,                              ,                         ,                       ,VR                     ,                       ,A                         ,                         ,                                  ,R                   ,F                         ,VR                   ,                     ,F                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  1,H, 3,  35.00,      3.3500,Shyu     ,Nannofossils                                 ,               ,                  ,F                  ,                     ,                       ,                    ,                  ,F                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,C                    ,                      ,F                    ,F                    ,                       ,R                    ,                       ,                   ,                          ,                           ,F                   ,                      ,                       ,                      ,                       ,                   ,R                      ,                     ,                      ,                    ,VR                  ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,C                        ,                       ,                  ,                    ,                              ,                         ,                       ,F                      ,                       ,A                         ,                         ,                                  ,R                   ,F                         ,R                    ,                     ,C                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 768,B,  1,H,CC,  17.00,      3.8600,Shyu     ,Nannofossils                                 ,               ,                  ,                   ,                     ,                       ,                    ,                  ,R                      ,                               ,                         ,                       ,F                    ,                     ,                       ,                        ,                 ,                     ,                   ,                   ,                     ,F                          ,                     ,                    ,F                     ,                            ,R                    ,                      ,R                    ,R                    ,                       ,F                    ,                       ,                   ,                          ,                           ,R                   ,                      ,                       ,                      ,                       ,                   ,F                      ,                     ,                      ,                    ,VR                  ,                    ,R                     ,                  ,                           ,                     ,                          ,                       ,                      ,                    ,                        ,A                        ,R                      ,                  ,                    ,                              ,                         ,                       ,R                      ,                       ,A                         ,VR                       ,                                  ,VR                  ,R                         ,R                    ,VR                   ,F                ,                          ,from ODP Leg 124 SR Chapter 10 Table 4 back-pocket
