Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum f. speculum	Distephanus speculum	Actiniscus pentasterias	Distephanus bioctonarius	Dictyocha fibula	Ebria tripartita (large triodes)	Ammodochium sp. (small triodes)	Ammodochium serotinum	Distephanus aculeata	Dictyocha perlaevis	Ebria tripartita	Dictyocha varia	Dictyocha messanensis stapedia	Dictyocha messanensis messanensis	Dictyocha messanensis (total)	Dictyocha messanensis aculeata	Comment



  SR	Quaternary       	                 	D. mess. aculeata 	              	141	 860	B	  1	H	 1	  90.00	      0.9000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	rT              	                                	                               	                     	                    	                   	                	               	                              	R                                	R                            	T                             	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	D. mess. aculeata 	              	141	 860	B	  2	H	 1	  40.00	      1.8000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	R                                	F                            	R                             	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	  2	H	 4	  29.00	      6.1900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	                	                                	                               	                     	                    	                   	T               	               	                              	F                                	F                            	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	  2	H	 5	  18.00	      7.5800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	  2	H	 7	  19.00	     10.5900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	T                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	R                            	R                             	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	  3	H	 3	 100.00	     14.9000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	  4	H	 3	 100.00	     24.4000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                               	R                   	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	from 141 SR; Ch 16; Table 1; p 226-227

  SR	Quaternary       	                 	Ds. speculum      	              	141	 860	B	  5	H	 3	  37.00	     33.2700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                	                    	R                      	                        	                	                                	                               	                     	                    	                   	                	               	                              	                                 	                             	                              	silicoflagellate fragments noted. from 141 SR; Ch 16; Table 1; p 226-227

