Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa sp. medium	Gephyrocapsa spp. (small)	Calcidiscus macintyrei	Helicosphaera wallichii	Gephyrocapsa spp. (large)	Gephyrocapsa sp.3 medium	Helicosphaera carteri	Calcidiscus leptoporus	Braarudosphaera bigelowii	Emiliania huxleyi	Sphenolithus abies	Gephyrocapsa omega	Ceratolithus cristatus	Comment



  IR	                 	                 	                  	              	172	1054	B	  1	H	CC	  16.00	      2.6600	Raffi    	Nannofossils                                 	               	                  	                        	                    	A                      	                         	                      	                       	                         	                        	F                    	R                     	                         	A                	                  	F                 	R                     	       

  IR	                 	                 	                  	              	172	1054	B	  2	H	CC	  12.00	     12.4200	Raffi    	Nannofossils                                 	A              	G                 	                        	                    	A                      	C                        	                      	                       	                         	                        	F                    	F                     	                         	A                	R                 	                  	                      	       

  IR	                 	                 	                  	              	172	1054	B	  3	H	CC	  22.00	     21.9400	Raffi    	Nannofossils                                 	               	                  	                        	                    	R                      	R                        	                      	                       	                         	                        	F                    	                      	                         	R                	                  	                  	                      	       

  IR	                 	                 	                  	              	172	1054	B	  4	H	CC	  20.00	     31.2800	Raffi    	Nannofossils                                 	               	                  	A                       	                    	R                      	A                        	                      	                       	                         	                        	F                    	F                     	R                        	                 	                  	                  	                      	       

  IR	                 	                 	                  	              	172	1054	B	  5	H	CC	  19.00	     40.7200	Raffi    	Nannofossils                                 	A              	G                 	A                       	                    	                       	                         	                      	                       	                         	R                       	                     	                      	                         	                 	                  	                  	                      	       

  IR	                 	                 	                  	              	172	1054	B	  6	H	CC	  25.00	     50.5000	Raffi    	Nannofossils                                 	A              	G                 	A                       	                    	-                      	                         	                      	                       	                         	                        	                     	                      	                         	                 	                  	                  	                      	       

  IR	                 	                 	                  	              	172	1054	B	  7	H	CC	  25.00	     56.8500	Raffi    	Nannofossils                                 	C              	G                 	A                       	                    	-                      	                         	                      	                       	                         	                        	                     	                      	                         	                 	                  	                  	                      	small Gephrocapsa interval inorganic fraction abundant

  IR	                 	                 	                  	              	172	1054	B	  8	H	CC	  25.00	     66.6900	Raffi    	Nannofossils                                 	C              	G                 	                        	C                   	                       	                         	                      	                       	F                        	                        	                     	                      	                         	                 	                  	                  	                      	> 1.24 < 1.58

  IR	                 	                 	                  	              	172	1054	B	  9	H	CC	  23.00	     76.5400	Raffi    	Nannofossils                                 	C              	G                 	C                       	C                   	                       	                         	                      	                       	F                        	                        	                     	                      	                         	                 	                  	                  	                      	> 1.24 < 1.58

  IR	                 	                 	                  	              	172	1054	B	 10	H	CC	  20.00	     85.9100	Raffi    	Nannofossils                                 	               	                  	A                       	                    	A                      	                         	                      	C                      	-                        	                        	                     	                      	                         	                 	                  	                  	                      	> 1.58 < 1.67/.69

  IR	                 	                 	                  	              	172	1054	B	 11	H	CC	  18.00	     95.4800	Raffi    	Nannofossils                                 	               	                  	A                       	C                   	A                      	A                        	-                     	                       	                         	                        	                     	                      	                         	                 	                  	                  	                      	> 1.58 < 1.69 overall size of medium Gephro's : 5 um

  IR	                 	                 	                  	              	172	1054	B	 12	H	CC	  29.00	    103.1400	Raffi    	Nannofossils                                 	C              	G                 	A                       	A                   	C                      	                         	                      	                       	                         	                        	                     	                      	                         	                 	                  	                  	                      	> 1.58 < 1.69





