Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spp.,Reticulofenestra umbilica,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Discoaster variabilis,Helicosphaera sellii,Discoaster triradiatus,Discoaster intercalaris,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Helicosphaera inversa,Helicosphaera wallichii,Discoaster neorectus,Reticulofenestra asanoi,Helicosphaera carteri,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp.3 medium,Pontosphaera spp.,Florisphaera profunda,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  1,H,CC,  10.00,      5.2800,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,                        ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,                      ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,A                ,< 0.085 - abun. clay minerals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  2,H,CC,   0.00,     13.6000,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,                        ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,F                     ,                     ,                       ,                    ,                       ,F                    ,A                       ,F                        ,                         ,C                       ,                 ,                     ,A                ,> 0.085   < 0.26 - Abun. clay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  3,H,CC,   0.00,     24.4400,Raffi    ,Nannofossils                                 ,R              ,P                 ,                 ,                         ,                        ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,                     ,                      ,                      ,1                     ,                     ,                       ,                    ,                       ,                     ,                        ,                         ,                         ,                        ,                 ,                     ,                 ,nearly barren - abun. diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  4,H,CC,  14.00,     34.1400,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,                        ,                  ,                   ,                        ,                   ,                       ,                     ,                    ,                      ,                       ,F                    ,                      ,                      ,A                     ,                     ,                       ,                    ,                       ,A                    ,A                       ,A                        ,                         ,A                       ,                 ,                     ,R                ,> 0.085  < 0.26  - red & brn clay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
