Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Prediscosphaera cretacea	Micula staurophora	Micula murus	Microrhabdulus decoratus	Manivitella pemmatoidea	Loxolithus armilla	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Ceratolithoides aculeus	Biscutum constans	Arkhangelskiella cymbiformis	Ceratolithoides kamptneri	Micula prinsii	Cruciplacolithus tenuis	Cruciplacolithus primus	Coccolithus pelagicus	Toweius eminens	Neochiastozygus modestus	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus pileatus	Ericsonia formosa	Clausicoccus obrutus	Chiasmolithus consuetus	Sphenolithus moriformis	Ellipsolithus macellus	Discoaster mohleri	Discoaster nobilis	Discoaster multiradiatus	Discoaster diastypus	Sphenolithus spp.	Sphenolithus radians	Discoaster lodoensis	Discoaster kuepperi	Chiasmolithus grandis	Ericsonia subdisticha	Discoaster sublodoensis	Discoaster saipanensis	Discoaster barbadiensis	Chiasmolithus solitus	Cribrocentrum reticulatum	Chiphragmalithus armatus	Chiasmolithus gigas	Reticulofenestra umbilica	Discoaster tanii	Dictyococcites bisectus	Discoaster deflandrei	Cyclicargolithus floridanus	Discoaster hamatus	Catinaster coalitus	Catinaster calyculus	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster challengeri	Discoaster brouweri	Amaurolithus spp.	Amaurolithus primus	Ceratolithus rugosus	Discoaster tamalis	Calcidiscus macintyrei	Pseudoemiliania lacunosa	Discoaster asymmetricus	Gephyrocapsa oceanica	Gephyrocapsa large	Gephyrocapsa caribbeanica	Gephyrocapsa parallela	Gephyrocapsa (small)	Comment



  IR	                 	                 	CN14a             	CN14a         	198	1209	A	  1	H	CC	  24.00	      8.1300	nannos   	Nannofossils                                 	A              	G                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	C                       	                       	F                    	                  	F                        	R                     	A                   	       

  IR	                 	                 	CN14a             	CN13b         	198	1209	A	  2	H	CC	  32.00	     18.0200	nannos   	Nannofossils                                 	A              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	                   	                       	                        	                      	                   	                 	                   	                    	                  	                      	C                       	                       	F                    	F                 	C                        	                      	                    	       

  IR	                 	                 	CN13a             	CN13a         	198	1209	A	  3	H	CC	  24.00	     27.4100	nannos   	Nannofossils                                 	C              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	+                  	                       	+                       	                      	                   	                 	                   	                    	                  	F                     	C                       	                       	                     	                  	                         	                      	                    	       

  IR	                 	                 	CN12b             	CN12b         	198	1209	A	  4	H	CC	  24.00	     36.9100	nannos   	Nannofossils                                 	A              	M                 	                    	                        	                  	            	                        	                       	                  	                           	                            	                       	                 	                            	                         	              	                       	                       	                     	               	                        	                  	                           	                      	                 	                    	                       	                       	                      	                  	                  	                        	                    	                 	                    	                    	                   	                     	                     	                       	                      	                       	                     	                         	                        	                   	                         	                	                       	                     	                           	                  	                   	                    	                                	                     	C                  	                       	F                       	                      	                   	                 	                   	                    	                  	C                     	R                       	                       	                     	                  	                         	                      	                    	       
