Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoparrella sandiegoensis,Nonionella auris,Fursenkoina glabra,Buliminella subfusiformis,Buliminella elegantissima,Buccella peruviana,Bolivinellina humilis,Bolivina costata,Ammobaculites sp.,Alexanderina viejoensis,Valvulineria peruensis,Parabolivina peruensis,Rosalina sp.,Cancris inflatus,Suggrunda eckisi,Nonionoides basispinatus,Bulimina patagonica,Globocassidulina depressa,Epistominella afueraensis,Hanzawaia nitidula,Brizalina interjuncta bicostata,Globobulimina ovula,Cassidulina auka,Bulimina pulchella,Zeaflorilus chiliensis,Uvigerina semitrigona,Brizalina sp. cf. B. acutula,Bolivinellina quadrata,Planulina depressa,Buliminella elegantissima limbosa,Bolivina plicata,Cassidulina sp.,Cassidulina pulchella,Cassidulina detierraensis,Angulogerina carinata bradyana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  1,H,CC,  12.00,      6.4600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,4               ,18                ,                         ,                         ,                  ,49                   ,19              ,                 ,1                      ,T                     ,                      ,            ,                ,                ,                        ,1                  ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,7                    ,T                        ,T                             ,count=833 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  2,H, 3,  90.00,     10.4000,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,56              ,3                 ,                         ,                         ,                  ,7                    ,32              ,                 ,1                      ,T                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=462 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  2,H,CC,  10.00,     16.1900,Resig    ,Benthic Foraminifers                         ,               ,                  ,4                           ,16              ,7                 ,                         ,                         ,                  ,35                   ,26              ,                 ,                       ,T                     ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,12                               ,                ,               ,                     ,                         ,                              ,count=598 from ODP Leg 112 SR Chapter 16 Table 3 p 271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,112, 681,A,  3,H, 3, 106.00,     20.0600,Resig    ,Benthic Foraminifers                         ,               ,                  ,                            ,45              ,1                 ,                         ,                         ,                  ,7                    ,47              ,                 ,                       ,                      ,                      ,            ,                ,                ,                        ,                   ,                         ,                         ,                  ,                               ,                   ,                ,                  ,                      ,                     ,                            ,                      ,                  ,                                 ,                ,               ,                     ,                         ,                              ,count=178 from ODP Leg 112 SR Chapter 16 Table 3 p 271
