Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina dutertrei,Globorotalia bermudezi,Globigerinita glutinata,Globigerinoides sacculifer,Globigerinoides ruber,Neogloboquadrina incompta,Neogloboquadrina blowi,Globorotaloides hexagona,Globorotalia obesa,Globigerinoides elongatus,Globigerinoides cyclostomus,Globigerina rubescens,Globigerina falconensis,Globigerina bulloides,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma,Neogloboquadrina humerosa,Hastigerinopsis riedeli,Globigerinita iota,Globigerina quinqueloba,Globorotalia anfracta,Orbulina universa,Orbulina suturalis,Globigerinoides trilobus,Globigerinoides immaturus,Globigerina calida,Globorotalia cultrata cultrata,Globorotalia theyeri,Globorotalia scitula,Globigerinita parkerae,Globorotalia cultrata menardii,Globigerina calida praecalida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  1,H,CC,  12.00,      6.4600,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                         ,                      ,R                      ,                          ,T                    ,                         ,                      ,T                       ,                  ,                         ,                           ,                     ,                       ,A                    ,                            ,A                          ,                         ,R                      ,                  ,A                      ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,T                   ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  2,H,CC,  10.00,     16.1900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                         ,                      ,F                      ,                          ,                     ,C                        ,F                     ,T                       ,F                 ,                         ,                           ,                     ,A                      ,A                    ,                            ,A                          ,                         ,                       ,T                 ,A                      ,                     ,                 ,                  ,                        ,                         ,                  ,T                             ,                    ,                    ,R                     ,                              ,R                            ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  3,H,CC,  10.00,     25.2600,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                          ,                      ,R                      ,                          ,                     ,A                        ,                      ,                        ,T                 ,                         ,                           ,                     ,C                      ,                     ,T                           ,A                          ,                         ,                       ,                  ,A                      ,                     ,                 ,                  ,                        ,                         ,                  ,                              ,                    ,                    ,                      ,T                             ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,A,  5,H,CC,   5.00,     44.6500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,F                         ,                      ,F                      ,T                         ,T                    ,A                        ,                      ,                        ,C                 ,                         ,                           ,                     ,F                      ,C                    ,                            ,A                          ,                         ,C                      ,T                 ,C                      ,                     ,F                ,R                 ,                        ,                         ,                  ,                              ,T                   ,T                   ,                      ,                              ,                             ,from ODP Leg 112 SR Chapter 15 Table 2 p 242
