Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Reticulofenestra minutula	Reticulofenestra haqii	Orthorhabdus serratus	Helicosphaera mediterranea	Helicosphaera kamptneri	Discoaster variabilis	Discoaster petaliformis	Discoaster exilis	Discoaster druggii	Cyclicargolithus floridanus	Coronocyclus nitescens (circular)	Coccolithus pelagicus	Triquetrorhabdulus auritus	Sphenolithus abies	Solidopons petrae	Pontosphaera multipora	Helicosphaera granulata	Coccolithus eopelagicus	Discoaster sanmiguelensis	Discoaster deflandrei	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera intermedia	Geminilithella rotula	Discoaster signus	Coronocyclus nitescens (oval)	Calcidiscus premacintyrei	Calcidiscus macintyrei	Discoaster moorei	Calcidiscus leptoporus	Sphenolithus moriformis	Scapholithus fossilis	Discoaster kugleri	Discoaster braarudii	Discoaster bollii	Syracosphaera? fragilis	Discoaster toralis	Coccolithus miopelagicus	Discoaster triradiatus	Pontosphaera japonica	Helicosphaera stalis	Reticulofenestra ampliumbilicus	Catinaster mexicanus	Discoaster brouweri	Catinaster coalitus	Helicosphaera orientalis	Discoaster prepentaradiatus	Discoaster hamatus	Helicosphaera pacifica	Discoaster pseudovariabilis	Helicosphaera obliqua	Catinaster calyculus	Discoaster loeblichii	Discoaster tristellifer	Sphenolithus neoabies	Discoaster pentaradiatus	Discoaster calcaris	Quadrum giganteum	Discoaster neohamatus	Minylitha convallis	Discoaster neorectus	Discoaster asymmetricus	Discoaster berggrenii	Reticulofenestra minuta	Helicosphaera rhomba	Helicosphaera burkei	Discoaster surculus	Discoaster challengeri	Discoaster quinqueramus	Amaurolithus delicatus	Triquetrorhabdulus farnsworthii	Amaurolithus tricorniculatus	Amaurolithus primus	Reticulofenestra rotaria	Helicosphaera sellii	Discoaster tamalis	Amaurolithus amplificus	Discoaster subsurculus	Syracosphaera pulchra	Florisphaera profunda	Discoaster pansus	Ceratolithus armatus/rugosus	Ceratolithus armatus	Ceratolithus rugosus	Rhabdosphaera clavigera	Coccolithus pelagicus (w/ bar)	Ceratolithus separatus	Pontosphaera indooceanica	Pseudoemiliania lacunosa (small)	Gephyrocapsa spp. (small)	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Pontosphaera plana	Discoaster blackstockae	Discoaster decorus	Helicosphaera scissura	Helicosphaera elongata	Reticulofenestra astoni	Umbilicosphaera sibogae	Ceratolithus cristatus	Helicosphaera inversa	Gephyrocapsa caribbeanica	Comment



  SR	Pleistocene      	                 	CN14a             	CN15          	159	 959	B	  1	H	CC	  19.00	      4.8500	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	+                    	+                    	                 	                            	                    	                    	                       	                              	                      	                         	                                	+                        	                   	                        	                  	                       	                  	                      	                      	                       	                       	+                     	+                    	+                        	From Leg 159SR Ch 37 Table 2

  SR	Pleistocene      	                 	CN14a             	              	159	 959	B	  2	H	CC	  19.00	     14.8800	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	C                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	                      	                 	F                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	R                    	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	R                    	C                    	                 	                            	                    	                    	                       	                              	                      	                         	                                	A                        	                   	C                       	                  	                       	                  	                      	                      	                       	R                      	                      	F                    	R                        	From Leg 159SR Ch 37 Table 2

  SR	Pleistocene      	                 	CN13a             	              	159	 959	B	  3	H	 5	  55.00	     21.0500	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	A                      	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	F                     	                 	R                     	                       	R                    	                  	                    	                 	                       	                  	                        	                      	F                    	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	A                   	                  	                       	                      	F                    	                     	                 	                            	                    	                    	F                      	                              	                      	                         	                                	                         	F                  	A                       	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Pleistocene      	                 	CN13a             	              	159	 959	B	  3	H	 6	  55.00	     22.5500	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	+                         	                       	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	                                	                        	                     	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	+                    	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	+                   	                  	                       	                      	+                    	+                    	                 	                            	                    	                    	                       	+                             	                      	                         	                                	+                        	                   	+                       	                  	                       	                  	                      	                      	                       	+                      	                      	                     	                         	From Leg 159SR Ch 37 Table 2
