Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera wallichii,Gephyrocapsa spp. (large),Gephyrocapsa sp. medium,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera spp.,Gephyrocapsa spp. (small),Braarudosphaera bigelowii,Reticulofenestra asanoi,Helicosphaera carteri,Gephyrocapsa sp.3 medium,Florisphaera profunda,Ceratolithus cristatus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  1,H,CC,   9.00,      3.6500,Raffi    ,Nannofossils                                 ,A              ,VG                ,                        ,                       ,                         ,F                      ,                     ,C                     ,                 ,F                        ,                         ,                       ,F                    ,R                       ,                     ,                      ,A                ,< 0.085- E huxleyi very well preserved!!!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  2,H,CC,  11.00,     13.4700,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                       ,                         ,C                      ,F                    ,A                     ,                 ,A                        ,                         ,                       ,F                    ,                        ,                     ,                      ,F                ,> 0.085< 0.26- mud is cocoa-brown colored!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  3,H,CC,  16.00,     23.0300,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                       ,                         ,A                      ,                     ,F                     ,                 ,A                        ,                         ,                       ,C                    ,                        ,A                    ,R                     ,                 ,> 0.085< 0.26 ~ 0.46- not certain of E huxleyi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  4,H,CC,  20.00,     32.6200,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                       ,                         ,A                      ,C                    ,C                     ,                 ,A                        ,                         ,                       ,C                    ,                        ,A                    ,                      ,-                ,> 0.26< 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  5,H,CC,  28.00,     42.1700,Raffi    ,Nannofossils                                 ,A              ,G                 ,F                       ,                       ,                         ,C                      ,                     ,C                     ,                 ,A                        ,                         ,                       ,C                    ,                        ,A                    ,                      ,                 ,> 0.46< 0.96- (F) H selli reworked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,B,  6,H,CC,  24.00,     51.7200,Raffi    ,Nannofossils                                 ,A              ,M                 ,A                       ,                       ,                         ,                       ,                     ,C                     ,                 ,A                        ,                         ,                       ,C                    ,F                       ,                     ,                      ,                 ,> 0.46< 0.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
