Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira lentiginosa,Thalassiosira kolbei,Thalassiosira inura,Thalassionema nitzschioides,Nitzschia barronii,Cosmiodiscus insignis,Coscinodiscus vulnificus,Thalassiosira symbolophora,Thalassionema nitzschioides  var. parva,Rhizosolenia styliformis,Paralia sulcata,Nitzschia kerguelenis,Nitzschia interfrigidaria,Nitzschia cylindrus,Eucampia antarctica,Azpeitia endoi/tabularis,Actinocyclus ingens,Rhizosolenia hebetata,Asteromphalus (all generic taxa),Thalassiosira torokina,Rhizosolenia barboi,Nitzschia panduriformis,Coscinodiscus elliptopora,Rouxia naviculoides,Actinocyclus actinochilus,Nitzschia ritscherii,Pleurosigma sp.,Diatoms (unspecified pennate taxa),Diatoms (unspecified centric taxa),Chaetoceros spp. (resting spores),Actinocyclus senarius,Nitzschia separanda,Porosira glacialis,Hemidiscus karstenii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 736,A,  1,H, 2,  80.00,      2.3000,Baldauf  ,Diatoms                                      ,A              ,M                 ,F                        ,R                      ,F                        ,                    ,F                  ,                           ,R                 ,                     ,                        ,R                         ,                                       ,R                       ,R              ,A                    ,                         ,                   ,F                  ,R                       ,                   ,R                    ,R                               ,                      ,                   ,R                      ,                         ,                   ,                         ,C                   ,               ,                                  ,                                  ,                                 ,                     ,                   ,                  ,                    ,from 119 SR Chapter 29 Table 4 page 560 -561.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 736,A,  1,H, 4,  93.00,      5.4300,Stockwell,Diatoms                                      ,               ,                  ,                         ,                       ,                         ,                    ,                   ,                           ,                  ,                     ,                        ,                          ,                                       ,                        ,               ,                     ,                         ,                   ,                   ,                        ,                   ,                     ,                                ,                      ,                   ,                       ,                         ,                   ,                         ,                    ,               ,1585                              ,1278                              ,2456                             ,                     ,                   ,                  ,                    ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 736,A,  1,H, 4, 137.00,      5.8700,Stockwell,Diatoms                                      ,               ,                  ,                         ,                       ,                         ,                    ,                   ,                           ,                  ,                     ,                        ,                          ,                                       ,                        ,               ,                     ,                         ,                   ,                   ,                        ,                   ,                     ,                                ,                      ,                   ,                       ,                         ,                   ,                         ,                    ,               ,521                               ,373                               ,20                               ,                     ,                   ,                  ,                    ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 736,A,  1,H, 5,  40.00,      6.4000,Stockwell,Diatoms                                      ,               ,                  ,                         ,                       ,                         ,                    ,                   ,                           ,                  ,                     ,                        ,                          ,                                       ,                        ,               ,                     ,                         ,                   ,                   ,                        ,                   ,                     ,                                ,                      ,                   ,                       ,                         ,                   ,                         ,                    ,               ,1042                              ,1121                              ,66                               ,                     ,                   ,                  ,                    ,counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
