Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globorotalia crassula	Globigerina aff. bulloides	Globorotalia scitula	Globigerina bulloides	Globorotalia crassaformis	Globigerina quinqueloba	Globorotalia cf. Gr. sphericomiozea	Globorotalia puncticulata	Orbulina universa	Globorotalia inflata	Globigerinita glutinata	Neogloboquadrina dutertrei	Globorotalia margaritae	Truncorotalia truncatulinoides	Globoconella cf. inflata	Globigerinoides ruber	Globigerina apertura	Globorotalia hexagonus	Comment



  SR	                 	                 	T. truncatulinoides	              	141	 860	B	  1	H	 1	  57.00	      0.5700	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                       	                                     	                     	                          	                    	C                    	                         	                       	                                   	                         	R                	F                   	R                      	R                         	                       	R                             	R                       	                     	                    	                      	from Leg 141 SR; Chapter 14; Table 4; pp. 200-201

  SR	                 	                 	T. truncatulinoides	              	141	 860	B	  1	H	CC	  20.00	      1.3400	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                       	                                     	                     	                          	                    	A                    	                         	                       	                                   	                         	R                	F                   	R                      	F                         	                       	R                             	R                       	                     	F                   	R                     	from Leg 141 SR; Chapter 14; Table 4; pp. 200-201

  SR	                 	                 	T. truncatulinoides	              	141	 860	B	  2	H	 1	  20.00	      1.6000	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                       	                                     	                     	                          	                    	A                    	                         	                       	                                   	                         	R                	F                   	R                      	R                         	                       	R                             	                        	                     	R                   	                      	from Leg 141 SR; Chapter 14; Table 4; pp. 200-201

  SR	                 	                 	T. truncatulinoides	              	141	 860	B	  2	H	 1	  60.00	      2.0000	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                       	                                     	                     	                          	                    	A                    	                         	                       	                                   	                         	R                	F                   	R                      	R                         	                       	R                             	                        	                     	R                   	                      	from Leg 141 SR; Chapter 14; Table 4; pp. 200-201

  SR	                 	                 	T. truncatulinoides	              	141	 860	B	  2	H	 2	  60.00	      3.5000	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                       	                                     	                     	                          	                    	A                    	                         	                       	                                   	                         	R                	C                   	R                      	R                         	                       	R                             	                        	                     	F                   	R                     	from Leg 141 SR; Chapter 14; Table 4; pp. 200-201

  SR	                 	                 	T. truncatulinoides	              	141	 860	B	  2	H	 3	  60.00	      5.0000	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                       	                                     	                     	                          	                    	F                    	                         	                       	                                   	                         	                 	C                   	R                      	R                         	                       	R                             	                        	                     	R                   	                      	from Leg 141 SR; Chapter 14; Table 4; pp. 200-201

  SR	                 	                 	T. truncatulinoides	              	141	 860	B	  2	H	 4	  60.00	      6.5000	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                       	                                     	                     	                          	                    	F                    	                         	                       	                                   	                         	                 	F                   	R                      	                          	                       	R                             	                        	                     	                    	                      	from Leg 141 SR; Chapter 14; Table 4; pp. 200-201

