Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Globorotalia inflata	Globigerinita glutinata	Globigerina bulloides	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globigerina quinqueloba	Comment



  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  1	H	CC	  14.00	      5.0800	Flower   	Planktonic Foraminifers                      	C              	G                 	D                                      	                    	                       	                     	                                     	                    	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  2	H	CC	  12.00	     13.3100	Flower   	Planktonic Foraminifers                      	A              	G                 	D                                      	                    	                       	F/C                  	F                                    	R                   	R                      	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  3	H	CC	  15.00	     24.3000	Flower   	Planktonic Foraminifers                      	C              	M                 	D                                      	                    	                       	T                    	                                     	T                   	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  4	H	CC	  11.00	     33.8100	Flower   	Planktonic Foraminifers                      	R              	M                 	D                                      	                    	                       	R                    	R                                    	                    	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  5	H	CC	  19.00	     42.6600	Flower   	Planktonic Foraminifers                      	R              	G                 	C                                      	F                   	                       	C                    	R                                    	                    	R                      	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  6	H	CC	  22.00	     52.8300	Flower   	Planktonic Foraminifers                      	R              	G                 	A                                      	F                   	                       	C                    	F                                    	R                   	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  7	H	CC	  26.00	     62.4600	Flower   	Planktonic Foraminifers                      	C              	G                 	D                                      	T/R                 	                       	R                    	R                                    	                    	R                      	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  8	H	CC	  20.00	     71.9600	Flower   	Planktonic Foraminifers                      	F              	M                 	D                                      	                    	                       	R                    	                                     	                    	R                      	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	  9	H	CC	  15.00	     81.4100	Flower   	Planktonic Foraminifers                      	C              	G                 	C                                      	C                   	R                      	A                    	R                                    	                    	T                      	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 10	H	CC	  19.00	     91.0300	Flower   	Planktonic Foraminifers                      	C              	G                 	A                                      	R                   	                       	A                    	                                     	T                   	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 11	H	CC	  21.00	    100.4100	Flower   	Planktonic Foraminifers                      	A              	G                 	D                                      	                    	                       	                     	                                     	                    	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 12	H	CC	  13.00	    110.0300	Flower   	Planktonic Foraminifers                      	R              	G                 	D                                      	                    	                       	                     	R                                    	                    	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 13	H	CC	  19.00	    119.4300	Flower   	Planktonic Foraminifers                      	C              	G                 	D                                      	R                   	                       	F                    	                                     	T                   	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 14	H	CC	  23.00	    128.9900	Flower   	Planktonic Foraminifers                      	R/F            	M                 	D                                      	                    	                       	                     	                                     	                    	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 15	H	CC	  26.00	    138.4400	Flower   	Planktonic Foraminifers                      	C              	M                 	D                                      	T                   	                       	F                    	T                                    	R                   	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 16	H	CC	  26.00	    147.9900	Flower   	Planktonic Foraminifers                      	F/C            	M                 	                                       	D                   	                       	T/R                  	T                                    	T                   	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 17	H	CC	  23.00	    157.4700	Flower   	Planktonic Foraminifers                      	F/C            	M                 	D                                      	T                   	T                      	T                    	                                     	                    	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 18	H	CC	  23.00	    166.9300	Flower   	Planktonic Foraminifers                      	R              	M                 	D                                      	                    	                       	                     	                                     	                    	                       	from 162SR.Ch 2.Table 8.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 984	A	 19	H	CC	  23.00	    176.4300	Flower   	Planktonic Foraminifers                      	R              	M                 	D                                      	                    	                       	                     	                                     	                    	                       	from 162SR.Ch 2.Table 8.

