Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globigerinita glutinata	Globigerina umbilicata	Globigerina quinqueloba	Globigerina bulloides	Planktonic spp. indeterminate	Globorotalia scitula	Orbulina universa	Globorotalia hirsuta	Globorotalia bermudezi	Neogloboquadrina dutertrei	Globigerinita uvula	Comment



  SR	                 	                 	CD8               	CD1-7         	146	 891	B	  1	X	CC	   0.00	      0.0000	Zellers  	Planktonic Foraminifers                      	               	G                 	54                                     	9                                    	5                      	                      	5                      	79                   	                             	2                   	                 	                    	                      	                          	2                  	from Leg 146SR; Ch 5; Table 4; pp. 98-99

  SR	                 	                 	CD8               	CD1-7         	146	 891	B	  2	X	CC	   0.00	     12.0000	Zellers  	Planktonic Foraminifers                      	               	G                 	116                                    	13                                   	11                     	2                     	8                      	130                  	                             	5                   	1                	                    	1                     	1                         	                   	from Leg 146SR; Ch 5; Table 4; pp. 98-99

  SR	                 	                 	CD8               	CD1-7         	146	 891	B	  3	X	CC	   0.00	     20.8000	Zellers  	Planktonic Foraminifers                      	               	G                 	5                                      	                                     	1                      	                      	6                      	7                    	                             	                    	                 	                    	                      	                          	                   	from Leg 146SR; Ch 5; Table 4; pp. 98-99

  SR	                 	                 	CD8               	CD1-7         	146	 891	B	  4	X	CC	   0.00	     29.6000	Zellers  	Planktonic Foraminifers                      	               	M                 	79                                     	9                                    	1                      	                      	14                     	71                   	1                            	1                   	                 	                    	                      	2                         	1                  	from Leg 146SR; Ch 5; Table 4; pp. 98-99

  SR	                 	                 	CD8               	CD1-7         	146	 891	B	  6	X	CC	   0.00	     47.3000	Zellers  	Planktonic Foraminifers                      	               	G                 	35                                     	5                                    	3                      	                      	                       	19                   	                             	                    	                 	                    	                      	                          	                   	from Leg 146SR; Ch 5; Table 4; pp. 98-99

  SR	                 	                 	CD8               	CD1-7         	146	 891	B	  7	X	CC	   0.00	     56.2000	Zellers  	Planktonic Foraminifers                      	               	G                 	71                                     	8                                    	5                      	                      	14                     	50                   	1                            	2                   	                 	                    	                      	                          	                   	from Leg 146SR; Ch 5; Table 4; pp. 98-99

  SR	                 	                 	CD8               	CD1-7         	146	 891	B	  8	X	 1	  34.00	     65.5400	Zellers  	Planktonic Foraminifers                      	               	M                 	4                                      	                                     	                       	                      	1                      	1                    	                             	                    	                 	                    	                      	                          	                   	from Leg 146SR; Ch 5; Table 4; pp. 98-99

  SR	                 	                 	CD8               	CD1-7         	146	 891	B	 10	X	 1	  48.00	     83.5800	Zellers  	Planktonic Foraminifers                      	               	G                 	6                                      	1                                    	                       	                      	                       	2                    	3                            	                    	                 	                    	                      	                          	                   	from Leg 146SR; Ch 5; Table 4; pp. 98-99

