Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Helicosphaera carteri	Gephyrocapsa spp. (small)	Gephyrocapsa sp. medium	Florisphaera profunda	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Emiliania huxleyi	Gephyrocapsa sp.3 medium	Braarudosphaera bigelowii	Emiliania huxleyi acme	Comment
IR					172	1056	C	1	H	CC	15.00	5.2800	Raffi	Nannofossils	A	G		F	C	A	A	F	R	C	A	C		+	< 0.085
																													
IR					172	1056	C	2	H	CC	0.00	15.1900	Raffi	Nannofossils	A	G		F	A		A	F		C	C	F	1		> 0.085 < 0.26 - reworked D pentaradiatus (1)  P. lacunosa (1)
																													
IR					172	1056	C	3	H	CC	18.00	24.7900	Raffi	Nannofossils	A	G		F	A	A	A	C			R				> 0.085 < 0.26 - no diatoms
																													
IR					172	1056	C	4	H	CC	16.00	34.2400	Raffi	Nannofossils	A	G		F	A	A	A			C	R				> 0.085 < 0.26
																													
IR					172	1056	C	5	H	CC	19.00	43.8500	Raffi	Nannofossils	A	G		F	A	F	A		R	F					> 0.26 < 0.46 - (2) reworked P. lacunosa - uncertain of E huxleyi's here…
																													
IR					172	1056	C	6	H	CC	22.00	53.3700	Raffi	Nannofossils	A	G	A	F	A	F	A	F							> 0.46 < 0.96
