Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Helicosphaera papillata	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Chiasmolithus grandis	Prinsius tenuiculum	Prinsius martinii	Prinsius dimorphosus	Placozygus sigmoides	Neochiastozygus modestus	Fasciculithus magnus	Ericsonia robusta	Ellipsolithus bollii	Cruciplacolithus tenuis	Cruciplacolithus primus (large)	Chiasmolithus edentulus	Cruciplacolithus primus	Chiasmolithus danicus	Rhabdosphaera inflata	Pseudotriquetrorhabdulus inversus	Discoaster sublodoensis	Discoaster strictus	Chiasmolithus solitus	Campylosphaera dela	Sphenolithus furcatolithoides	Nannotetrina fulgens	Coccolithus eopelagicus	Bramletteius serraculoides	Reticulofenestra dictyoda	Nannotetrina cristata	Ericsonia formosa	Sphenolithus obtusus	Sphenolithus pseudoradians	Pemma papillatum	Pemma basquensis	Chiasmolithus oamaruensis	Neococcolithes minutus	Cyclicargolithus floridanus	Discoaster deflandrei	Discoaster tanii	Isthmolithus recurvus	Sphenolithus predistentus	Ericsonia obruta	Comment



  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  2	X	 1	  90.00	      4.4000	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	+                         	                         	                     	                 	                    	                          	                	                	                         	+                     	                           	                     	                	                     	+                        	+               	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1052	A	  2	X	CC	   9.00	     11.9600	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	                	                         	                      	                           	                     	                	+                    	                         	                	       

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  3	H	 1	 105.00	     14.2500	Watkins  	Nannofossils                                 	A              	G                 	                         	                       	+                     	+                      	                       	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	                	                	+                        	                      	                           	                     	+               	                     	                         	                	no recurvus but no minutus - look more later

  IR	                 	Late Eocene      	                  	CP15a         	171	1052	A	  3	H	CC	   9.00	     22.6500	Watkins  	Nannofossils                                 	A              	G                 	+                        	                       	+                     	+                      	+                      	+                        	                     	                   	                 	                    	                    	                        	                    	                 	                    	                       	                               	                       	                       	                     	                     	                                 	                       	                   	                     	                   	                             	                    	                       	                          	                         	                     	                 	                    	                          	+               	                	                         	                      	                           	                     	                	                     	                         	                	       

