Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra pseudoumbilicus,Reticulofenestra minutula,Reticulofenestra minuta,Helicosphaera carteri,Discoaster variabilis,Discoaster brouweri,Discoaster bollii,Dictyococcites productus,Dictyococcites antarcticus,Cryptococcolithus takayamae,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus macintyrei,Ericsonia formosa,Discoaster neohamatus,Discoaster calcaris,Discoaster bellus,Discoaster barbadiensis,Triquetrorhabdulus rugosus,Discoaster quinqueramus,Calcidiscus leptoporus,Umbilicosphaera sibogae,Pyrocyclus hermosus,Pseudobiscutum biobturaculum,Discolithina multipora,Discolithina discopora,Discoaster loeblichii,Discoaster hamatus,Discoaster challengeri,Dictyococcites bisectus,Minylitha convallis,Discoaster surculus,Discoaster saipanensis,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster icarus,Reticulofenestra umbilica,Sphenolithus moriformis,Rhabdosphaera clavigera,Discoaster asymmetricus,Discoaster berggrenii,Dictyococcites abisectus,Cyclicargolithus floridanus,Tranolithus exiguus,Amaurolithus primus,Amaurolithus delicatus,Gephyrocapsa spp. (small),Microrhabdulus decoratus,Helicosphaera euphratis,Discoaster moorei,Discoaster deflandrei,Chiasmolithus grandis,Calcidiscus tropicus,Braarudosphaera bigelowii,Aspidolithus parcus constrictus,Chiasmolithus modestus,Isthmolithus recurvus,Discoaster lodoensis,Helicosphaera vedderi,Discolithina japonica,Amaurolithus amplificus,Discoaster signus,Chiasmolithus solitus,Chiasmolithus eograndis,Lithostromation perdurum,Discolithina syracusana,Umbilicosphaera angustiforamen,Eiffellithus sp.,Micula decussata,Amaurolithus tricorniculatus,Ceratolithus acutus,Syracosphaera pulchra,Ceratolithus cristatus,Ceratolithus armatus,Syracosphaera nodosa,Scapholithus fossilis,Pseudoemiliania lacunosa,Sphenolithus radians,Coronocyclus nitescens,Helicosphaera sellii,Chiasmolithus oamaruensis,Prediscosphaera sp.,Discoaster tamalis,Discoaster petaliformis,Cribrocentrum reticulatum,Helicosphaera wallichii,Syracosphaera lamina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,150, 905,A, 26,H, 3,  16.00,    218.1600,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,F                        ,F                      ,F                    ,                     ,VR                 ,                 ,F                       ,                          ,                           ,F                    ,                        ,R                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,F                     ,VR                     ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,r                  ,                   ,                      ,                        ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,R                        ,                        ,                       ,                 ,                     ,                     ,                    ,VR                       ,                               ,                      ,                     ,                    ,                     ,R                    ,                       ,                 ,                     ,                       ,                        ,                       ,VR                            ,                ,                ,                            ,                   ,VR                   ,VR                    ,                    ,                    ,                     ,C                       ,                    ,                      ,R                   ,                         ,                   ,                  ,                       ,                         ,                       ,VR                  ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,150, 905,A, 27,X, 1,  73.00,    219.7300,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,C                        ,C                      ,F                    ,                     ,                   ,                 ,F                       ,                          ,                           ,F                    ,                        ,                      ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,R                     ,R                      ,                   ,                            ,                      ,VR                    ,                     ,                  ,                      ,                       ,                   ,                   ,                      ,VR                      ,                       ,                 ,                         ,                       ,                       ,VR                     ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,VR                       ,                               ,                      ,                     ,                    ,                     ,R                    ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,C                       ,                    ,                      ,R                   ,                         ,                   ,                  ,                       ,                         ,R                      ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,150, 905,A, 27,X, 3,  75.00,    222.7500,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,R                        ,                       ,                     ,                     ,VR                 ,                 ,                        ,                          ,                           ,F                    ,                        ,VR                    ,                 ,                     ,                   ,                 ,r                      ,                          ,                       ,VR                    ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,VR                 ,                      ,                        ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,                              ,                ,                ,                            ,                   ,                     ,                      ,                    ,                    ,                     ,                        ,                    ,                      ,                    ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,150, 905,A, 27,X, 4,  55.00,    224.0500,Gartner  ,Nannofossils                                 ,               ,                  ,                  ,                                ,F                        ,F                      ,                     ,                     ,VR                 ,                 ,                        ,                          ,                           ,F                    ,                        ,R                     ,                 ,                     ,                   ,                 ,                       ,                          ,                       ,R                     ,                       ,                   ,                            ,                      ,                      ,                     ,                  ,                      ,                       ,                   ,VR                 ,                      ,R                       ,                       ,                 ,                         ,                       ,                       ,                       ,                     ,                        ,                           ,                   ,                   ,                      ,                         ,                        ,                       ,                 ,                     ,                     ,                    ,                         ,                               ,                      ,                     ,                    ,                     ,                     ,                       ,                 ,                     ,                       ,                        ,                       ,R                             ,                ,                ,                            ,                   ,VR                   ,                      ,                    ,                    ,                     ,F                       ,                    ,                      ,                    ,                         ,                   ,                  ,                       ,                         ,                       ,                    ,From Leg 150 SR; Ch 4; Figure 1; p 55
