Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster sp.,Calcidiscus leptoporus,Dictyococcites productus,Coccolithus pelagicus,Coccolithus miopelagicus,Dictyococcites perplexus,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus compactus,Reticulofenestra sp. (small),Discoaster kugleri,Discoaster deflandrei,Cyclicargolithus floridanus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN3               ,              ,127, 797,C,  1,R,CC,  16.00,    484.1600,Rahman   ,Nannofossils                                 ,M              ,M                 ,              ,                      ,                        ,F                    ,F                       ,R                       ,F                           ,R                      ,R                         ,R                     ,F                           ,R                 ,R                    ,R                          ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,C,  2,R, 1, 115.00,    494.6500,Rahman   ,Nannofossils                                 ,R              ,M                 ,              ,                      ,                        ,                     ,                        ,R                       ,                            ,                       ,                          ,                      ,                            ,                  ,                     ,                           ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,C,  2,R, 2,  86.00,    495.8600,Rahman   ,Nannofossils                                 ,R              ,M                 ,              ,                      ,                        ,                     ,                        ,R                       ,                            ,                       ,                          ,                      ,                            ,                  ,                     ,                           ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,C,  5,R, 2,  43.00,    523.9300,Rahman   ,Nannofossils                                 ,M              ,P                 ,R             ,R                     ,T                       ,M                    ,R                       ,                        ,                            ,                       ,                          ,                      ,                            ,                  ,                     ,                           ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 797,C,  5,R, 3,  16.00,    525.1600,Rahman   ,Nannofossils                                 ,R              ,P                 ,R             ,R                     ,                        ,                     ,                        ,                        ,                            ,                       ,                          ,                      ,                            ,                  ,                     ,                           ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
