Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella trocoidea	Hedbergella delrioensis	Globigerinelloides ferreolensis	Globigerinelloides algerianus	Hedbergella planispira	Ticinella primula	Rugoglobigerina rugosa	Rugoglobigerina rotundata	Racemiguembelina fructicosa	Pseudotextularia nuttalli	Planoglobulina multicamerata	Laeviheterohelix glabrans	Heterohelix globulosa	Hedbergella monmouthensis	Gublerina acuta	Globotruncanita stuarti	Globotruncanella petaloidea	Globotruncana linneiana	Globotruncana falsostuarti	Globotruncana dupeublei	Globotruncana arca	Globotruncana aegyptiaca	Globigerinelloides subcarinatus	Globigerinelloides prairiehillensis	Contusotruncana fornicata	Globotruncanita stuartiformis	Pseudotextularia elegans	Pseudoguembelina palpebra	Heterohelix punctulata	Globotruncanella minuta	Contusotruncana contusa	Abathomphalus mayaroensis	Rugoglobigerina hexacamerata	Rosita plicata	Planoglobulina acervulinoides	Heterohelix striata	Woodringina hornerstownensis	Woodringina claytonensis	Parvularugoglobigerina eugubina	Parasubbotina pseudobulloides	Globoconusa daubjergensis	Eoglobigerina eobulloides	Eoglobigerina edita	Chiloguembelina midwayensis	Parvularugoglobigerina alabamensis	Globanomalina archeocompressa	Praemurica taurica	Chiloguembelina crinita	Globanomalina planocompressa	Chiloguembelina morsei	Subbotina triloculinoides	Praemurica inconstans	Parasubbotina varianta	Subbotina triangularis	Praemurica uncinata	Morozovella conicotruncata	Morozovella angulata	Subbotina velascoensis	Subbotina patagonica	Subbotina hornibrooki	Pseudohastigerina wilcoxensis	Morozovella velascoensis	Morozovella apanthesma	Globanomalina pseudomenardii	Acarinina soldadoensis	Acarinina mckannai	Morozovella subbotinae	Morozovella marginodentata	Morozovella gracilis	Globigerinatheka senni	Morozovella formosa	Morozovella aragonensis	Acarinina primitiva	Subbotina inaequispira	Morozovella caucasica	Globigerina senni	Acarinina bullbrooki	Truncorotaloides rohri	Hantkenina mexicana	Pseudohastigerina micra	Morozovella spinulosa	Morozovella lehneri	Hantkenina dumblei	Globigerinatheka mexicana	Globigerinatheka index	Guembelitrioides higginsi	Acarinina coalingensis	Comment



  IR	                 	Middle Eocene    	                  	P12           	171	1049	A	  3	H	CC	  20.00	     30.6000	Bellier  	Planktonic Foraminifers                      	               	                  	                     	                       	                               	                             	                      	                 	                      	                         	                           	                         	                            	                         	                     	                         	               	                       	                           	                       	                          	                       	                  	                        	                               	                                   	                         	                             	                        	                         	                      	                       	                       	                         	                            	              	                             	                   	                            	                        	                               	                             	                         	                         	                   	                           	                                  	                             	                  	                       	                            	                      	                         	                     	                      	                      	                   	                          	                    	                      	                    	                     	                             	                        	                      	                            	                      	                  	                      	                          	                    	                      	                   	                       	                   	R                     	                     	                 	R                   	F                     	                   	R                      	R                    	F                  	F                 	F                        	                      	R                        	F                     	       

  IR	                 	Middle Eocene    	                  	P12           	171	1049	A	  4	H	 3	  65.00	     33.7500	Bellier  	Planktonic Foraminifers                      	A              	G                 	                     	                       	                               	                             	                      	                 	                      	                         	                           	                         	                            	                         	                     	                         	               	                       	                           	                       	                          	                       	                  	                        	                               	                                   	                         	                             	                        	                         	                      	                       	                       	                         	                            	              	                             	                   	                            	                        	                               	                             	                         	                         	                   	                           	                                  	                             	                  	                       	                            	                      	                         	                     	                      	                      	                   	                          	                    	                      	                    	                     	                             	                        	                      	                            	                      	                  	                      	                          	                    	                      	                   	                       	R                  	R                     	                     	                 	F                   	F                     	                   	F                      	F                    	R                  	F                 	F                        	F                     	R                        	                      	       

  IR	                 	Middle Eocene    	                  	P12           	171	1049	A	  4	H	 5	  65.00	     36.7500	Bellier  	Planktonic Foraminifers                      	A              	G                 	                     	                       	                               	                             	                      	                 	                      	                         	                           	                         	                            	                         	                     	                         	               	                       	                           	                       	                          	                       	                  	                        	                               	                                   	                         	                             	                        	                         	                      	                       	                       	                         	                            	              	                             	                   	                            	                        	                               	                             	                         	                         	                   	                           	                                  	                             	                  	                       	                            	                      	                         	                     	                      	                      	                   	                          	                    	                      	                    	                     	                             	                        	                      	                            	                      	                  	                      	                          	                    	                      	                   	                       	P                  	F                     	                     	                 	F                   	F                     	                   	F                      	R                    	R                  	F                 	F                        	F                     	P                        	                      	       

  IR	                 	Middle Eocene    	                  	P12           	171	1049	A	  4	H	CC	  26.00	     40.0900	Bellier  	Planktonic Foraminifers                      	               	G                 	                     	                       	                               	                             	                      	                 	                      	                         	                           	                         	                            	                         	                     	                         	               	                       	                           	                       	                          	                       	                  	                        	                               	                                   	                         	                             	                        	                         	                      	                       	                       	                         	                            	              	                             	                   	                            	                        	                               	                             	                         	                         	                   	                           	                                  	                             	                  	                       	                            	                      	                         	                     	                      	                      	                   	                          	                    	                      	                    	                     	                             	                        	                      	                            	                      	                  	                      	                          	                    	                      	                   	                       	                   	                      	                     	                 	F                   	F                     	                   	F                      	F                    	F                  	F                 	F                        	F                     	                         	                      	       
