Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Lenticulina spp.	Dentalina spp.	Ammodiscus sp.	Valvulineria intracretacea/parva	Tristix excavata	Pleurostomella spp.	Osangularia utaturensis	Osangularia insigna	Nodosaria spp.	Margulinopsis spp.	Marginulina spp.	Gyroidinoides primitiva	Glomospira gordialis	Gavelinella intermedia	Gavelinella ammonoides	other agglutinated taxa	lagenid taxa	Tritaxa spp.	Spiroplectammina spp.	Sitella spp. (juveniles)	Sitella cf. plana	Reussella szajnochae	Pyramidina sp. (large)	Pyramidina sp. (apical spine)	Praebulimina reussi	Paralabamina lunata	Paralabamina hillebrandti	Other trochospiral taxa	Osangularia velascoensis	Osangularia navarroana	Nuttallides truempyi	Gyroidinoides depressus	Globorotalites sp. A	Gavelinella beccariiformis	Gaudryina pyramidata	Bulimina velascoensis	Bulimina sp. 185 (apical spine)	Bulimina sp. (apical spine)	Boldia? sp.	Aragonia velascoensis	Alabamina sp. A	pleurostomellid taxa	Sitella cushmani	Scheibnerova? sp.	Pyramidina rudita	Pullenia spp.	Oridorsalis spp.	Nuttallinella sp. A	Gyroidinoides spp.	Goesella rugosa	Globorotalites sp. C	Cibicidoides hyphalus	Charltonia? sp. (porate)	Buliminella cf. beaumonti	Bulimina spinea	Allomorphina trochoides	Quadratobuliminella pyramidalis	Other bulimid taxa	Nonion havanensis	Nodogenerina spp.	Hyperammina/Bathysiphon frag.	Gyroidinoides tellburmaensis	Coryphostoma midwayensis	Bulimina trinitatensis	Bulimina sp. (triangular)	Brizalina/Coryphostoma spp. (small)	Bolivinoides delicatulus	Anomalinoides praeacutus	Allomorphina halli	Nuttallinella sp. B	Anomalinoides spissiformis	Vulvulina spinosa	Karreriella subglabra	Gyroidinoides girardanus	Globocassidulina subglobosa	Buliminella grata	Buliminella beaumonti	Bulimina thanetensis	Bulimina semicostata	Bulimina macilenta	Aragonia semireticulata	Nonionella spp.	Osangularia mexicana	Bulimina cf. semicostata	Comment



  IR	                 	Middle Eocene    	                  	              	171	1049	A	  3	H	CC	  20.00	     30.6000	Widmark  	Benthic Foraminifers                         	R              	M                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	                       	            	            	                     	                        	                 	                    	                      	                             	                   	                   	                         	                       	                        	                      	                    	                       	                    	                          	                    	                     	                               	                           	           	                     	               	1                   	                	                 	                 	             	                	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	                 	1                	                             	                            	                        	1                     	                         	                                   	                        	                        	                  	                   	                          	2                	                     	                        	                           	                 	                     	                    	                    	                  	                       	               	                    	                        	2 trays examined nanno Zone CP 14ap-foram Zone P 12 LOADS OF RADS!Some ostracods

  IR	Early Eocene     	Middle Eocene    	                  	              	171	1049	A	  7	H	CC	  30.00	     60.0400	Widmark  	Benthic Foraminifers                         	F              	M                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	                       	            	            	                     	                        	                 	                    	                      	                             	                   	                   	                         	                       	                        	                      	9                   	                       	                    	                          	                    	                     	                               	                           	           	                     	               	                    	                	                 	                 	             	4               	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	1                	                 	                             	                            	                        	1                     	                         	                                   	                        	                        	                  	                   	2                         	                 	                     	                        	3                          	2                	1                    	                    	11                  	                  	                       	               	2                   	3                       	nanno Zone CP 12a p-foram Zone P  9 - P 11 2 trays examened No RADS! No ostracods!

  IR	Early Eocene     	Middle Eocene    	                  	              	171	1049	A	  8	X	CC	  18.00	     60.8300	Widmark  	Benthic Foraminifers                         	R              	P                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	                       	4           	            	                     	                        	                 	                    	                      	                             	                   	                   	                         	1                      	                        	                      	5                   	                       	                    	                          	                    	                     	                               	                           	           	                     	               	                    	                	                 	                 	             	1               	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	                 	                 	                             	                            	                        	                      	                         	                                   	                        	                        	                  	                   	                          	                 	                     	                        	                           	                 	                     	1                   	4                   	                  	                       	               	                    	                        	nanno Zone CP 12 p-forams P 9 - P 11 2 trays examined Loads of RADS! No ostracods

  IR	Early Eocene     	Middle Eocene    	                  	              	171	1049	A	  9	H	CC	  20.00	     69.4000	Widmark  	Benthic Foraminifers                         	F              	M                 	                	              	              	                                	                	                   	                       	                   	              	                  	                	                       	                    	                      	                      	                       	5           	            	                     	                        	                 	                    	                      	                             	                   	                   	                         	                       	                        	                      	9                   	                       	                    	                          	                    	                     	                               	                           	           	                     	               	2                   	                	                 	                 	             	2               	                   	                  	               	                    	                     	                        	                         	               	                       	                               	                  	2                	                 	                             	                            	                        	2                     	                         	                                   	                        	                        	                  	                   	                          	                 	                     	                        	                           	                 	1                    	                    	5                   	                  	                       	1              	                    	                        	2 trays examinedp-foram Zone P 9 - P 11 Loads of RADS! Some ostracods
