Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Umbilicosphaera sp.,Sphenolithus sp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra sp. (5-7 microns),Pedinocyclus larvalis,Helicosphaera compacta,Discoaster sp. (5-rayed),Discoaster sp.,Discoaster nodifer,Discoaster deflandrei,Discoaster brouweri,Discoaster adamanteus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus sp.,Coccolithus pelagicus,Clausicoccus fenestratus,Chiasmolithus altus,Helicosphaera sp.,Discoaster barbadiensis,Pontosphaera segmenta,Discoaster tanii,Catinaster umbrellus,Discoaster saipanensis,Calcidiscus sp.,Sphenolithus ciperoensis,Sphenolithus radians,Discoaster sp. (9-rayed),Triquetrorhabdulus carinatus,Dictyococcites sp.,Sphenolithus tribulosus,Sphenolithus abies/neoabies,Reticulofenestra sp. (<5 microns),Reticulofenestra pseudoumbilica (>7microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Helicosphaera granulata,Hayaster perplexus,Discoaster variabilis,Discoaster surculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Umbilicosphaera mirabilis,Scyphosphaera sp.,Pontosphaera sp.,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster asymmetricus,Amaurolithus delicatus,Syracosphaera sp.,Rhabdosphaera sp.,Oolithotus fragilis,Coronocyclus sp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Pontosphaera japonica,Helicosphaera sellii,Ceratolithus rugosus,Ceratolithus cristatus,Discosphaera tubifera,Ceratolithus sp.,Umbellosphaera irregularis,Pontosphaera multipora,Discoaster berggrenii,Ceratolithus telesmus,Helicosphaera euphratis,Discoaster tamalis,Discoaster challengeri,Braarudosphaera bigelowii,Sphenolithus heteromorphus,Emiliania huxleyi,Umbilicosphaera angustiforamen,Discoaster pansus,Gephyrocapsa spp. large (>5.5 microns),Ceratolithus simplex,Amaurolithus tricorniculatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  1,H, 1,  80.00,      0.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,rR            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,R              ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,rR                   ,                   ,                      ,S                     ,C                        ,                 ,                ,rR                    ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,R                    ,R                      ,A                                     ,A                                      ,R                    ,                    ,                    ,                      ,R                    ,                ,C                         ,                      ,                     ,R                    ,                       ,                  ,                      ,                         ,rR                        ,V                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  1,H, 2,  13.00,      1.6300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,C                      ,                       ,                  ,                     ,                   ,rR                    ,C                     ,C                        ,                 ,                ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,R                ,                   ,                ,C                    ,R                    ,C                      ,C                                     ,A                                      ,R                    ,                    ,                    ,R                     ,R                    ,R               ,S                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rR                        ,V                ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  1,H, 3,  23.00,      3.2300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,rR                     ,                      ,                         ,R                                 ,                     ,                      ,                        ,rS            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rC                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,S                        ,                 ,                ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,R               ,C                    ,R                    ,S                      ,C                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,R               ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rR                        ,V                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 828,A,  2,H, 1,  40.00,      4.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,S                                 ,                     ,                      ,                        ,rS            ,                  ,rR                   ,rR                 ,                     ,                        ,                       ,rC                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,A                 ,                       ,rC                         ,                                 ,                                           ,rR                      ,C                      ,                       ,                  ,rR                   ,                   ,                      ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,S                    ,R                      ,C                                     ,A                                      ,                     ,                    ,                    ,R                     ,S                    ,                ,R                         ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,rC                        ,A                ,                              ,                 ,R                                     ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
