Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra minutula,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Coccolithus pelagicus,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Calcidiscus macintyrei,Gephyrocapsa oceanica,Reticulofenestra asanoi,Gephyrocapsa muellerae,Syracosphaera pulchra,Emiliania huxleyi,Scapholithus fossilis,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  1,H, 1,  22.00,      0.2200,Su       ,Nannofossils                                 ,F              ,G                 ,                         ,T                        ,                         ,R                    ,F                     ,                        ,                      ,T                    ,                       ,C                     ,T                    ,A                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  1,H, 2,  90.00,      2.4000,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,R                        ,T                        ,T                    ,+                     ,                        ,                      ,                     ,                       ,C                     ,                     ,A                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  2,H, 2,  28.00,      5.4800,Su       ,Nannofossils                                 ,R              ,M-G               ,                         ,T                        ,                         ,R                    ,                      ,                        ,                      ,T                    ,                       ,A                     ,                     ,F                ,T                    ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  2,H, 4,  36.00,      8.6600,Su       ,Nannofossils                                 ,T              ,M-G               ,                         ,R                        ,                         ,                     ,                      ,                        ,                      ,                     ,                       ,C                     ,                     ,C                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  3,H, 1,  18.00,     13.3800,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,R                        ,                         ,F                    ,                      ,                        ,                      ,                     ,                       ,C                     ,                     ,C                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1028,A,  3,H, 4,  57.00,     18.2700,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,T                        ,                         ,C                    ,                      ,                        ,                      ,                     ,                       ,A                     ,                     ,F                ,                     ,                         ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
