Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Diartus petterssoni	Diartus hughesi	Stichocorys wolffii	Stichocorys delmontensis	Didymocyrtis laticonus	Didymocyrtis antepenultima	Eusyringium fistuligerum	Dorcadospyris ateuchus	Theocyrtis tuberosa	Lithocyclia aristotelis	Cyrtocapsella cornuta	Siphocampe crustula	Lamprocyclas hannai	Dictyophimus splendens	Phormostichoartus fistula	Botryostrobus bramlettei bramlettei	Larcospira moschkovskii	Dictyoprora mongolfieri	Stichocorys peregrina	Acrosphaera murrayana	Anthocyrtidium ehrenbergi	Prunopyle hayesi	Didymocyrtis penultima	Cyrtocapsella elongata	Botryostrobus auritus/australis	Anthocyrtidium pliocenica	Siphocampe modeloensis	Tholospyris capoi	Pterocorys minythorax	Lamprocyrtis nigriniae	Lamprocyclas junonis group	Gondwanaria dogieli	Eucyrtidium infundibulum	Cycladophora davisiana	Botryostrobus bramlettei pretumidulus	Anthocyrtidium ophirense	Theocorythium trachelium	Stichopilium bicorne	Saturnalis circularis	Pterocorys clausus	Pterocanium korotnevi	Prunopyle antarctica	Phormostichoartus pitomorphus	Lithostrobus hexagonalis	Lamprocyclas maritalis group	Eucyrtidium teuscheri teuscheri	Eucyrtidium teuscheri orthoporus	Eucyrtidium indiensis	Eucyrtidium calvertense	Didymocyrtis tetrathalamus	Botryostrobus bramlettei tumidulus	Anthocyrtidium nosicaae	Acrosphaera pseudarktios	Carpocanium sp.A	Streblacantha circumtexta	Eucyrtidium dufresni	Pseudocubus warreni	Rhizosphaera antarctica	Amphirhopalum ypsilon	Octopyle stenozona	Acrosphaera trepanata	Dictyophimus infabricatus	Pterocanium grandiporus	Anthocyrtidium zanguebaricum	Spongotrochus glacialis	Plectacantha cremastoplegma	Cypassis irregularis	Comment



  SR	Pleistocene      	                 	NR2               	NR1           	112	 685	A	  1	H	CC	  10.00	      4.1200	De Wever 	Radiolarians                                 	C              	G                 	                      	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	                        	P                     	                                     	                        	                        	P                   	                     	P                 	P                    	P                   	                             	P                       	P                           	P                              	                                	                     	P                      	                          	P                                 	                       	                        	                	                         	P                   	                   	                       	P                    	P                 	                     	P                        	                       	                            	P                      	P                          	P                   	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR2               	NR1           	112	 685	A	  2	H	CC	   5.00	     13.7300	De Wever 	Radiolarians                                 	C              	G                 	                      	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	                                     	                        	                        	P                   	P                    	P                 	P                    	P                   	                             	P                       	P                           	P                              	                                	P                    	                       	                          	P                                 	                       	                        	                	                         	P                   	                   	                       	                     	P                 	P                    	P                        	P                      	                            	P                      	P                          	P                   	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR2               	NR1           	112	 685	A	  3	H	CC	  11.00	     23.3600	De Wever 	Radiolarians                                 	C              	G                 	                      	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	P                  	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	P                         	P                  	P                       	P                     	                                     	P                       	                        	P                   	P                    	P                 	P                    	P                   	                             	P                       	P                           	P                              	                                	P                    	P                      	P                         	P                                 	                       	P                       	                	                         	P                   	                   	                       	P                    	                  	                     	P                        	P                      	                            	                       	P                          	P                   	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203

  SR	Pleistocene      	                 	NR3-NR4           	              	112	 685	A	  4	H	CC	  16.00	     33.1700	De Wever 	Radiolarians                                 	C              	G                 	P                     	                   	               	                   	                        	                      	                          	                        	                      	                   	                       	                     	                   	                   	                      	                         	                                   	                       	                       	                     	P                    	                         	                	                      	                      	P                              	                         	                      	P                	P                    	P                     	                          	P                  	P                       	P                     	                                     	P                       	                        	P                   	P                    	P                 	P                    	P                   	                             	P                       	P                           	P                              	                                	P                    	P                      	P                         	                                  	                       	                        	                	                         	                    	P                  	                       	P                    	P                 	                     	                         	P                      	P                           	                       	P                          	                    	from ODP Leg 112 SR Chapter 12 Table AppxB p.202-203
