Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella sp.	Martinottiella communis	Uvigerina pygmaea langeri	Epistominella exigua	Spirosigmoilinella spp.	Uvigerina pygmaea	Valvulineria spp.	Melonis zaandamae	Eponides umbonatus	Cibicides spp.	Cassidulina subglobosa	Globocassidulina subglobosa	Pullenia bulloides	Elphidium excavatum	Cassidulina laevigata	Cassidulina reniforme	Islandiella spp.	Cibicides wuellerstorfi	Comment



  SR	                 	                 	A1                	              	104	 642	C	  1	H	 2	  82.00	      2.3200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                         	                    	                       	                 	                 	                 	                  	              	                      	                           	                  	+                  	+                    	                     	                	                       	from ODP 104 SR Chapter 37 Table 3 p 755-756

  SR	                 	                 	A1                	              	104	 642	C	  1	H	CC	   7.00	      3.2600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                         	                    	                       	                 	                 	                 	                  	              	                      	                           	                  	+                  	+                    	                     	                	+                      	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 3 p 755-756

  IR	                 	                 	A1                	              	104	 642	C	  1	H	CC	  19.00	      3.3800	Osterman 	Benthic Foraminifers                         	C              	G                 	                      	                       	                         	                    	                       	                 	                 	2.0%             	                  	2.0%          	29.0%                 	                           	                  	3.0%               	41.0%                	                     	                	9.0%                   	Reworking; 4% Unidentified benthic forams; 1% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A1                	              	104	 642	C	  2	H	 2	  28.00	      5.1800	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                         	                    	                       	                 	                 	+                	                  	              	                      	                           	                  	                   	+                    	                     	                	                       	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 3 p 755-757

  SR	                 	                 	A1                	              	104	 642	C	  2	H	CC	   7.00	     13.0200	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                         	                    	                       	                 	                 	8.5%             	17.0%             	              	                      	                           	                  	                   	48.4%                	2.6%                 	                	                       	Other taxa = 5.9%; from ODP 104 SR Chapter 37 Table 3 p 755-757

  IR	                 	                 	A1                	              	104	 642	C	  2	H	CC	  29.00	     13.2400	Osterman 	Benthic Foraminifers                         	C              	G                 	                      	                       	                         	                    	                       	                 	                 	3.0%             	34.0%             	2             	                      	                           	T                 	                   	47.0%                	3.0%                 	                	                       	11% Unidentified benthic forams; 7% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A1                	              	104	 642	C	  3	H	 2	  28.00	     14.9800	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                         	                    	                       	                 	                 	                 	                  	              	                      	                           	                  	                   	+                    	                     	                	                       	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 3 p 755-756

