Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticuloides,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Globorotalia inflata,Globorotalia crassaformis,Globigerina woodi,Orbulina universa,Globorotalia scitula,Globorotalia truncatulinoides,Globigerinita uvula,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Comment
  IR,                 ,                 ,                  ,              ,177,1089,A, 17,H,CC,   0.00,    149.8000,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,D                                      ,A                          ,                       ,F                      ,A                    ,F                   ,F                        ,R                ,                 ,                    ,                             ,                   ,                                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A, 18,H,CC,  21.00,    166.2200,Andersson,Planktonic Foraminifers                      ,F              ,P                 ,                                       ,A                          ,                       ,F                      ,F                    ,F                   ,                         ,                 ,                 ,                    ,                             ,                   ,                                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A, 19,H,CC,   0.00,    177.6900,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,A                                      ,D                          ,F                      ,A                      ,A                    ,A                   ,                         ,                 ,                 ,                    ,                             ,                   ,                                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A, 20,H,CC,  13.00,    187.5300,Andersson,Planktonic Foraminifers                      ,C              ,P                 ,F                                      ,A                          ,                       ,                       ,F                    ,A                   ,                         ,                 ,                 ,                    ,                             ,                   ,                                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A, 21,H,CC,  21.00,    195.0900,Andersson,Planktonic Foraminifers                      ,T              ,P                 ,P                                      ,P                          ,P                      ,P                      ,P                    ,                    ,                         ,                 ,                 ,                    ,                             ,                   ,                                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
