Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Gansserina wiedenmayeri	Pseudotextularia elegans	Heterohelix sp.	Globotruncana ventricosa	Archaeoglobigerina cretacea	Archaeoglobigerina blowi	Rugoglobigerina rugosa	Heterohelix punctulata	Globotruncana linneiana	Globotruncana arca	Globotruncana aegyptiaca	Gansserina gansseri	Contusotruncana plummerae	Rugoglobigerina sp.	Globotruncanita stuartiformis	Archaeoglobigerina sp.	Heterohelix globulosa	Pseudoguembelina excolata	Pseudotextularia sp.	Globotruncana bulloides	Globigerinelloides alvarezi	Comment



  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  1	R	 1	  17.00	      0.1700	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  1	R	 1	  43.00	      0.4300	Erba     	Planktonic Foraminifers                      	               	                  	1                      	                        	F              	                        	1                          	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	1                   	                       	1                          	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  1	R	 1	  71.00	      0.7100	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  2	R	 1	  39.00	     14.5900	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  4	R	 1	  69.00	     33.9900	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	                   	                             	                      	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  5	R	 1	  17.00	     43.1700	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	F              	                        	                           	                        	                      	                      	                       	                  	                        	                   	                         	1                  	                             	1                     	                     	                         	                    	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

  SR	Maestrichtian    	                 	G. gansseri       	              	144	 876	A	  5	R	 2	  18.00	     44.6800	Erba     	Planktonic Foraminifers                      	               	                  	                       	                        	1              	                        	                           	1                       	                      	                      	                       	                  	                        	                   	                         	1                  	                             	                      	                     	                         	?                   	                       	                           	from ODP Leg 144 SR; Ch 8; Table 7; p 165

