Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Comment
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,162, 986,C, 21,X,CC,  21.00,    193.4300,Flower   ,Planktonic Foraminifers                      ,R              ,M                 ,D                                      ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,162, 986,C, 26,X, 1,  82.00,    235.5200,Flower   ,Planktonic Foraminifers                      ,T              ,                  ,T                                      ,T                                    ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,162, 986,C, 35,X,CC,  35.00,    314.3000,Flower   ,Planktonic Foraminifers                      ,T              ,P                 ,D                                      ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,
