Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera wombatensis	Thoracosphaera sp.	Thoracosphaera geometrica	Prinsiosphaera triassica	Eoconusphaera zlambachensis	Crucirhabdus primulus	Crucirhabdus minutus	Archaeozygodiscus koessenensis	Zygodiscus spiralis	Zygodiscus sp.	Zygodiscus sigmoides	Zeugrhabdotus embergeri	Watznaueria barnesae	Vagalapilla aachena	Tranolithus minimus	Thoracosphaera spp.	Prinsius dimorphosus	Prediscosphaera stoveri	Prediscosphaera spinosa	Prediscosphaera grandis	Prediscosphaera cretacea	Prediscosphaera arkhangelskyi	Nephrolithus frequens miniporus	Nephrolithus frequens	Neocrepidolithus spp.	Neocrepidolithus fossus	Neochiastozygus sp.	Micula murus	Micula decussata	Microrhabdulus decoratus	Markalius inversus	Markalius apertus	Manivitella pemmatoidea	Lucianorhabdus cayeuxii	Lithraphidites quadratus	Lapideacassis sp.	Kamptnerius magnificus	Eiffellithus turriseiffelii	Cylindralithus spp.	Cyclagelosphaera reinhardtii/C. alta	Cruciplacolithus tenuis	Cruciplacolithus primus (small)	Cruciplacolithus primus (large)	Cribrosphaerella ehrenbergii	Cribrosphaerella daniae	Cretarhabdus surirellus	Cretarhabdus crenulatus	Cretarhabdus conicus	Corollithion rhombicus	Corollithion madagaskarensis	Corollithion exiguum	Coccolithus subpertusus	Coccolithus sp.	Coccolithus pelagicus/C. cavus	Chiastozygus? spp.	Chiastozygus sp. aff. C. interruptus	Chiastozygus amphipons	Chiasmolithus danicus	Braarudosphaera bigelowii	Biscutum sp. 2	Biscutum sp. 1	Biscutum castrorum	Bidiscus rotatorius	Biantholithus sparsus	Arkhangelskiella cymbiformis/A. specillata	Actinozygus regularis	Comment



  SR	Paleocene        	                 	CP1b              	              	122	 761	C	  3	R	 3	  10.00	    171.8200	Pospichal	Nannofossils                                 	               	                  	                          	                  	                         	                        	                           	                     	                    	                              	12                 	1             	82                  	1                      	31                  	1                  	0                  	8                  	0                   	18                     	5                      	2                      	60                      	0                            	0                              	1                    	28                   	5                      	+                  	0           	21              	11                      	66                	5                	2                      	0                      	13                      	0                	1                     	10                         	1                  	17                                  	1                      	10                             	12                             	17                          	1                      	0                      	0                      	15                  	0                     	0                           	0                   	0                      	0              	0                             	3                 	1                                   	6                     	0                    	0                        	0             	1             	13                	1                  	1                    	13                                        	5                    	Total count = 502; from ODP Leg 122 SR Chapter 44 Table 1 p 741

  SR	Paleocene        	                 	CP1b              	              	122	 761	C	  3	R	 3	  13.00	    171.8500	Pospichal	Nannofossils                                 	               	                  	                          	                  	                         	                        	                           	                     	                    	                              	8                  	2             	104                 	0                      	27                  	1                  	0                  	5                  	0                   	22                     	2                      	3                      	60                      	0                            	0                              	4                    	28                   	1                      	0                  	0           	32              	4                       	46                	2                	1                      	0                      	12                      	0                	0                     	9                          	0                  	17                                  	3                      	7                              	6                              	21                          	2                      	0                      	3                      	20                  	0                     	0                           	0                   	0                      	0              	3                             	1                 	0                                   	6                     	0                    	0                        	0             	0             	24                	1                  	3                    	12                                        	4                    	Total count = 506; from ODP Leg 122 SR Chapter 44 Table 1 p 741

  SR	Paleocene        	                 	CP1b              	              	122	 761	C	  3	R	 3	  15.00	    171.8700	Pospichal	Nannofossils                                 	               	                  	                          	                  	                         	                        	                           	                     	                    	                              	0                  	0             	22                  	0                      	0                   	0                  	0                  	1                  	163                 	0                      	0                      	0                      	0                       	0                            	0                              	0                    	0                    	0                      	1                  	0           	1               	0                       	3                 	0                	0                      	0                      	0                       	0                	0                     	0                          	0                  	0                                   	22                     	0                              	0                              	0                           	0                      	0                      	0                      	1                   	0                     	0                           	0                   	4                      	0              	302                           	0                 	0                                   	0                     	0                    	0                        	0             	0             	0                 	0                  	0                    	0                                         	0                    	Total count = 520; from ODP Leg 122 SR Chapter 44 Table 1 p 741

  SR	Paleocene        	                 	CP1b              	              	122	 761	C	  3	R	 3	  20.00	    171.9200	Pospichal	Nannofossils                                 	               	                  	                          	                  	                         	                        	                           	                     	                    	                              	0                  	0             	28                  	1                      	0                   	0                  	0                  	2                  	184                 	0                      	0                      	0                      	0                       	0                            	0                              	0                    	0                    	0                      	1                  	0           	1               	0                       	4                 	0                	1                      	0                      	0                       	0                	0                     	0                          	0                  	1                                   	35                     	0                              	0                              	0                           	0                      	0                      	0                      	1                   	0                     	0                           	0                   	2                      	0              	248                           	0                 	0                                   	0                     	2                    	0                        	0             	0             	1                 	0                  	1                    	0                                         	0                    	Total count = 513; from ODP Leg 122 SR Chapter 44 Table 1 p 741
