leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
30,288,A,UPPER OLIGOCENE,,267.0,420.2,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
30,288,A,LOWER OLIGOCENE,,457.0,466.5,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
30,288,A,UPPER PALEOCENE,,533.5,535.7,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
30,288,A,LOWER PALEOCENE,,535.9,542.5,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
30,288,A,MIDDLE MAESTRICHTIAN,,571.0,610.0,,NO AGE GIVEN,,NO AGE GIVEN,   66,   67, 66.5,DSDP INITIAL REPORTS
30,288,A,LOWER MAESTRICHTIAN ,,610.0,618.5,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
30,288,A,CAMPANIAN,,647.0,686.3,,NO AGE GIVEN,,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
30,288,A,SANTONIAN,,686.3,713.5,,NO AGE GIVEN,,NO AGE GIVEN,   78,   82,   80,DSDP INITIAL REPORTS
30,288,A,LOWER SANTONIAN,,723.0,732.5,,NO AGE GIVEN,,NO AGE GIVEN,   80,   82,   81,DSDP INITIAL REPORTS
30,288,A,UPPER CONIACIAN,,743.3,751.5,,NO AGE GIVEN,,NO AGE GIVEN,   82,   84,   83,DSDP INITIAL REPORTS
30,288,A,CONIACIAN,,761.0,808.5,,NO AGE GIVEN,,NO AGE GIVEN,   82,   86,   84,DSDP INITIAL REPORTS
30,288,A,TURONIAN,,846.5,856.0,,NO AGE GIVEN,,NO AGE GIVEN,   86,   92,   89,DSDP INITIAL REPORTS
30,288,A,LOWER TURONIAN,,884.0,884.5,,NO AGE GIVEN,,NO AGE GIVEN,   90,   92,   91,DSDP INITIAL REPORTS
30,288,A,MIDDLE CENOMANIAN,,893.5,894.0,,NO AGE GIVEN,,NO AGE GIVEN,   95, 97.5,96.25,DSDP INITIAL REPORTS
30,288,A,CENOMANIAN,,894.0,903.5,,NO AGE GIVEN,,NO AGE GIVEN,   92,  100,   96,DSDP INITIAL REPORTS
30,288,A,LOWER CENOMANIAN,,913.5,922.5,,NO AGE GIVEN,,NO AGE GIVEN, 97.5,  100,98.75,DSDP INITIAL REPORTS
30,288,A,UPPER ALBIAN,,933.0,961.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
30,288,A,ALBIAN,,970.0,970.6,,NO AGE GIVEN,,NO AGE GIVEN,  100,  108,  104,DSDP INITIAL REPORTS
30,288,A,APTIAN,,980.8,988.5,,NO AGE GIVEN,,NO AGE GIVEN,  108,  110,  109,DSDP INITIAL REPORTS
