Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella gemma,Subbotina angiporoides,Paragloborotalia nana,Hantkenina alabamensis,Globigerina euapertura,Chiloguembelina cubensis,Catapsydrax unicavus,Catapsydrax dissimilis,Subbotina (?) eocaena,Subbotina linaperta,Pseudohastigerina spp.,Globorotaloides suteri,Globigerina tapuriensis,Globigerina pseudovenezuelana,Globigerina gortanii,Turborotalia ampliapertura,Turborotalia pomeroli,Turborotalia increbescens,Globigerina  cf. G. praeturritilina,Globigerina yeguaensis,Cassigerinella chipolensis,Globigerina tripartita,Globoquadrina venezuelana,Globigerina praebulloides,Paragloborotalia opima,Globigerina ouachitaensis,Globigerina sellii,Globigerina angulisuturalis,Globigerinella obesa,Globigerinita glutinata,Paragloborotalia semivera-mayeri group,Paragloborotalia pseudokugleri,Paragloborotalia kugleri,Globoquadrina dehiscens,Globigerinita uvula,Globigerinoides primordius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4                ,              ,130, 803,D, 35,X, 1,  50.00,    313.5000,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,R                     ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,                          ,                      ,R                        ,R                        ,                      ,                         ,R                 ,                           ,R                   ,F/C                    ,F/C                                   ,R                             ,F/C                     ,R                      ,F/C                ,R                         ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4                ,              ,130, 803,D, 35,X, 3,  47.00,    316.4700,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,F/C                             ,                ,                      ,                     ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,R                     ,F/C                       ,                      ,R                        ,R                        ,                      ,?                        ,R                 ,                           ,R                   ,F/C                    ,F/C                                   ,F/C                           ,F/C                     ,R                      ,F/C                ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4                ,              ,130, 803,D, 35,X, 5,  50.00,    319.5000,Leckie   ,Planktonic Foraminifers                      ,               ,MP                ,F/C                             ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,R                            ,R                   ,                          ,                     ,                         ,                                   ,                      ,R                         ,                      ,R                        ,R                        ,                      ,R                        ,R                 ,                           ,?                   ,R                      ,R                                     ,F/C                           ,R                       ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,P22               ,              ,130, 803,D, 35,X,CC,  17.00,    321.9800,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,                ,                      ,R                    ,                      ,R                     ,                        ,R                   ,F/C                   ,                     ,                   ,                      ,R                     ,                       ,R                            ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,R                        ,                         ,                      ,                         ,R                 ,                           ,R                   ,R                      ,F/C                                   ,F/C                           ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
