Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stichocorys armata,Siphostichartus corona,Lychnocanoma nipponica nipponica,Lithopera renzae,Gondwanaria hister,Eucyrtidium asanoi,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Dictyophimus splendens,Stichocorys delmontensis,Phormostichoartus fistula,Stichocorys wolffii,Lithopera thornburgi,Diartus petterssoni,Cyrtocapsella japonica,Stauroxiphos communis,Lychnocanoma nipponica magnacornuta,Eucyrtidium calvertense,Botryostrobus bramlettei,Anthocyrtidium ehrenbergi,Stylacontarium acquilonium,Stichocorys johnsoni,Diartus hughesi,Phormostichoartus doliolum,Phormostichoartus corbula,Lychnodictyum audax,Botryostrobus praetumidulus,Stylodictya validispina,Stichocorys radicula,Stichocorys peregrina,Phormostichoartus crustula,Stylosphaera angelina,Stylatractus universus,Prunopyle tetrapila,Collosphaera huxleyi,Ceratocyrtis histricosa,Botryostrobus tumidulus,Axoprunum euterpe,Actinomma popofskii,Spirema circularis,Lamprocyrtis heteroporos,Gondwanaria dogieli,Cycladophora bicorona,Botryostrobus aquilonaris,Axoprunum angelinum,Anthocyrtidium pliocenica,Eucyrtidium cienkowskii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,,167,1010,C,  1,H,CC,   7.00,      5.4600,Caulet   ,Radiolarians                                 ,R              ,P                 ,                      ,                  ,                      ,                                ,                ,                  ,                  ,                       ,                     ,                      ,                        ,                         ,                   ,                    ,                   ,rT                    ,T                    ,                                   ,                       ,                        ,                         ,                          ,                    ,               ,                          ,                         ,                   ,                           ,                       ,                    ,T                    ,                          ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,T                      ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,,167,1010,C,  7,H,CC,  13.00,     62.7600,Caulet   ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                      ,                                ,                ,                  ,                  ,                       ,                     ,F                     ,                        ,T                        ,                   ,                    ,                   ,                      ,                     ,                                   ,                       ,                        ,                         ,F                         ,                    ,               ,                          ,                         ,                   ,R                          ,C                      ,                    ,F                    ,T                         ,                     ,T                     ,R                  ,T                   ,                       ,                       ,                 ,T                  ,F                 ,R                       ,T                  ,R                    ,R                        ,F                  ,T                        ,                       ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,S. peregrina (N Pac),              ,,167,1010,C,  9,H,CC,  21.00,     81.8300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,                      ,                                ,                ,                  ,                  ,                       ,                     ,+                     ,+                       ,                         ,                   ,                    ,                   ,                      ,                     ,                                   ,                       ,                        ,                         ,                          ,                    ,               ,                          ,+                        ,                   ,+                          ,+                      ,+                   ,+                    ,+                         ,+                    ,+                     ,+                  ,+                   ,+                      ,+                      ,+                ,+                  ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,S. peregrina (N Pac),              ,,167,1010,C, 10,H,CC,  19.00,     91.2800,Caulet   ,Radiolarians                                 ,R              ,M                 ,                      ,                  ,                      ,                                ,                ,                  ,                  ,                       ,                     ,+                     ,+                       ,+                        ,                   ,                    ,                   ,                      ,+                    ,                                   ,+                      ,+                       ,+                        ,                          ,                    ,               ,+                         ,                         ,                   ,                           ,+                      ,+                   ,+                    ,+                         ,                     ,                      ,                   ,                    ,                       ,                       ,                 ,                   ,                  ,                        ,                   ,                     ,                         ,                   ,                         ,                       ,from IR. Ch 4. Tables 6 and 7.
