Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orthopithonella cf. deflandrei	Obliquipithonella quiltyi	Obliquipithonella multistrata	Obliquipithonella edgarii	Bitorus turbiformis	Orthopithonella congruens	Pithonella cf. ovalis	Orthopithonella gustafsonii	Obliquipithonella thayeri	Orthopithonella cf. tesserula	Comment



  SR	Albian           	Cenomanian       	                  	              	122	 761	C	  6	R	 1	  74.00	    235.7400	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	+                        	                             	                         	                   	                         	                     	+                          	+                        	+                            	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Albian           	Cenomanian       	                  	              	122	 761	C	  6	R	CC	  13.00	    235.9100	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	                         	+                    	+                          	+                        	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	  7	R	 1	  72.00	    240.7200	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	+                        	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	  7	R	 1	 106.00	    241.0600	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	                         	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	  8	R	 1	  24.00	    245.2400	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	                         	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	  8	R	 2	   0.00	    246.5000	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	                         	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	  9	R	 1	  69.00	    250.6900	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	                         	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	  9	R	 1	  92.00	    250.9200	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	                         	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	  9	R	CC	  13.00	    251.8500	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	                         	+                            	                         	                   	                         	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

  SR	Berriasian       	Valanginian      	                  	              	122	 761	C	 10	R	 1	  51.00	    255.5100	Keupp    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                             	+                        	+                            	+                        	+                  	                         	                     	                           	                         	                             	from ODP Leg 122 SR Chapter 30 Fig 1 page 498

