Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Agglutinated spp. (indeterminate),Nonionella miocenica,Cassidulina minuta,Epistominella pacifica,Uvigerina peregrina,Quinqueloculina sp.,Globobulimina pacifica,Valvulineria araucana,Bulimina striata mexicana,Lagena spp.,Calcareous spp. (indeterminate),Melonis pompilioides,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Fissurina spp.,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Oridorsalis umbonatus,Elphidium spp.,Fursenkoina sp.,Elphidiella hannai,Cassidulina spp.,Uvigerina senticosa,Bolivina spissa,Fursenkoina bradyi,Cibicides spp.,Chilostomella oolina,Cassidulinoides bradyi,Bulimina subacuminata,Cassidulina limbata,Pyrgo spp.,Pullenia bulloides,Nonionella labradorica,Cassidulina translucens,Buliminella subfusiformis,Bulimina subcalva,Bulimina exilis,Bulimina barbata,Buccella frigida,Uvigerina hispida,Trifarina angulosa,Nodosaria spp.,Globocassidulina subglobosa,Dorothia sp.,Cibicidoides spp.,Cassidulina californica,Buccella tenerrima,Chilostomella ovoidea,Elphidiella oregonense,Cassidulina teretis,Uvigerina dirupta,Lenticulina sp.,Guttulina sp.,Cassidulinoides cornuta,Bolivina spp.,Bolivina subspinescens,Eponides healdi,Pullenia salisburyi,Glandulina laevigata,Cibicidoides mckannai,Globobulimina affinis,Buliminella elegantissima,Nonionella globosa,Trichohyalus ornatissima,Eggerella bradyi,Cassidulina carinata,Karreriella sp.,Cassidulina norcrossi,Cassidulina cushmani,Bulimina spp.,Bolivina seminuda,Bolivina interjuncta,Bolivina argentea,Astrononion sp.,Triloculina sp.,Epistominella sp.,Epistominella exigua,Reophax sp.,Bolivina translucens,Suggrunda sp.,Globobulimina auriculata,Bolivina pseudobeyrichi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  1,H,CC,   9.00,      5.3100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,F                 ,S                     ,                   ,                   ,R                     ,                     ,                         ,           ,S                              ,                    ,                               ,                             ,              ,                               ,                          ,                     ,S             ,F              ,                  ,                ,                   ,               ,                  ,R             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,R                      ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,A                 ,                        ,                ,                    ,               ,                     ,                    ,             ,R                ,                    ,                 ,               ,               ,                 ,                    ,           ,C                   ,R            ,                        ,S                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  2,H, 1, 135.00,      6.8500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,S                     ,S                  ,                   ,                      ,                     ,                         ,           ,R                              ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,S                 ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,S                ,                  ,              ,                           ,            ,                 ,                       ,                  ,S                    ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,S            ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  2,H, 2,  98.00,      7.9800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,A                   ,C                 ,                      ,                   ,                   ,R                     ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,F              ,                  ,                ,                   ,               ,F                 ,              ,                    ,R                     ,                     ,                   ,          ,                  ,R                     ,                       ,F                        ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,F                      ,             ,F                     ,               ,                   ,                    ,                     ,R                    ,                         ,                  ,                        ,                ,                    ,               ,                     ,S                   ,             ,C                ,                    ,                 ,               ,               ,                 ,                    ,           ,F                   ,R            ,R                       ,R                      ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B,  2,H, 3, 123.00,      9.7300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,R                        ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,S                     ,               ,                   ,                    ,                     ,                     ,S                        ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,R            ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
