Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Tranolithus orionatus	Prediscosphaera cretacea	Parhabdolithus angustus	Lithastrinus floralis	Gartnerago obliquum	Gartnerago nanum	Eiffellithus turriseiffelii	Cretarhabdus surirellus	Cretarhabdus conicus	Chiastozygus litterarius	Broinsonia signata	Biscutum constans	Ahmuellerella octoradiata	Kamptnerius magnificus	Zygodiscus diplogrammus	Micula staurophora	Lithraphidites carniolensis	Cylindralithus sp.	Cyclagelosphaera margerelii	Biscutum magnum	Reinhardtites anthophorus	Seribiscutum primitivum	Lucianorhabdus cayeuxii	Eiffellithus trabeculatus	Eiffellithus eximius	Biscutum coronum	Arkhangelskiella cymbiformis	Broinsonia enormis	Broinsonia parca	Prediscosphaera spinosa	Reinhardtites levis	Zygodiscus spiralis	Nephrolithus frequens	Nephrolithus corystus	Cribrosphaerella ehrenbergii	Cribrosphaerella daniae	Markalius inversus (oval)	Thoracosphaera spp.	Microrhabdulus decoratus	Biscutum sp.	Crepidolithus sp.	Prediscosphaera stoveri	Toweius sp.	Markalius inversus	Cruciplacolithus tenuis	Zygodiscus sigmoides	Biantholithus sparsus	Prinsius dimorphosus	Markalius inversus (circular)	Cruciplacolithus primus	Hornibrookina teuriensis	Cruciplacolithus subrotundus	Cyclagelosphaera reinhardtii	Coccolithus pelagicus	Cruciplacolithus edwardsii	Chiasmolithus danicus	Neochiastozygus modestus	Toweius pertusus	Toweius craticulus	Prinsius martinii	Neochiastozygus concinnus	Lapideacassis sp.	Neochiastozygus sp.	Fasciculithus ulii	Prinsius bisulcus	Fasciculithus tympaniformis	Chiasmolithus bidens	Markalius apertus	Coccolithus subpertusus	Sphenolithus primus	Fasciculithus pileatus	Toweius eminens	Heliolithus sp.	Heliolithus kleinpellii	Discoaster mohleri	Zygrhablithus bijugatus	Toweius callosus	Neococcolithes dubius	Discoaster nobilis	Discoaster multiradiatus	Chiasmolithus solitus	Chiasmolithus consuetus	Discoaster diastypus	Tribrachiatus orthostylus	Sphenolithus moriformis	Ellipsolithus distichus	Discoaster barbadiensis	Sphenolithus radians	Discoaster kuepperi	Coccolithus formosus	Chiasmolithus expansus	Reticulofenestra samodurovii	Discoaster lodoensis	Discoaster spp.	Clausicoccus fenestratus	Helicosphaera sp.	Chiasmolithus grandis	Discoaster sublodoensis	Discoaster praebifax	Reticulofenestra daviesii	Nannotetrina cristata	Comment



  SR	Middle Eocene    	                 	CP13              	              	119	 738	C	  2	R	 2	  22.00	    198.3200	Wei      	Nannofossils                                 	A              	P                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	F                    	                  	                        	C                    	                       	                    	                         	R                      	R                      	                       	                    	                   	R                   	F                     	                            	                    	F              	                        	                 	                     	                       	R                   	C                        	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Middle Eocene    	                 	CP13              	              	119	 738	C	  2	R	CC	   6.00	    198.4800	Wei      	Nannofossils                                 	A              	P                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	A                      	                	F                    	                  	                        	A                    	                       	                    	                         	                       	                       	R                      	                    	                   	                    	F                     	C                           	                    	F              	                        	                 	                     	R                      	                    	C                        	R                    	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Middle Eocene    	                 	CP12              	              	119	 738	C	  3	R	 1	  53.00	    206.7300	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	C                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	R                    	                  	                        	C                    	                       	                    	                         	                       	                       	                       	                    	                   	R                   	F                     	F                           	F                   	F              	                        	                 	                     	                       	R                   	C                        	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Middle Eocene    	                 	CP12              	              	119	 738	C	  3	R	CC	   0.00	    206.9000	Wei      	Nannofossils                                 	A              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	C                      	                	F                    	                  	                        	A                    	                       	                    	                         	R                      	                       	R                      	                    	                   	R                   	F                     	C                           	R                   	R              	                        	                 	                     	                       	F                   	F                        	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.
