Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Pollen,Spores of pteridophytes,Pediastrum + Botryococcus,Reworked palynomorphs,Exp,Top [cm],Bottom [cm],A/W,Sample
U1349,A,1,H,CC,4.8,4.9,G,C,C,C,F,323,,,,323-U1349A-1H-CC-nan
U1349,A,2,H,CC,14.6,14.7,G,F,F,R,R,323,,,,323-U1349A-2H-CC-nan
U1349,A,3,H,CC,24.2,24.3,G,R,R,F,F,323,,,,323-U1349A-3H-CC-nan
U1349,A,4,H,CC,33.8,33.9,G,R,C,F,R,323,,,,323-U1349A-4H-CC-nan
U1349,B,1,H,CC,3.9,4.0,G,F,C,F,R,323,,,,323-U1349B-1H-CC-nan
U1349,B,3,H,CC,23.4,23.4,G,,C,C,R,323,,,,323-U1349B-3H-CC-nan
U1349,B,5,H,CC,42.2,42.3,G,C,F,F,,323,,,,323-U1349B-5H-CC-nan
U1349,B,7,H,CC,61.5,61.6,M,C,C,F,F,323,,,,323-U1349B-7H-CC-nan
U1349,B,9,H,CC,80.4,80.5,G,C,C,,R,323,,,,323-U1349B-9H-CC-nan
U1349,B,11,H,CC,99.3,99.4,M,,,,R,323,,,,323-U1349B-11H-CC-nan
U1349,B,13,H,CC,108.9,109.0,G,C,,,,323,,,,323-U1349B-13H-CC-nan
U1349,B,15,H,CC,130.0,130.1,M,F,F,,F,323,,,,323-U1349B-15H-CC-nan
U1349,B,17,H,CC,148.6,148.7,G,F,F,,F,323,,,,323-U1349B-17H-CC-nan
U1349,B,19,H,CC,167.9,168.0,M,F,F,,R,323,,,,323-U1349B-19H-CC-nan
U1349,B,21,H,CC,187.6,187.7,M,F,,,F,323,,,,323-U1349B-21H-CC-nan
U1349,B,22,H,CC,196.8,196.9,G,C,,,F,323,,,,323-U1349B-22H-CC-nan
U1349,D,1,H,CC,6.5,6.6,G,F,,,,323,,,,323-U1349D-1H-CC-nan
U1349,D,2,H,CC,16.0,16.1,M,F,R,R,,323,,,,323-U1349D-2H-CC-nan
U1349,D,3,H,CC,25.6,25.7,M,R,,,,323,,,,323-U1349D-3H-CC-nan
U1349,D,4,H,CC,33.4,33.5,M,,,,,323,,,,323-U1349D-4H-CC-nan
U1349,D,5,H,CC,43.2,43.3,M,F,R,,R,323,,,,323-U1349D-5H-CC-nan
U1349,D,6,H,CC,53.0,53.1,G,F,C,,F,323,,,,323-U1349D-6H-CC-nan
U1349,D,19,H,CC,176.8,176.9,M,R,F,,R,323,,,,323-U1349D-19H-CC-nan
U1349,D,20,H,CC,186.0,186.1,G,,F,,R,323,,,,323-U1349D-20H-CC-nan
U1349,D,21,H,CC,194.1,194.2,M,C,,,,323,,,,323-U1349D-21H-CC-nan
U1349,D,22,H,CC,200.8,200.8,M,C,F,,,323,,,,323-U1349D-22H-CC-nan
