Exp,Site,Hole,"Core,    section",depth Top CSF-A (m),depth Bottom CSF-A (m),Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinocyclus sp. 1,Actinoptychus senarius,Asteromphalus brookei,Asteromphalus robustus,Aulacoseira spp.,Azpeitia nodulifera,Bacterosira fragilis,Chaetoceros spp. Spores,Cocconeis costata,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Cyclotella sp.,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema ventricosa,Eunotia praerupta,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Fragilariopsis spp.,Gonphonema spp.,Melosira spp.,Navicula distans,Navicula spp.,Neodenticula koizumii,Neodenticula seminae,Neodenticula sp. A,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia curvirostris,Pyxidicula horridus,Pyxidicula pustulatus,Pyxidicula turris,Pyxidicula zabelinae,Pyxidicula spp.,Pyxilla americana,Raphoneis amphiceros,Rhizosolenia barboi,Rhizosolenia borealis,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Rhizosolenia spp.,Stellarima microtrias,Tetracyclus lacustris,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica Spores,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira lacustris,Thalassiosira latimarginata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type
323,U1343,E,1H-CC,8.12,8.22,A,G,,,,,R,,,,,R,C,,,,,,,,C,,,,,,,,F,,,,,,,R,,,C,,A,,F,,,,R,,,,,,,,,,,,,,,C,C,,,,,,R,C,,F,,R,Neodenticula seminae (NPD12),1,CC,H
323,U1343,E,2H-CC,17.7,17.8,A,M-G,C,,,,,,,,,C,C,,,R,,R,,,F,,,R,,,,F,C,,,,,R,,R,,R,,C,,,,,,,R,,,,,,,R,,,,,,,,R,A,,,,R,,R,C,,F,R,R,Neodenticula seminae (NPD12),2,CC,H
323,U1343,E,3H-CC,26.3,26.4,C,M,,,,,,,,,,C,,R,,,,,,,R,,,,,,,,,,,,,C,,R,,F,F,,R,,,,,,,,,,,,,,R,,,,,,,F,A,,,F,,,,C,,,,R,Neodenticula seminae (NPD12),3,CC,H
323,U1343,E,4H-CC,37.07,37.17,C,M-G,C,,,,,,,,,R,,,,,,,,,F,,,,,,,R,C,C,,,,,,C,,,R,R,F,,R,,,,,,,,,,,F,,,,,,,,A,F,,,,C,,,F,,R,,R,Neodenticula seminae (NPD12),4,CC,H
323,U1343,E,5H-CC,42.96,43.06,C,M-G,C,,,,,,,,,R,,,,R,,,,,,,,,,,R,R,R,R,,C,,R,,C,,C,,,C,,,,,,R,,,,,,,R,,R,,,,,,R,C,,,,R,,R,C,,C,,R,Neodenticula seminae (NPD12),5,CC,H
323,U1343,E,6H-CC,55.45,55.55,A,M,F,,,,,R,,,,C,,,R,R,R,,,,,,,,R,,,,C,C,,,,,,A,,,,,C,,R,,,,,,,,,,,,,R,,,,R,,C,C,,,,,,,F,,F,,R,Neodenticula seminae (NPD12),6,CC,H
323,U1343,E,7H-CC,63.9,64,A,M-G,F,,,,R,,,,,R,F,,,,,,,R,R,,R,,,,,,C,F,,,,,,C,,R,F,,A,,,,,,,,,,,,,,R,F,,,,,,R,A,,,,R,,,F,,C,,,Neodenticula seminae (NPD12),7,CC,H
323,U1343,E,8H-CC,74.79,74.89,A,G,C,,,,,,,,,R,R,,,F,,,,,,,,,,,,R,R,,,,,,,R,,R,F,,,R,R,F,,,,,,,,,,R,,R,,,,,,R,A,,,,,R,,C,,R,,,Proboscia curvirostris (NPD11),8,CC,H
323,U1343,E,9H-CC,84.05,84.15,C,M,C,,,,R,,,,,F,R,,,R,,,,F,F,,R,,,,,C,F,,,,,,,R,,F,,R,C,,,R,R,,,,,,R,,,R,,R,,,,,,C,A,,,,F,R,,F,,F,,R,Proboscia curvirostris (NPD11),9,CC,H
323,U1343,E,10H-CC,90.9,91,F,M,C,,F,,,,,,,,,,R,,,,,,,,,,R,,,F,R,,,,,,,F,,A,,,F,,,,,,R,,,,,,,,,,,,,,,C,A,,,R,F,F,,F,,,F,F,Proboscia curvirostris (NPD11),10,CC,H
323,U1343,E,11H-CC,101.67,101.77,A,G,R,R,,,,R,,,,C,,,F,,,,R,,R,F,,,,,,,F,,,,,,,C,,,,,F,R,F,,,,R,,,,,,,F,R,,,,,,,R,C,R,R,,R,C,,F,,C,R,F,Proboscia curvirostris (NPD11),11,CC,H
323,U1343,E,12H-CC,106.59,106.69,C,M,F,,,,,,,,,,,,,,,,R,,C,,,,,,,F,,,,,,,,C,,R,R,F,A,,,R,,,,,,,,,,,,,,,,,R,C,C,,,R,,R,,,,,,R,Proboscia curvirostris (NPD11),12,CC,H
323,U1343,E,14H-CC,115.95,116.05,A,G,F,,,,,R,,,,C,C,,,,,R,,,,R,,,,R,,F,C,F,,,,,,A,,C,,,R,,,,,,R,,,,,,,,,,,,,,,C,C,R,,,,R,,C,,R,R,R,Proboscia curvirostris (NPD11),14,CC,H
323,U1343,E,15H-CC,123.35,123.45,A,G,,R,,,F,,,,,,,,R,,,,,,R,R,,,,,,,F,R,,,,R,,F,,,,,A,R,,R,,,,,,,,,,,,R,,,,,,C,C,,,,,F,,R,,,,,Proboscia curvirostris (NPD11),15,CC,H
323,U1343,E,16H-CC,129.46,129.56,A,G,F,R,,,,,,,,C,F,,,,,,,R,,,R,,,,,R,,R,,,,,,F,,R,R,,A,R,R,R,,,,,,,,,,R,,,,,,,,R,A,,,,R,C,,C,,R,,,Proboscia curvirostris (NPD11),16,CC,H
323,U1343,E,17H-CC,138.34,138.44,A,G,R,,,,,,,,,F,,,,R,,,,F,,F,,,,,,C,R,,,,,R,,C,,R,,,C,R,R,R,,,R,,,,,,,,,F,,,,,,C,C,,,,,C,,F,R,R,,,Proboscia curvirostris (NPD11),17,CC,H
323,U1343,E,18H-CC,148.21,148.31,A,G,,,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,,,,,,,,,,F,,,,,A,,,,,C,,,,,F,,Proboscia curvirostris (NPD11),18,CC,H
323,U1343,E,19H-CC,155.87,155.97,A,G,F,,,,,,,,,F,F,R,,,,,,,,F,,,,,,C,C,C,,,,R,,F,,C,,,R,,,,,,,,,,,,,,,R,,,,,,C,A,,,,,R,,F,,C,R,R,Proboscia curvirostris (NPD11),19,CC,H
323,U1343,E,20H-CC,164.89,164.99,C,M-G,F,,,,,,,,R,R,,,R,,,,,R,F,,,,,,,,R,,,,,,,C,,F,R,,C,,,,,,R,,,,,R,,,,F,,,,,,F,A,,,,,C,,F,,,,F,Proboscia curvirostris (NPD11),20,CC,H
323,U1343,E,21H-CC,175.07,175.17,A,G,,R,,,,,,F,,F,R,,,,,,,R,R,R,,,,,,F,F,,,,,,,C,,R,R,R,F,R,R,,,,,,,,,,,,,,,,,,,C,A,,,,R,C,,F,F,R,,,Proboscia curvirostris (NPD11),21,CC,H
323,U1343,E,22H-CC,183.76,183.86,A,M-G,R,,,,,,,,,,F,,,R,,,,,,R,,,,,,F,F,,,,,,,A,,C,,,R,R,R,F,,,F,,,,,,,,,F,,,,,,F,A,,,,R,,,R,,F,,R,Proboscia curvirostris (NPD11),22,CC,H
323,U1343,E,26H-CC,217.04,217.14,A,G,C,,,,,,,,,A,,,R,,,,,,R,R,,,,,,F,F,,,,,,,A,,,,,R,,,,,,,,,,,,,,,C,,,,,,,F,,,,R,F,,R,,F,,,Proboscia curvirostris (NPD11),26,CC,H
323,U1343,E,27H-CC,226.01,226.11,A,G,F,R,,,,,,,,C,F,,,R,,,,,,,,,,,,,,R,,,,,,A,,,,,C,R,,R,,,R,,,,,,,R,,F,,,,,,,F,,,,R,C,,R,,F,,R,Proboscia curvirostris (NPD11),27,CC,H
323,U1343,E,30H-CC,254.21,254.31,C,M-G,C,,,,,,,,,F,,R,,,,,,,,,,,,,,R,,,,,,R,R,C,R,C,R,R,R,,F,C,,,,,,,,,,F,R,,F,,,,,R,A,,,R,,C,,R,,,,F,Proboscia curvirostris (NPD11),30,CC,H
323,U1343,E,33H-CC,282.2,282.3,F,P-M,R,,,,,,,F,,F,F,,,R,,,R,,F,,,,R,,,,F,R,,,,,,C,,R,,C,C,R,,R,,,,R,R,R,,R,,,R,F,,,,,,R,A,,,,,C,,R,,R,,,Proboscia curvirostris (NPD11),33,CC,H
323,U1343,E,34H-CC,291.18,291.28,A,G,A,C,R,,,,,,,,,,R,R,,,R,,R,,,,,,,,,,,,,,,C,,,,,R,R,C,R,,,R,,,,,,,,,R,,,R,,,,A,,,,,R,,F,,R,,,Proboscia curvirostris (NPD11),34,CC,H
323,U1343,E,35H-CC,301.39,301.49,A,G,C,,C,,R,,,,,,F,R,R,R,,,,,R,,,,,,,,,F,,,,,,A,,,,R,C,R,R,,,,R,,,,,,,,,,,,,,,R,A,,,,,R,,,,,,R,Actinocyclus oculatus (NPD10),35,CC,H
323,U1343,E,36H-CC,311.1,311.2,C,P-M,A,,C,,,,,R,,,R,R,R,,,,,,,,,,,,,R,,,,,,,,C,,,,,R,F,C,,,,R,,,,,,,,,R,,,,,,,C,,,,,,,R,,F,,R,Actinocyclus oculatus (NPD10),36,CC,H
323,U1343,E,37H-CC,320.19,320.29,A,G,A,,F,,,,R,,,R,,,F,,,,,,,,,,,,,R,,,,,,,F,C,R,,,R,,,F,R,,,,,,,,,,R,,,R,,R,,,,C,,,,R,R,,R,,,,R,Actinocyclus oculatus (NPD10),37,CC,H
323,U1343,E,38H-CC,329.74,329.84,C,M-G,A,,R,R,,,,,,R,,,F,,,,,R,,,,,,,,,,,,,R,,,C,,,,R,,,F,F,,,R,,,,,R,,R,,,R,R,,,,R,A,,,,,R,,F,,,,R,Actinocyclus oculatus (NPD10),38,CC,H
323,U1343,E,40H-CC,346.74,346.84,F,M,R,,R,,F,,,,,,,,,,,,,R,C,,,,,,,,,,,,F,,,A,,,,F,F,,F,,,,,,,,,,,,,,,,,,,R,C,,,,,C,,,,,,,Actinocyclus oculatus (NPD10),40,CC,H
323,U1343,E,43X-CC,367.32,367.42,C,M,A,,C,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,,,,,,,,,,,F,F,,,,,C,,,,,,,F,,,,,Actinocyclus oculatus (NPD10),43,CC,X
