Exp,Site,Hole,"Core, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Dictyocha cf. mandrai,Dictyocha subarctios,Distephanus boliviensis,Distephanus jimlingii,Distephanus medianoctisol,Distephanus medianoctisol (with short radial spines),Distephanus octangulatus,Distephanus octonarius,Distephanus quinquangellus,Distephanus speculum,Distephanus speculum (with short radial spines),Aberrant silicoflaglelate skeletons,Ebriopsis antiqua antiqua (ebridian),Zone in Ling (1992),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1340,A,1H-CC,3.80,3.90,T,M,,,,,,,,,,T,,,,Distephanus octangulatus/Ds. octonarius,1,CC,H,,,,323-U1340A-1H-CC-nan,521ed4853ffa47c0812fd8f2d8d5042a
323,U1340,A,2H-CC,13.82,13.92,C,G,,,,,,T,,R,,F,F,R,,,2,CC,H,,,,323-U1340A-2H-CC-nan,09e1406d07b92fe6ba30ffb154b4a9b9
323,U1340,A,3H-CC,23.39,23.49,R,G,,,,,,,,,,T,R,,,,3,CC,H,,,,323-U1340A-3H-CC-nan,9fd7390537a7eb9630d4fa4d64c8dc29
323,U1340,A,4H-CC,32.75,32.85,R,G,,,,,,T,,,,,R,,,,4,CC,H,,,,323-U1340A-4H-CC-nan,e99cdb41c03ef7b2cbfdcd9a7e6af0bd
323,U1340,A,5H-CC,42.35,42.45,F,G,,,,,,,,F,,T,R,,,,5,CC,H,,,,323-U1340A-5H-CC-nan,0edc2f78dabb5e38b05cc9a42ee5612b
323,U1340,A,10H-CC,89.83,89.93,R,G,,,,,,,,,,R,,,,,10,CC,H,,,,323-U1340A-10H-CC-nan,d43b85d4430556c6a1316d372ec14d3a
323,U1340,A,11H-CC,99.42,99.52,C,G,,,,,,R,,T,,F,C,T,,,11,CC,H,,,,323-U1340A-11H-CC-nan,ee2f43afb884d7e2c08ce8aa30806d33
323,U1340,A,12H-CC,108.78,108.88,C,G,,,,,F,T,,T,T,F,F,,T,,12,CC,H,,,,323-U1340A-12H-CC-nan,f68eb635ec9d201b3b2acad4f13b3189
323,U1340,A,13H-CC,118.53,118.63,C,G,,R,,,F,F,R,T,,R,R,R,,Undefned (Dictyocha subarctios zone?),13,CC,H,,,,323-U1340A-13H-CC-nan,6f3f7ab4139f02681efe8ca671ff3040
323,U1340,A,14H-CC,127.89,127.99,C,G,,R,,,,F,,R,,,F,,,,14,CC,H,,,,323-U1340A-14H-CC-nan,828c693d67b93bfa4be82c36f5acd1f3
323,U1340,A,15H-CC,137.12,137.22,C,G,,F,,,T,F,,T,,,C,,,,15,CC,H,,,,323-U1340A-15H-CC-nan,86a30fbae335004e4838808070b097df
323,U1340,A,16H-CC,146.94,147.04,A,G,R,A,,,T,,,,,T,R,R,,,16,CC,H,,,,323-U1340A-16H-CC-nan,b9f12e1013b9883144dbddf15f6ea96f
323,U1340,A,17H-CC,156.48,156.58,C,G,,F,,,,,,T,,,,,,,17,CC,H,,,,323-U1340A-17H-CC-nan,e08845cb2c3c27c608a7cc516a90a0b3
323,U1340,A,18H-CC,165.89,165.99,C,G,,,,,R,R,,F,,,R,,,,18,CC,H,,,,323-U1340A-18H-CC-nan,d4d8cc42086f06379f69b0db37898850
323,U1340,A,19H-CC,175.45,175.55,F,M,,R,,,,,,R,,,,,,,19,CC,H,,,,323-U1340A-19H-CC-nan,572bba50608ea88192f34006b3d1819b
323,U1340,A,25H-CC,215.60,215.70,B,,,,,,,,,,,,,,,,25,CC,H,,,,323-U1340A-25H-CC-nan,a22a0f5483b1abf4bc6dd977c055c46d
323,U1340,A,26H-CC,225.13,225.25,R,M,,,,,,,,,,,R,,,,26,CC,H,,,,323-U1340A-26H-CC-nan,1e2051aa6bc1969492b0b6deb6316201
323,U1340,A,27H-CC,234.62,234.72,B,,,,,,,,,,,,,,,,27,CC,H,,,,323-U1340A-27H-CC-nan,04159415af43e0ded2b2c8fa68911c2a
323,U1340,A,28H-CC,243.98,244.08,A,G,,,R,,,,,,,F,A,,,,28,CC,H,,,,323-U1340A-28H-CC-nan,236b8b7b0efa5a50bf91e37fe79dbd00
323,U1340,A,29H-CC,253.51,253.61,T,M,,,,,,,,,,,T,,,,29,CC,H,,,,323-U1340A-29H-CC-nan,ac54c38f6637d4e532c8bde1c7145db1
323,U1340,A,30H-CC,263.06,263.16,F,G,,,,,,,,,,R,F,T,,,30,CC,H,,,,323-U1340A-30H-CC-nan,b7182c19413165524a2c37fc9e77815c
323,U1340,A,32H-CC,282.07,282.17,F,M,,,,,T,,,,,T,F,,,,32,CC,H,,,,323-U1340A-32H-CC-nan,528713f70fdb3e22ea92e344d68ba4a9
323,U1340,A,33H-CC,291.66,291.76,C,G,,,,,T,,,,,R,C,,,,33,CC,H,,,,323-U1340A-33H-CC-nan,b165f6b1db9b97a8578f0c0f3c0f30da
323,U1340,A,34H-CC,300.36,300.46,A,G,,T,,,,T,,T,,R,A,T,,,34,CC,H,,,,323-U1340A-34H-CC-nan,c7edcee22a44835df61baca02cd5d589
323,U1340,A,35H-CC,310.58,310.68,A,G,,,,,R,,,,T,F,A,T,T,Undefined,35,CC,H,,,,323-U1340A-35H-CC-nan,b9b3b9b956ecd4f6e983b4fe197743d0
323,U1340,A,36H-CC,318.20,318.30,R,M,,,,,,,,,,,R,,T,,36,CC,H,,,,323-U1340A-36H-CC-nan,3b6b23eacf03df20e7e8b39462ec1714
323,U1340,A,40H-CC,351.33,351.43,B,,,,,,,,,,,,,,,,40,CC,H,,,,323-U1340A-40H-CC-nan,620b0f298bb801640aef0f1e2217ee66
323,U1340,A,41H-CC,354.63,354.73,T,M,,,,,,,,,,,T,,,,41,CC,H,,,,323-U1340A-41H-CC-nan,53817d084f31995d313057c4ff63b1ac
323,U1340,A,42H-CC,358.58,358.70,R,M,,,,,,,,,,T,T,,,,42,CC,H,,,,323-U1340A-42H-CC-nan,e4f67265e00ea79d1c61c7160dbc64e8
323,U1340,A,43X-CC,358.70,358.77,B,,,,,,,,,,,,,,,,43,CC,X,,,,323-U1340A-43X-CC-nan,5a4693e55ea1aeda3e73606c93a1e2ef
323,U1340,A,44X-CC,365.09,365.19,R,M,,,,,,,,,,,R,,,,44,CC,X,,,,323-U1340A-44X-CC-nan,90b8ac59091410b69ff228dbca92d6b0
323,U1340,A,48X-CC,409.22,409.32,F,M,,,,T,,,,,,F,F,T,,,48,CC,X,,,,323-U1340A-48X-CC-nan,0588df88b31b9de780805fb4394965c9
323,U1340,A,70X-CC,595.22,595.32,B,,,,,,,,,,,,,,,,70,CC,X,,,,323-U1340A-70X-CC-nan,f7a4504b376bd2c8ae437509cd0dd2cc
