Exp,Hole,Core,Type,Section,Top Depth [m],Foraminferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina eamesi,Globigerina falconensis,Globigerinella sp.,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinoides ruber,Globigerinopsis obesa,Globoconella conomiozea,Globoconella explicationis,Globoconella inflata,Globoconella miotumida,Globoconella puncticulata,Globoconella puncticuloides,Globoconella sphericomiozea,Hirsutella scitula,Hirsutella panda,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Orbulina universa,Paragloborotalia mayeri s.l.,Tenuitella sp.,Truncorotalia crassaformis,Truncorotalia juanai,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobigerina sp.,Zeaglobierina druryi,Zeaglobierina woodi,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Shell fragments,Micro-mollusks,Baranacle fragments,Bryozoan fragments,Remarks,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,32,X,CC,270.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no plankics,U1351,,,,,317-U1351B-32X-CC-nan,4709e08501a44d576bda8e8aabb9dd65
317,B,33,X,CC,278.34,G,A,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,U1351,,,,,317-U1351B-33X-CC-nan,6509aa9a80ad1995013777ae97eb4a8f
317,B,34,X,CC,286.38,G,A,1,X,,,,,,,,,,,,,,,,,,,X,,,,,,,cf.,,,,,,,,F,A,,,,,U1351,,,,,317-U1351B-34X-CC-nan,7c79b1de73dc34ad4d58009e9935114a
317,B,35,X,CC,295.31,G,A,1,X,X,,,,,,,,,,,,s.l.,cf.,,,,X,X,,,,,cf.,,,,,,X,,,,F,A,,,,,U1351,,,,,317-U1351B-35X-CC-nan,4945fd019b3e0d9b56983a7fcc0bae93
317,B,36,X,CC,309.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no plankics,U1351,,,,,317-U1351B-36X-CC-nan,bb17c992be8fe6f4e89ef4b89068f102
317,B,37,X,CC,317.04,G,A,2,X,,,,,,,,,,,X,,s.l.,,,,,,X,,X,,,,,,,,,,,,,F,A,,,,,U1351,,,,,317-U1351B-37X-CC-nan,094d4473e0800ec6d4c2a230091102ac
317,B,38,X,CC,323.69,G,A,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,U1351,,,,,317-U1351B-38X-CC-nan,e52d23f9a9134dfe02cc377b8aaa9816
317,B,39,X,CC,337.44,M,A,7,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,R,,R,C,,,,,U1351,,,,,317-U1351B-39X-CC-nan,f90b4692805821ca00c5723eb23d23cd
317,B,40,X,CC,345.67,G,A,4,X,X,,,,,,,,,,,,cf.,,,,,cf.,,,,,,,,X,,,,,,F,,F,C,,,,,U1351,,,,,317-U1351B-40X-CC-nan,2865024b43e66a1c348669ffecf3fa24
317,B,41,X,CC,354.21,M,A,1,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,,,317-U1351B-41X-CC-nan,4f83f3c01e80848fa005c8e7a48b3fc8
317,B,42,X,CC,362.15,P,C,2,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,U1351,,,,,317-U1351B-42X-CC-nan,56d2ccd81421ddbd5f1db986c431f413
317,B,43,X,CC,372.13,G,A,9,,,,,,,,,,,,X,,X,,,,,,,,,,,,,cf.,,,,X,,F,,,C,,,,,U1351,,,,,317-U1351B-43X-CC-nan,3463510a5a06e0924bce3e46b2da178f
317,B,44,X,CC,382.57,G,A,9,X,X,,,,,,,,,,,,X,X,,,,,X,,X,,,,,cf.,,,,X,,F,,F,C,,,,,U1351,,,,,317-U1351B-44X-CC-nan,4686369ca64276368c82c868e2d175c8
317,B,45,X,CC,393.34,G,A,9,X,X,,,,,,,,,,,,X,X,,,,X,X,,,,,,,cf.,,,,X,,F,,C,C,,,,,U1351,,,,,317-U1351B-45X-CC-nan,6ae1e9a1ca3badc946cea479c7b2c296
317,B,47,X,CC,411.72,G,A,3,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,C,,,,,U1351,,,,,317-U1351B-47X-CC-nan,f6bcc904d7a812dce1c75967a7986fb2
317,B,48,X,CC,421.03,M,R,5,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,A,,,,,U1351,,,,,317-U1351B-48X-CC-nan,a021e8724ebf9b9d982e5262a4b3fa15
317,B,49,X,CC,429.14,G,A,9,X,X,?,,,,,,,,,,,X,,,,,,X,,X,,,cf.,,,,,,X,,R,,R,A,,,,,U1351,,,,,317-U1351B-49X-CC-nan,8bf13fa257a6e1c04ba9a72e6b0a57dd
317,B,53,X,CC,467.79,G,A,5,X,X,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,X,,F,,R,C,,,,,U1351,,,,,317-U1351B-53X-CC-nan,9fd4c09f902339eeff81eb89f49d74d7
317,B,54,X,CC,477.24,G,A,6,X,X,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,C,,,,,U1351,,,,,317-U1351B-54X-CC-nan,e37dfaf77de182d3d992b21fa5b4090d
317,B,55,X,CC,486.50,G,A,17,X,X,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,X,,F,,,F,,,,,U1351,,,,,317-U1351B-55X-CC-nan,077c1edee4e1934baa1da61cb7cdd0be
317,B,57,H,CC,507.35,G,A,2,X,X,,,,,,,,,,,,X,,,,,,X,,,,,,,cf.,,,,,,,,R,A,,,,,U1351,,,,,317-U1351B-57H-CC-nan,a17b8428a319545cb6e978a6be767d51
317,B,59,H,CC,510.49,G,A,8,X,X,X,,,,X,,,,,,,X,,,,,,,,,,,,,cf.,,,,,,,,,A,,,,,U1351,,,,,317-U1351B-59H-CC-nan,2046585bf1b0c3428b881e5552d810b6
317,B,60,X,CC,512.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no plankics,U1351,,,,,317-U1351B-60X-CC-nan,89fc0fb53f5968a63f6bd204ea4a7ecc
317,B,61,X,CC,525.29,G,F,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,U1351,,,,,317-U1351B-61X-CC-nan,1aca1d0c7ca4f1c8add2718f08bcd821
317,B,62,X,CC,534.28,G,C,3,X,X,,,,,,,,,,,,X,cf.,,,,,,,,,,,,,,,,,,,,,A,,,,,U1351,,,,,317-U1351B-62X-CC-nan,0d13b2774238c370c2e3c8c5ec2591ab
317,B,63,X,CC,543.92,G,A,3,X,X,,cf.,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,F,A,,,,,U1351,,,,,317-U1351B-63X-CC-nan,2816d4eaa99ebad2393d7a6b44ec2afe
