Age,Nannofossil Zone,Sample,Top Depth [m],Preservation,Nannofossil abundance,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Clausicoccus fenestratus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens elliptical,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites <3 µm,Dictyococcites antarcticus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster challengeri,Discoaster deflandrei,Discoaster exilis,Discoaster hamatus,Discoaster kugleri,Discoaster loeblichii,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa (>5.5 µm),Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa omega,Hayella challengeri,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera sellii,Nicklithus amplificus,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra pseudoumbilicus,small reticlofenestrids,Scyphosphaera apsteinii,Scyphosphaera lagena,Solidopons petrae,Sphenolithus abies,Sphenolithus conicus,Sphenolithus heteromorphus,Sphenolithus moriformis,Syracosphaera pulchra,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top [cm],Bottom [cm],Bottom Depth [m],Exp,Site,Hole,Section,Core,A/W,Type,eodp_id
Pleistocene,NN20-21,321-U1338A-1H-CC,2.68,G,D,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,C,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df9720ea3feb1d310299335f1cdafcae
Pleistocene,NN19,"321-U1338A-2H-2,24",4.00,G,D,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,F,,,,F,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947af00d024ce9944d1b39a999406e9e
Pleistocene,NN19,321-U1338A-2H-5,9.90,G,D,,,,C,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,C,,,,F,,,,,,,,,R,,A,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,25fb344fd325fc416a163f82e7d62711
Pleistocene,NN19,321-U1338A-2H-CC,12.60,G,D,,,,C,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,C,,,,,,,R,,R,,A,R,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ff66937473e51f6dd4376e2d0e5788d
Pleistocene,NN19,321-U1338A-3H-2,14.40,M,A,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,F,,,,C,,,,,,,,R,,,A,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,d5a3811b0106ffacaf07a011d3785dd3
Pleistocene,NN19,321-U1338A-3H-5,19.00,M,A,,,,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,F,,,,,,,,,,,A,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,0edbf799a50551b496138c6326cbf769
Pleistocene,NN19,321-U1338A-3H-CC,22.12,G,D,,,,C,C,,,,,,,,,R,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,F,,,,,,,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3162e2b4e9ab04e8f50be07d57ee6737
Pleistocene,NN19,321-U1338A-4H-2,23.70,M,C,,,,C,F,,,,,,,,,F,,,,A,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,7ce53972860a39814c2217820d80a001
late Pliocene,NN18,321-U1338A-4H-5,28.20,M,A,,,,C,F,,,,,R,F,,,C,,,,A,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,R,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,8bdc3419fd041322815934b269ceda79
late Pliocene,NN18,321-U1338A-4H-CC,31.65,M,A,,,,C,C,,,,,,R,,,C,,,,A,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,C,,,,,,C,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258dc9fb3525bbabb356747e891ab41
