Site,Exp,Hole,Core,Core Type - Section,Top Depth [m],Bottom Depth [m],Group Abundance,Preservation,Anomalinoides parvumbilianus,Anomalinoides sphericus,Astorononion spp.,Bolivina spp.,Bolivinita pliozea,Bolivinita cf. pliozea,Bulimina aculeata,Bulimina marginata,Cassidulina carinata,Cassidulina spp.,Cibicides deliquatus,Cibicides molestus,Cibicidoides neoperforatus,Cibicidoides spp.,Eherenbergina mestateri,Elphidium charlottense,Elphidium novozealandicum,Gavelinopsis spp.,Globocassidulina subglobosa,Haeuslella finlayi,Haeuslerella morgani,Haeuslerella parri,Haynesina depressa,Hoeglundina elegans,Hopkinsina mioindex,Lenticulina calcar,Melonis affinis,Melonis pompilioides,Nonionella flemingi,Nonionella spp.,Nonionella turgida,Notorotalia aucklandica,Notorotalia briggsi,Notorotalia clathrata (hornibrooki),Notorotalia depressa,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia inornata,Notorotalia profunda,Notorotalia sp. A (large plano-convex),Notorotalia taranakia,Notorotalia zealandica,Paracassidulina neocarinata,Pullenia bulloides,Pullenia spp.,Pyrgo anomala,Pyrgo guerreri,Pyrgo spp.,Quinqueloculina auberiana,Quinqueloculina seminula,Rectobolivina parvula,Sigmoilopsis schlumbergeri,Sphaeroidina bulloides,Textularia miozea,Texturalia spp.,Trifarina spp.,Uvigerina miozea,Uvigerina peregrina,Uvigerina rodleyi,Others,Comments,Type,Section,Top [cm],Bottom [cm],A/W,Sample,eodp_id
,317,U1351A,1,H-CC,2.56,2.57,A,G,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,R,,C,,,,,,R,,,,A,,,,,,,A,,,,,,,,,,,F,,H,CC,,,,317-nanU1351A-1H-CC-nan,9b012e4c7184107a3fae2085f2d5a616
,317,U1351A,2,H-CC,11.44,11.45,A,G,,A,,,,,,R,,,,,,,,,,,R,,,,,,,,,,C,,,A,,,,,,C,,,,A,,,,,,,A,,,,,,,,,,,R,,H,CC,,,,317-nanU1351A-2H-CC-nan,59599e572c753cb086c5bed74fa3ad96
,317,U1351A,3,H-CC,18.15,18.16,A,G,,,,,,,,R,,,,,,,,C,,,,,,,,,,,,,A,,,,,,,,,A,,,,,,,,,,,A,,,,,,,,,,,C,,H,CC,,,,317-nanU1351A-3H-CC-nan,3085e4b29d3d0b2fae038dab2bb07c3f
,317,U1351A,4,H-CC,25.08,25.09,A,G,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,A,,,,,,C,,,,,,,,,,,,R,,H,CC,,,,317-nanU1351A-4H-CC-nan,673fddbad44c524dfd52aaad8891478b
,317,U1351A,5,H-CC,27.50,27.51,A,G,,R,,,,,,,,,,,,,,R,,,R,,,,,,,,,,R,,,,,,,,,R,,,,A,,,,,,,C,,,,,,,,,,,R,,H,CC,,,,317-nanU1351A-5H-CC-nan,d89a418084b863ad59f6f9be59f7a933
,317,U1351A,6,H-CC,28.00,28.01,C,G,,,,,,,,,,R,,,,,,A,R,,,,,,R,,,,,,C,,,,,,,R,,,,,,C,,,,,,,,,,,,,,,,,,F,,H,CC,,,,317-nanU1351A-6H-CC-nan,80741a376887dcd632288120671e34f9
,317,U1351B,1,H-CC,7.71,7.72,D,G,,C,,,,,,F,,,,,,,,F,,,,,,,,,,,,,A,,,,,C,,,,,,,,A,,,,,,,A,,,,,,,,,,,A,,H,CC,,,,317-nanU1351B-1H-CC-nan,5d7204ecb260a693d50dd8d9b69bba80
,317,U1351B,2,H-CC,16.66,16.67,D,G,,F,F,,,,,F,,,,,,,,,,C,,,,,,,,,,,A,,F,A,,,,,,F,,,,A,,,,,,,A,,,,,,,F,,,,F,,H,CC,,,,317-nanU1351B-2H-CC-nan,90cc50325ee43133c916ee789ee6fbab
,317,U1351B,3,H-CC,22.29,22.30,D,G,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,D,,,A,,,,,,F,,,,A,,,,,,,A,,,,,,,,,,,,,H,CC,,,,317-nanU1351B-3H-CC-nan,89736b0047e525c0ae6c324cdc78612e
,317,U1351B,4,H-CC,28.17,28.18,D,G,,C,,,,,,,,F,,,,,,F,,,,,,,,,,,,,A,,,C,,,,,,,,,,A,,,,,,,A,,,,,,,,,,,C,,H,CC,,,,317-nanU1351B-4H-CC-nan,9050c10859537d2f1c4d71dc9b87bbb7
