Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus oculatus,Coscinodiscus marginatus,Coscinodiscus oculus iridis,Delphineis surirella,Neodenticula koizumii,Neodenticula seminae,Odontella aurita,Paralia sulcata,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Pyxidicula horridus,Pyxidicula turris,Pyxidicula zabelinae,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Thalassionema nitzschioides,Thalassiosira antarctica spore,Thalassiosira latimarginata,Thalassiosira oestrupii,Thalassiothrix longissima,"Diatom Zone (Yanagisawa and Akiba, 1998)",Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1342,D,1H-CC,5.95,6.11,C,P-M,C,,R,F,R,R,A,,,,,,,,,A,R,,,C,R,R,Neodenticula seminae Zone (NPD12),1,CC,H,,,,323-U1342D-1H-CC-nan,fdfe6b9cd3dfb6469264cf56fb233ee5
323,U1342,D,2H-CC,15.69,15.83,F,P-M,A,F,,R,,,C,R,C,,F,F,,,,C,,,F,F,R,C,Proboscia curvirostris Zone (NPD11),2,CC,H,,,,323-U1342D-2H-CC-nan,6e34aee33adc56aa31e72faa1176135f
323,U1342,D,3H-CC,24.94,25.12,C,P,A,,R,R,,R,C,,F,,C,F,,,,C,R,R,C,F,F,F,Proboscia curvirostris Zone (NPD11),3,CC,H,,,,323-U1342D-3H-CC-nan,6fc4bffe670b1994ca685984f1774ee7
323,U1342,D,4H-CC,34.62,34.83,A,M-G,C,,,F,,C,A,,,R,R,R,,R,,R,F,,R,C,F,F,Proboscia curvirostris Zone (NPD11),4,CC,H,,,,323-U1342D-4H-CC-nan,4b4b54eae4a7e79c0c42d5499e2bab82
323,U1342,D,5H-CC,44.18,44.4,F,P-M,A,R,,F,,R,F,,C,,C,,C,R,C,,R,,R,F,C,F,N. koizumii Zone (NPD9) ?,5,CC,H,,,,323-U1342D-5H-CC-nan,6490c6007d38dafca65f2e6896ea0a26
