Exp,Site,Hole,"Core, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Ebriopsis antiqua antiqua (Ebridian),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1342,A,7H-CC,55.64,55.74,F,M,R,7,CC,H,,,,323-U1342A-7H-CC-nan,f42d7999c3c2cbeb44efd1f24286cfc6
323,U1342,D,5H-CC,44.3,44.4,R,M-G,R,5,CC,H,,,,323-U1342D-5H-CC-nan,cd8079aecf6e5c822f1cd78a18ffe3cd
