Exp,Site,Hole,"Core, Type, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Dictyocha cf. mandrai,Dictyocha subarctios,Dictyocha spp.,Distephanus crux,Distephanus medianoctisol,Distephanus medianoctisol with short radial spines,Distephanus octangulatus,Distephanus octonarius,Distephanus slavincii,Distephanus speculum,Distephanus speculum with short radial spines,Aberrant Silicoflagellates,Ammodochium rectangulare (Ebridian),Silicoflagellate Zone in Ling (1992),,,Core,Type,Section,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1343,C,21H-CC,192.05,192.15,X,G,,,,,T,,,,,,,,,Ds. octonarius,,,21,H,CC,,,,323-U1343C-21H-CC,31ad61ea47293069412ef98a661eae03
323,U1343,C,22H-CC,196.06,196.16,C,G,,,,,F,F,,R,,R,R,,,,,,22,H,CC,,,,323-U1343C-22H-CC,b39025c6c199ed27291ca106fd1e9b35
323,U1343,C,23H-CC,205.35,205.45,C,G,,T,,,T,T,T,,R,F,F,T,,Dc. subarctios,,,23,H,CC,,,,323-U1343C-23H-CC,6e250a685a5de9cfeb1d1f51d93fb2b9
323,U1343,C,24H-CC,215.44,215.54,C,G,,,,,F,R,F,R,R,,,T,,,,,24,H,CC,,,,323-U1343C-24H-CC,5374d1e28921aaa993cf678db9d3dcba
323,U1343,C,25H-CC,224.67,224.77,C,G,,R,,,,,F,,F,,,R,,,,,25,H,CC,,,,323-U1343C-25H-CC,9cfede8368893b5314b10b856d574fe0
323,U1343,C,26H-CC,234.62,234.72,F,G,,F,,,T,,,R,,,T,,,,,,26,H,CC,,,,323-U1343C-26H-CC,ec1fd86405a2021649dbfdc21637989b
323,U1343,D,1H-CC,8.12,8.22,F,M-G,,,,,,,R,,,R,T,R,,Ds. octangulatus,,,1,H,CC,,,,323-U1343D-1H-CC,a1ddd74c155213d95abc97c74b874850
323,U1343,D,2H-CC,17.70,17.80,F,M-G,,,,,,,,,,F,R,,,,,,2,H,CC,,,,323-U1343D-2H-CC,1e3ab52d5e5248f1be1414f31ac548c9
323,U1343,D,3H-CC,26.30,26.40,C,G,,,,,,T,R,,,F,R,,,,,,3,H,CC,,,,323-U1343D-3H-CC,dbc72f356954210037650b7f978f0bb5
323,U1343,D,4H-CC,37.07,37.17,C,G,,,,,T,,C,,,C,R,,,,,,4,H,CC,,,,323-U1343D-4H-CC,d03e21cd0837c3d998c4c242f0608df1
323,U1343,D,5H-CC,42.96,43.06,R,G,,,,,T,,,,,R,,,,,,,5,H,CC,,,,323-U1343D-5H-CC,6a59b384e6c6c22b151ccdaf08e4bbc9
323,U1343,D,6H-CC,55.45,55.55,A,M-G,,,,,R,,A,,,,,R,,,,,6,H,CC,,,,323-U1343D-6H-CC,921619214a43406a15a1105bc1d1729a
323,U1343,D,7H-CC,63.90,64.00,R,G,,,,,T,,R,,,,,,,,,,7,H,CC,,,,323-U1343D-7H-CC,8f2c65716b686c2e8d820c359eb2de62
323,U1343,D,8H-CC,74.79,74.89,F,M-G,,,,,,T,,F,,,,,,,,,8,H,CC,,,,323-U1343D-8H-CC,9fa5e899d5a26ea7a48a639699e1781e
