Sample,Exp,Site,Hole,Core,Type,Section,Section Half,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],mean depth (mbsf),Abundance,Preservation,C. floridanus,R. bisecta,R. pseudoumbilicus gr.,R. minuta + R.minutula gr.,C. pelagicus,C. abisectus,R. umbilicus,Ch. altus,I. recurvus,Ch. oamaruensis,R. oamaruensis,D.deflandrei,C.nitescens,A/W,eodp_id
318-U1356A-38R-CC-PAL,318,U1356,A,38,R,CC,,5,6,354.05,354.06,354.055,B,,,,,,,,,,,,,,,,71efd0337a91f04901be1af2c5b3d0ae
318-U1356A-39R-CC-PAL,318,U1356,A,39,R,CC,,14,15,366.24,366.25,366.245,B,,,,,,,,,,,,,,,,c6bf41852357525e91624eff11c3f343
318-U1356A-40R-CC-PAL,318,U1356,A,40,R,CC,,8,10,375.66,375.68,375.67,B,,,,,,,,,,,,,,,,c6617a27ae8b7e93f878abf688f18f39
318-U1356A-41R-CC-PAL,318,U1356,A,41,R,CC,,21,26,386.95,387,386.975,B,,,,,,,,,,,,,,,,8fd20251d61d2e6b68f2bcc597bc2ed2
318-U1356A-43R-CC-PAL,318,U1356,A,43,R,CC,,21,26,404.84,404.89,404.865,B,,,,,,,,,,,,,,,,bc503217a4fdfcf8e27d0ba4e0512275
318-U1356A-44R-CC-PAL,318,U1356,A,44,R,CC,,25,28,412.55,412.58,412.565,B,,,,,,,,,,,,,,,,99201fcb3618dd8b5c574c93bdd03dd0
318-U1356A-45R-CC-PAL,318,U1356,A,45,R,CC,,21,26,422.27,422.32,422.295,B,,,,,,,,,,,,,,,,993e8da0777243d0c2a64fce6bfe5bc5
318-U1356A-46R-CC-PAL,318,U1356,A,46,R,CC,,16,21,434.66,434.71,434.685,B,,,,,,,,,,,,,,,,d18ff502cd1fefc00cfc7ebb2294ac0b
318-U1356A-47R-3-W 70/71-NANNO,318,U1356,A,47,R,3,W,70,71,444.02,444.03,444.025,C,M,F,,F,F,,,,,,,,,,,c2a9052b2d882d9ce6eeb64da9c518cd
318-U1356A-47R-3-W 126/127-NANNO,318,U1356,A,47,R,3,W,126,127,444.58,444.59,444.585,C,M,F,,F,F,,,,,,,,,,,96f5301a8032c99a5d57e26096853fcd
318-U1356A-47R-4-W 31/32-NANNO,318,U1356,A,47,R,4,W,31,32,444.93,444.94,444.935,C,M,,R,F,F,,,,,,,,,,,dfbac85f2beef6d0a4848bae3cd6dbac
318-U1356A-47R-4-W 75/77-NANNO,318,U1356,A,47,R,4,W,75,77,445.37,445.39,445.38,C,M,,R,F,F,,,,,,,,,,,67eeed63daea67d774a6b3b6cc59d387
