Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Total radiolarians,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,A,1,H,CC,9.04,9.14,G,F,F,F,,,,F,,,,C,,,,,F,,,,,,,,,,,,,F,,,F,F,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-1H-CC,a700e5ebbf7e286d34f19d68be8822d3
323,A,2,H,CC,18.65,18.75,G,C,F,,,,,F,,,,A,,,,,F,,,,,,,,,,,,,F,,F,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-2H-CC,fa539e70815026b211157c25cbf16b1d
323,A,3,H,CC,28.62,28.72,M,F,F,,,,,F,,,,F,,,,,,,,,,,,,,C,,,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-3H-CC,fc76caf407b73554a3b3fdd4eeb5896f
323,A,4,H,CC,38.12,38.22,M,F,,,,,,F,,,,F,,,,,,,,,,F,,,,F,,,,F,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-4H-CC,8c1af07b1f4aedb4074eb59de080cacd
323,A,5,H,CC,47.51,47.61,G,C,,,,,,F,,F,,A,,,,,F,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-5H-CC,4e7fc123b1960bc4dde632023a20ef49
323,A,6,H,CC,57.19,57.29,M,C,F,,,,,F,,F,,C,,,,,F,,,,,F,,,,F,,,,F,,,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-6H-CC,6f039426e66ab06b930deb5288fb57ef
323,A,7,H,CC,66.58,66.68,M,C,F,,,,,C,,F,,C,,,,,F,,,,,F,,,,F,,,,F,F,,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-7H-CC,523d4719019e5fd1872fe2be4d731c2a
323,A,8,H,CC,75.22,75.32,G,C,,,,,,C,,F,,C,,,,,F,,,,,F,,,,F,,,,F,,,F,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-8H-CC,89e02084868fe31b6a50f48343ae3880
323,A,9,H,CC,85.11,85.21,M,C,F,,,,,F,,F,,A,,,,,F,,,,,F,,,,C,,,,F,,,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-9H-CC,e6a44f53ddbd5212ad9ae541ac355cce
323,A,10,H,CC,95.09,95.19,M,F,F,,,,,F,,,,C,,,,,F,,,,,F,,,,F,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-10H-CC,3d281079737d017e64ff511c3687b15c
323,A,11,H,CC,104.36,104.46,M,C,F,,,,,C,,F,,A,,,,,C,,,,,F,,,,C,,,,F,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-11H-CC,fc0166c73f37b1bc6315d94175a9cd55
323,A,12,H,CC,113.86,113.96,M,A,F,,,,F,C,,,,A,,,,,F,,,,,F,,,,F,,,,F,C,,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-12H-CC,02823ae480d437d6bed5ad7a3ceb3ad4
323,A,13,H,CC,123.39,123.49,M,C,F,,,F,,F,,F,,F,,,,,F,,,,,F,,,,,,,,F,C,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-13H-CC,1858169408b371d1680c4b1c3837dece
323,A,14,H,CC,132.79,132.89,M,C,F,,,,,F,,F,,C,,,,,F,,,,,F,,,,,,,,F,C,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-14H-CC,0f7b46390028dcf753fc5c66b11e73d9
323,A,15,H,CC,142.35,142.45,M,F,F,,,F,,F,,F,,F,,,,,,,,,,F,,,,,,,,F,F,,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-15H-CC,9bf5330aa6461ef61107698966ba5110
323,A,16,H,CC,152.13,152.23,M,C,C,,,,,F,,F,,C,,,,,,,,,,,,,,,,,,C,C,,F,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-16H-CC,23e1293cb250e4990d88bc812edaa0ac
323,A,17,H,CC,161.17,161.27,M,F,F,,,,,F,,,,C,,,,,,,,,,,,,,,,,,F,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-17H-CC,7d0c786c84d6770d78c0b6cc349ede83
323,A,18,H,CC,171.24,171.34,M,F,F,,,F,,F,,F,,C,,,,,,,,,,,,,,,,,,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-18H-CC,4c4243fc02fc4da2132e68ca7fd5b784
323,A,19,H,CC,180.07,180.17,M,F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-19H-CC,d3835c55d4d7a6ff7a3a0e8e6d9bbbc2
323,A,20,H,CC,190.3,190.4,M,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,F,C,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-20H-CC,f6ed59b95e059cf1b4009a8fac848f77
323,A,21,H,CC,199.18,199.28,M,F,F,,,,,F,,,,F,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-21H-CC,e94fffb689e2648dcea83151a83266b2
323,A,22,H,CC,208.73,208.83,G,C,F,,,F,F,C,,F,,F,,,,,,,,,,F,,,,,,,,C,C,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-22H-CC,4931dc5503e79db3e44f27342546a33e
323,A,23,H,CC,218.01,218.11,G,C,F,,,,F,F,,F,,C,,,,,,,,,,F,,,,,,,,F,C,F,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-23H-CC,34a3cea6d2f0be0935fb344159835931
323,A,24,H,CC,226.57,226.67,M,F,F,,,F,,F,,,,F,,,,,,,,,,F,,,,,,,,F,C,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-24H-CC,0a123dde68ec0ca68e530a9f4483259b
323,A,25,H,CC,236,236.1,M,C,F,,,,,F,,F,,C,,,,,F,,,,,F,,,,,,,,F,C,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-25H-CC,936fb8a098129f17194cbfd1547e671d
323,A,26,H,CC,245.39,245.49,M,F,F,,,,,F,,F,,C,,,,,F,,,,,,,,,,,,,F,F,F,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-26H-CC,cc6a2090ddf2efb33474ff4942359e1b
323,A,27,H,CC,255.73,255.83,M,F,F,,,,,F,,,,C,,,,,F,,,,,F,,,,,,,,F,F,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-27H-CC,057f5bb8cef80e88bb1ec8f34f4a098f
323,A,28,X,CC,263.73,263.83,M,F,F,,,F,,F,,,,,,,,,F,,,,,,,,,,,,,F,F,F,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-28X-CC,d9dbb1f8b270b081e051f8a5fc6946bf
323,A,29,X,CC,270.25,270.35,M,F,F,,,,,F,,F,,F,,,,,F,,,,,,,,,,,,,C,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U1344,,,,323-U1344A-29X-CC,4008d7d79470fed8ae3c9929208f942d
