Exp,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Total radiolarians,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,Unnamed: 47,Unnamed: 48,Site,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,A,1,H,CC,5.38,5.48,M,C,C,,,,,,,,,C,,,,,F,,,,,,,,,,,,,F,,,F,,,,,F,F,,,,U1343,,,,323-U1343A-1H-CC-nan,72d7592d799760f582725b1f9b797962
323,A,2,H,CC,14.92,15.02,M,F,,,,,,F,,,,F,,,,,,,,,,F,,,,F,,,,F,,,,,,,,F,F,,,,U1343,,,,323-U1343A-2H-CC-nan,d691f22aaf6c174928776d6d53607bfa
323,A,3,H,CC,24.60,24.73,G,F,F,,,,,F,,F,,C,,,,,,,,,,F,,,,C,,,,,,,,,,,,F,F,,,,U1343,,,,323-U1343A-3H-CC-nan,1e5e6a21e0e6b4d8796ff38433e67400
323,A,4,H,CC,34.66,34.76,M,C,C,,,,F,C,,,,A,,,,,,,,,,F,,,,C,,,,F,,,,,,,,F,F,,,,U1343,,,,323-U1343A-4H-CC-nan,25a9819c80587be341c6db735b4a4f4f
323,A,5,H,CC,43.91,44.01,M,F,,,,,,F,,,,C,,,,,,,,,,F,,,,,,,,F,,,F,,,,,,F,,,,U1343,,,,323-U1343A-5H-CC-nan,1d4b6b8547745152f08a99229792ab2b
323,A,6,H,CC,53.92,54.02,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,F,F,,,,U1343,,,,323-U1343A-6H-CC-nan,04221f8a06d71e42e806b2576015d7f0
323,A,7,H,CC,62.19,62.29,G,F,,,,,,,,,,C,,,,,,,,,,F,,,,F,,,,,,,F,,,,,F,F,,,,U1343,,,,323-U1343A-7H-CC-nan,471f7f8b9325782a8904453acdd9bf6d
323,A,8,H,4W,67.33,67.35,M,C,,,,,,C,,,,A,,,,,F,,,,,F,,,,F,,,,,,,F,,,,,F,F,,,,U1343,,,,323-U1343A-8H-4W-nan,9fc4a12fb740da25e348ceb5a673d5b7
323,A,8,H,CC,71.79,71.89,M,F,F,F,,,,F,,,,C,,,,,F,,,,,F,,,,F,,,,F,,,,,,,,,F,,,,U1343,,,,323-U1343A-8H-CC-nan,7f6019b5996302c6ffc6ac415e4a4911
323,A,9,H,CC,81.90,82.00,M,C,F,,,,F,F,,,,C,,,,,,,,,,,,,,C,,,,,C,,F,,,,,F,C,,,,U1343,,,,323-U1343A-9H-CC-nan,f9507c1b3f4c6a9cbfc1daba267a62ac
323,A,10,H,6W,89.24,89.26,M,F,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,F,,F,,,,,,,,,,U1343,,,,323-U1343A-10H-6W-nan,c56c32c8d45c3eb4c4c961fc5b5a6644
323,A,10,H,CC,90.90,91.00,M,C,C,,,F,,F,,,,C,,,,,F,,,,,,,,,,,,,F,C,,F,,,,,,,,,,U1343,,,,323-U1343A-10H-CC-nan,567eefeda8ffd7f3cece1a67314f5700
323,A,11,H,CC,100.50,100.60,M,F,F,,,F,,F,,,,,,,,,,,,,,,,,,F,,,,F,C,,F,,,,,,F,,,,U1343,,,,323-U1343A-11H-CC-nan,52d59dc23b7206912264f1513729c348
323,A,12,H,7W,109.53,109.55,G,F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,U1343,,,,323-U1343A-12H-7W-nan,9528aa6a46a5ec21c0b7b702c677e038
323,A,12,H,CC,110.42,110.52,M,F,F,,,F,,F,,,,C,,,,,F,,,,,,,,,F,,,,,F,,,,,,F,,,,,,U1343,,,,323-U1343A-12H-CC-nan,24cd6d5b98554fb0f77f3e61539032d6
323,A,13,H,CC,119.32,119.42,M,F,,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,F,,,F,,,,F,,,,,,U1343,,,,323-U1343A-13H-CC-nan,e0fd1dffcc56a835ebf51bfd798c7001
323,A,14,H,CC,128.86,128.96,M,F,F,,,F,,F,,F,,F,,,,,F,,,,,F,,,,,,,,F,F,,F,,,,,,F,,,,U1343,,,,323-U1343A-14H-CC-nan,cd6405acc577e6f12a659a5282ca1b33
323,A,15,H,CC,139.06,139.16,M,C,F,,,F,,C,,,,A,,,,,C,,,,,F,,,,,,,,F,C,,F,F,,,,,F,,,,U1343,,,,323-U1343A-15H-CC-nan,4736e968e8f9101503458891b84b7a0b
323,A,16,H,CC,147.11,147.21,M,C,F,,,F,,C,,,,F,,,,,F,,,,,,,,,,,,,,C,,C,,,,F,,F,,,,U1343,,,,323-U1343A-16H-CC-nan,7a99b456b04ee9dfd4f13cfd9709621a
323,A,17,H,CC,157.29,157.39,M,C,C,,,F,,C,,F,,F,,,,,F,,,,,,,,,,,,,F,C,,,,,,F,,F,,,,U1343,,,,323-U1343A-17H-CC-nan,af039d7d6f857853f566cfd4507a5789
323,A,18,H,CC,166.12,166.22,M,F,F,,,,F,F,,,,F,,,,,F,,,,,,,,,,,,,F,F,,F,F,,,F,,F,,,,U1343,,,,323-U1343A-18H-CC-nan,6af0b503e144e8b821139f6e3340388c
323,A,19,H,CC,173.80,173.90,M,C,F,,,F,,F,,,,A,,,F,,C,,,,,,,,,,,,,F,C,,F,,,,,,F,,,,U1343,,,,323-U1343A-19H-CC-nan,1c3a7d4c629243fca807814aeb46a7ef
323,A,20,H,CC,181.96,182.06,M,C,F,,,F,F,C,,F,,F,,,,,F,,,,,,,,,,,,,F,F,,F,,,,,,F,,,,U1343,,,,323-U1343A-20H-CC-nan,c3fc6f564233ece89ca239af318e11bd
323,A,21,H,CC,191.50,191.60,M,F,F,,,F,F,,,,,F,,,,,F,,,,,,,,,,,,,F,F,,,,,,,,F,,,,U1343,,,,323-U1343A-21H-CC-nan,5e0a993e6dc184ea62e03662980172f2
323,A,22,H,CC,201.66,201.76,M,C,F,,,,,F,,,,C,,,,,F,,,,,F,,,,,,,,F,F,,C,F,,,,,F,,,,U1343,,,,323-U1343A-22H-CC-nan,3b3124b87bac8558b9b4cf463628acbb
323,B,1,H,CC,6.72,6.85,M,C,C,,,,,C,,F,,C,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,,,,U1343,,,,323-U1343B-1H-CC-nan,50e56fd24b51f8110d608cb147c6e3b6
