Exp,Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],Preservation,Pollen (trees),Pollen (shrubs),Pollen (herbs),Spores (moss&fern),Pediastrum + Botryococcus,Reworked palynomorphs,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1341,A,1,H,CC,2.92,3.02,G,C,R,,R,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-1H-CC,2477b554c0ab2d71fdff9b16a1a9635d
323,U1341,A,3,H,CC,22.33,22.43,M,F,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-3H-CC,7ef09b5365ec9d83df8960777cfb68ad
323,U1341,A,5,H,CC,41.22,41.32,M,C,C,F,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-5H-CC,d59cfb7940eea47d3ee274c3c6331544
323,U1341,A,7,H,CC,60.41,60.51,M,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-7H-CC,ef197730a41c9bcad0003eb0a3626833
323,U1341,A,9,H,CC,79.56,79.66,M,R,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-9H-CC,625081c9a1ca515a4cfacded00b3a776
323,U1341,A,11,H,CC,98.41,98.51,G,F,F,F,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-11H-CC,57a12a00e8d88bc329d25d0f71a41a5f
323,U1341,A,13,H,CC,117.6,117.7,M,F,,,F,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-13H-CC,6e38300e55d0b54d3ea67e68f0417abe
323,U1341,A,15,H,CC,136.16,136.26,G,R,R,,R,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-15H-CC,202091576fba70d39854966eb7fe6d78
323,U1341,A,17,H,CC,155.53,155.63,M,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-17H-CC,8d4144a7ccdc9bdf2eb05bf5d2717fd0
323,U1341,A,19,H,CC,174.39,174.49,M,R,F,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323-U1341A-19H-CC,26ec2b68880c828b01597e83ef96bb8d
